SA3_MAIN11,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_199_Family_households,HI_1_199_Non_family_hseholds,HI_1_199_Tot,HI_200_299_Family_households,HI_200_299_Non_fam_househlds,HI_200_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_599_Family_households,HI_400_599_Non_fam_househlds,HI_400_599_Tot,HI_600_799_Family_households,HI_600_799_Non_fam_househlds,HI_600_799_Tot,HI_800_999_Family_households,HI_800_999_Non_fam_househlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1999_Fam_households,HI_1500_1999_Non_fam_hsehlds,HI_1500_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot,SA3_NAME11
10201,256,348,604,430,476,906,284,1485,1769,525,4282,4807,3655,3178,6833,3779,1924,5703,3638,1446,5084,3593,1242,4835,3465,838,4303,5737,1065,6802,4419,169,4588,3399,583,3982,2364,47,2411,980,17,997,1260,17,1277,4457,274,4731,811,1048,1859,43052,18439,61491,Gosford
10202,242,319,561,447,403,850,310,1547,1857,617,4329,4946,4791,2736,7527,4137,1765,5902,3692,1165,4857,3487,918,4405,3289,581,3870,5103,663,5766,3895,116,4011,2225,276,2501,1467,25,1492,561,9,570,611,9,620,3793,228,4021,882,1073,1955,39549,16162,55711,Wyong
10301,62,85,147,94,130,224,75,425,500,160,971,1131,969,640,1609,905,533,1438,922,390,1312,890,373,1263,910,254,1164,1532,288,1820,1266,44,1310,799,171,970,588,11,599,182,3,185,275,9,284,1048,93,1141,215,220,435,10892,4640,15532,Bathurst
10302,185,161,346,248,238,486,133,745,878,342,1875,2217,1868,975,2843,1582,722,2304,1571,437,2008,1342,367,1709,1202,221,1423,1563,240,1803,1074,27,1101,590,140,730,414,8,422,137,0,137,211,5,216,1509,56,1565,447,470,917,14418,6687,21105,Lachlan Valley
10303,85,114,199,153,175,328,106,555,661,232,1412,1644,1446,767,2213,1132,542,1674,1054,311,1365,860,300,1160,807,193,1000,1315,234,1549,910,26,936,837,197,1034,603,8,611,230,0,230,238,5,243,1163,57,1220,298,316,614,11469,5212,16681,Lithgow - Mudgee
10304,87,110,197,131,175,306,107,499,606,220,1280,1500,1194,766,1960,1062,631,1693,1054,459,1513,1161,434,1595,1123,305,1428,1919,350,2269,1482,64,1546,1067,216,1283,815,23,838,360,8,368,473,17,490,1434,102,1536,301,350,651,13990,5789,19779,Orange
10401,92,113,205,224,184,408,132,675,807,280,1628,1908,2115,1038,3153,1754,653,2407,1584,374,1958,1305,291,1596,1083,144,1227,1389,167,1556,831,23,854,418,66,484,284,4,288,77,0,77,115,3,118,1310,78,1388,300,347,647,13293,5788,19081,Clarence Valley
10402,142,181,323,263,244,507,182,1022,1204,395,2315,2710,2701,1700,4401,2547,1056,3603,2362,746,3108,2216,528,2744,1855,316,2171,2640,374,3014,1824,71,1895,956,177,1133,640,14,654,233,5,238,300,9,309,2176,172,2348,383,517,900,21815,9447,31262,Coffs Harbour
10501,92,86,178,103,103,206,75,339,414,158,835,993,667,368,1035,583,312,895,500,223,723,488,245,733,457,134,591,643,167,810,468,21,489,343,132,475,230,10,240,81,0,81,125,0,125,805,34,839,262,250,512,6080,3259,9339,Bourke - Cobar - Coonamble
10502,43,40,83,78,69,147,38,337,375,131,940,1071,782,359,1141,644,285,929,537,184,721,439,176,615,387,112,499,558,150,708,407,17,424,242,94,336,217,8,225,63,0,63,80,0,80,574,30,604,192,215,407,5412,3016,8428,Broken Hill and Far West
10503,146,140,286,238,194,432,152,727,879,379,1857,2236,1856,1050,2906,1662,863,2525,1626,563,2189,1502,455,1957,1372,344,1716,2113,346,2459,1575,60,1635,877,156,1033,622,11,633,215,7,222,312,6,318,2123,128,2251,491,421,912,17261,7328,24589,Dubbo
10601,126,172,298,231,184,415,169,647,816,362,1847,2209,2096,908,3004,1840,751,2591,1577,541,2118,1643,466,2109,1643,317,1960,2710,465,3175,2001,37,2038,2086,452,2538,1340,30,1370,559,9,568,723,27,750,2154,107,2261,480,460,940,21740,7420,29160,Lower Hunter
10602,83,102,185,128,130,258,88,428,516,219,1319,1538,1401,722,2123,1342,570,1912,1261,401,1662,1319,442,1761,1282,287,1569,2417,381,2798,2027,48,2075,1748,263,2011,1152,18,1170,508,9,517,624,16,640,1579,74,1653,302,280,582,17480,5490,22970,Maitland
10603,128,134,262,209,157,366,125,572,697,269,1679,1948,2094,1119,3213,1886,760,2646,1848,525,2373,1497,489,1986,1539,271,1810,2354,327,2681,1773,50,1823,1187,160,1347,729,11,740,263,9,272,378,3,381,1748,84,1832,360,387,747,18387,6737,25124,Port Stephens
