SA3_MAIN11,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total,SA3_NAME11
10503,0,6658,6658,8043,585,8628,3402,66,3468,3189,13,3202,1701,3,1704,928,3,931,17263,7328,24591,Dubbo
10601,0,6700,6700,9418,628,10046,4601,72,4673,4545,11,4556,2157,7,2164,1018,3,1021,21739,7421,29160,Lower Hunter
10602,0,4945,4945,7229,469,7698,3824,56,3880,3964,17,3981,1697,3,1700,765,0,765,17479,5490,22969,Maitland
10603,0,6171,6171,9220,509,9729,3407,47,3454,3419,8,3427,1585,0,1585,757,0,757,18388,6735,25123,Port Stephens
10604,0,2841,2841,3457,308,3765,1524,26,1550,1512,8,1520,796,3,799,303,0,303,7592,3186,10778,Upper Hunter
10701,0,6045,6045,8026,457,8483,4179,46,4225,4389,8,4397,1887,3,1890,883,0,883,19364,6559,25923,Dapto - Port Kembla
10702,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,Illawarra Catchment Reserve
10703,0,6275,6275,9755,441,10196,4853,47,4900,5141,9,5150,2269,3,2272,1031,0,1031,23049,6775,29824,Kiama - Shellharbour
10704,0,12539,12539,13694,1616,15310,6615,530,7145,6723,237,6960,2724,96,2820,1040,31,1071,30796,15049,45845,Wollongong
10801,0,3800,3800,4909,302,5211,1378,23,1401,1161,3,1164,535,0,535,230,0,230,8213,4128,12341,Great Lakes
10802,0,5384,5384,6622,482,7104,2320,24,2344,1829,3,1832,963,3,966,618,0,618,12352,5896,18248,Kempsey - Nambucca
10803,0,42,42,45,3,48,19,0,19,22,0,22,3,0,3,0,0,0,89,45,134,Lord Howe Island
10804,0,8019,8019,11211,684,11895,3610,70,3680,3323,5,3328,1491,6,1497,650,0,650,20285,8784,29069,Port Macquarie
10805,0,5590,5590,7683,468,8151,2539,37,2576,2169,10,2179,1074,0,1074,562,3,565,14027,6108,20135,Taree - Gloucester
10901,0,6487,6487,7089,704,7793,3004,139,3143,2859,44,2903,1272,10,1282,549,3,552,14773,7387,22160,Albury
10902,0,1272,1272,1672,82,1754,627,10,637,548,0,548,296,0,296,163,0,163,3306,1364,4670,Lower Murray
10903,0,4744,4744,6122,309,6431,1753,31,1784,1759,4,1763,890,0,890,404,0,404,10928,5088,16016,Upper Murray exc. Albury
11001,0,3611,3611,4373,381,4754,1710,84,1794,1657,27,1684,813,11,824,375,5,380,8928,4119,13047,Armidale
11002,0,4326,4326,5269,296,5565,1846,33,1879,1593,3,1596,869,3,872,457,0,457,10034,4661,14695,Inverell - Tenterfield
11003,0,2526,2526,2958,193,3151,1256,14,1270,1228,9,1237,650,0,650,364,0,364,6456,2742,9198,Moree - Narrabri
11004,0,7780,7780,9867,688,10555,4100,77,4177,3779,18,3797,1800,9,1809,819,0,819,20365,8572,28937,Tamworth - Gunnedah
11101,0,10771,10771,14687,865,15552,6759,118,6877,7066,32,7098,2781,4,2785,1068,5,1073,32361,11795,44156,Lake Macquarie - East
11102,0,5919,5919,8870,540,9410,3913,50,3963,3801,15,3816,1749,4,1753,752,0,752,19085,6528,25613,Lake Macquarie - West
11103,0,17898,17898,18618,2618,21236,8649,837,9486,7776,294,8070,3108,119,3227,1157,68,1225,39308,21834,61142,Newcastle
11201,0,8017,8017,9766,1091,10857,3951,244,4195,3552,88,3640,1435,12,1447,629,6,635,19333,9458,28791,Richmond Valley - Coastal
11202,0,7257,7257,8737,825,9562,3631,150,3781,3302,56,3358,1587,17,1604,842,6,848,18099,8311,26410,Richmond Valley - Hinterland
11203,0,9569,9569,11876,1097,12973,4435,122,4557,3884,33,3917,1811,10,1821,813,6,819,22819,10837,33656,Tweed Valley
11301,0,4315,4315,5201,325,5526,2290,41,2331,2290,8,2298,1338,5,1343,649,6,655,11768,4700,16468,Griffith - Murrumbidgee (West)
11302,0,1589,1589,1943,84,2027,707,7,714,698,0,698,313,3,316,159,0,159,3820,1683,5503,Tumut - Tumbarumba
11303,0,8703,8703,10925,925,11850,4450,196,4646,4230,65,4295,2271,17,2288,1088,0,1088,22964,9906,32870,Wagga Wagga
11401,0,9946,9946,13583,769,14352,4591,72,4663,4173,17,4190,1853,6,1859,858,0,858,25058,10810,35868,Shoalhaven
11402,0,4329,4329,6131,276,6407,2117,26,2143,2226,13,2239,1079,3,1082,505,0,505,12058,4647,16705,Southern Highlands
11501,0,5011,5011,11110,441,11551,7971,87,8058,10847,29,10876,4492,26,4518,1828,23,1851,36248,5617,41865,Baulkham Hills
11502,0,1247,1247,2307,106,2413,1286,14,1300,1649,0,1649,895,0,895,532,3,535,6669,1370,8039,Dural - Wisemans Ferry
11503,0,1163,1163,2332,109,2441,1245,4,1249,1450,7,1457,801,3,804,432,0,432,6260,1286,7546,Hawkesbury
11504,0,890,890,1896,102,1998,1376,18,1394,2154,3,2157,1103,3,1106,481,0,481,7010,1016,8026,Rouse Hill - McGraths Hill
11601,0,7760,7760,10701,789,11490,7950,149,8099,7990,60,8050,3606,19,3625,2312,6,2318,32559,8783,41342,Blacktown
11602,0,2715,2715,5187,314,5501,4429,80,4509,5828,30,5858,2536,16,2552,1352,18,1370,19332,3173,22505,Blacktown - North
11603,0,4781,4781,6882,550,7432,5757,48,5805,6077,23,6100,3529,7,3536,2963,3,2966,25208,5412,30620,Mount Druitt
11701,0,3465,3465,3699,485,4184,2506,132,2638,2413,44,2457,927,13,940,430,5,435,9975,4144,14119,Botany
11801,0,14976,14976,14162,3237,17399,5836,996,6832,5246,269,5515,2059,60,2119,581,22,603,27884,19560,47444,Eastern Suburbs - North
11802,0,12994,12994,13104,2942,16046,6959,1106,8065,6602,427,7029,2374,145,2519,844,66,910,29883,17680,47563,Eastern Suburbs - South
11901,0,10175,10175,12328,780,13108,8548,151,8699,9324,47,9371,5185,23,5208,3751,12,3763,39136,11188,50324,Bankstown
11902,0,7785,7785,10006,938,10944,7686,220,7906,7353,117,7470,3705,51,3756,2576,23,2599,31326,9134,40460,Canterbury
11903,0,8932,8932,10782,928,11710,7390,292,7682,7428,141,7569,3154,44,3198,1599,22,1621,30353,10359,40712,Hurstville
11904,0,10062,10062,12082,1279,13361,7766,315,8081,6909,159,7068,2956,63,3019,1728,37,1765,31441,11915,43356,Kogarah - Rockdale
12001,0,6374,6374,8521,962,9483,4706,311,5017,4426,90,4516,1565,19,1584,527,4,531,19745,7760,27505,Canada Bay
12002,0,6290,6290,6696,1124,7820,3215,385,3600,2594,99,2693,696,23,719,190,4,194,13391,7925,21316,Leichhardt
12003,0,11510,11510,12902,1935,14837,8372,704,9076,7827,342,8169,3041,144,3185,1497,63,1560,33639,14698,48337,Strathfield - Burwood - Ashfield
12101,0,8992,8992,10862,1377,12239,6012,361,6373,6339,105,6444,2457,45,2502,694,13,707,26364,10893,37257,Chatswood - Lane Cove
12102,0,5285,5285,7671,526,8197,4941,77,5018,5379,34,5413,2111,12,2123,732,7,739,20834,5941,26775,Hornsby
12103,0,5826,5826,10433,359,10792,5923,93,6016,8236,26,8262,3718,11,3729,1239,5,1244,29549,6320,35869,Ku-ring-gai
12104,0,13831,13831,12787,1849,14636,4453,498,4951,3470,91,3561,1196,7,1203,286,4,290,22192,16280,38472,North Sydney - Mosman
12201,0,3831,3831,4800,638,5438,2089,224,2313,2382,43,2425,924,12,936,186,3,189,10381,4751,15132,Manly
12202,0,3874,3874,6231,367,6598,3081,83,3164,3891,19,3910,1658,6,1664,561,3,564,15422,4352,19774,Pittwater
12203,0,11574,11574,14697,1417,16114,7828,269,8097,9471,92,9563,3813,31,3844,1433,11,1444,37242,13394,50636,Warringah
12301,0,2309,2309,4556,236,4792,2876,46,2922,4034,7,4041,1692,3,1695,807,0,807,13965,2601,16566,Camden
12302,0,8903,8903,12543,916,13459,8892,108,9000,8890,27,8917,4256,9,4265,3013,0,3013,37594,9963,47557,Campbelltown (NSW)
12303,0,1977,1977,3544,175,3719,1949,20,1969,2296,7,2303,1212,4,1216,657,0,657,9658,2183,11841,Wollondilly
12401,0,7161,7161,8893,678,9571,4255,88,4343,4233,20,4253,1810,5,1815,810,4,814,20001,7956,27957,Blue Mountains
12402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blue Mountains - South
12403,0,8430,8430,11915,895,12810,7400,125,7525,7904,24,7928,3694,7,3701,1937,0,1937,32850,9481,42331,Penrith
12404,0,2839,2839,3298,281,3579,2074,52,2126,1951,7,1958,976,0,976,579,0,579,8878,3179,12057,Richmond - Windsor
12405,0,3007,3007,4400,364,4764,3200,46,3246,3281,9,3290,1630,3,1633,986,0,986,13497,3429,16926,St Marys
12501,0,3791,3791,5066,661,5727,4164,250,4414,4246,122,4368,2119,60,2179,1759,43,1802,17354,4927,22281,Auburn
12502,0,3951,3951,5392,360,5752,3637,87,3724,4145,44,4189,1674,15,1689,798,4,802,15646,4461,20107,Carlingford
12503,0,8832,8832,10439,810,11249,7238,168,7406,7313,77,7390,4194,23,4217,3702,14,3716,32886,9924,42810,Merrylands - Guildford
12504,0,10206,10206,12046,1316,13362,8140,411,8551,7155,159,7314,2784,49,2833,1429,20,1449,31554,12161,43715,Parramatta
12601,0,2620,2620,4017,225,4242,2601,89,2690,3220,48,3268,1325,13,1338,466,10,476,11629,3005,14634,Pennant Hills - Epping
12602,0,10921,10921,11952,1319,13271,7104,446,7550,7307,242,7549,2852,103,2955,1111,63,1174,30326,13094,43420,Ryde - Hunters Hill
12701,0,2930,2930,4562,258,4820,4041,27,4068,5194,9,5203,3124,3,3127,2333,4,2337,19254,3231,22485,Bringelly - Green Valley
12702,0,7795,7795,11541,808,12349,9859,155,10014,10643,54,10697,6344,18,6362,4878,12,4890,43265,8842,52107,Fairfield
12703,0,5909,5909,7709,592,8301,5964,76,6040,6916,27,6943,3278,7,3285,1996,4,2000,25863,6615,32478,Liverpool
12801,0,10067,10067,12316,1064,13380,5765,141,5906,6337,26,6363,2795,4,2799,939,4,943,28152,11306,39458,Cronulla - Miranda - Caringbah
12802,0,6223,6223,10160,534,10694,6249,68,6317,7860,16,7876,3434,4,3438,1152,0,1152,28855,6845,35700,Sutherland - Menai - Heathcote
19797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Migratory - Offshore - Shipping (NSW)
19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Special Purpose Codes SA3 (NSW)
20101,0,10234,10234,11222,1242,12464,5030,382,5412,4831,143,4974,2274,31,2305,873,14,887,24230,12046,36276,Ballarat
10101,0,6804,6804,8729,479,9208,3434,35,3469,3335,12,3347,1648,4,1652,770,0,770,17916,7334,25250,Goulburn - Yass
10102,0,4890,4890,5795,432,6227,3001,63,3064,3222,10,3232,1383,6,1389,557,0,557,13958,5401,19359,Queanbeyan
10103,0,2085,2085,2394,162,2556,846,38,884,904,10,914,364,7,371,144,0,144,4652,2302,6954,Snowy Mountains
10104,0,7637,7637,10867,605,11472,3347,61,3408,2681,9,2690,1261,3,1264,608,0,608,18764,8315,27079,South Coast
10201,0,16724,16724,19420,1470,20890,8806,193,8999,9304,36,9340,3881,9,3890,1642,7,1649,43053,18439,61492,Gosford
10202,0,14634,14634,17756,1359,19115,8255,119,8374,7974,38,8012,3703,7,3710,1862,4,1866,39550,16161,55711,Wyong
10301,0,4055,4055,5021,420,5441,2182,104,2286,2152,44,2196,1045,12,1057,493,5,498,10893,4640,15533,Bathurst
10302,0,6235,6235,7370,394,7764,2625,46,2671,2287,9,2296,1413,3,1416,724,0,724,14419,6687,21106,Lachlan Valley
10303,0,4809,4809,5741,373,6114,2192,22,2214,2067,6,2073,1033,0,1033,436,3,439,11469,5213,16682,Lithgow - Mudgee
10304,0,5255,5255,6312,421,6733,2749,73,2822,2736,31,2767,1482,6,1488,711,4,715,13990,5790,19780,Orange
