gml_id,sa3_code16,p_oth_svc_15_19_yr,p_oth_svc_20_24_yr,p_oth_svc_25_34_yr,p_oth_svc_35_44_yr,p_oth_svc_45_54_yr,p_oth_svc_55_64_yr,p_oth_svc_65_74_yr,p_oth_svc_75_84_yr,p_oth_svc_85_yr_over,p_oth_svc_tot,p_inad_desc_ns_15_19,p_inad_desc_ns_20_24,p_inad_desc_ns_25_34,p_inad_desc_ns_35_44,p_inad_desc_ns_45_54,p_inad_desc_ns_55_64,p_inad_desc_ns_65_74,p_inad_desc_ns_75_84,p_inad_desc_ns_85,p_inad_desc_ns_tot,p_tot_15_19_yr,p_tot_20_24_yr,p_tot_25_34_yr,p_tot_35_44_yr,p_tot_45_54_yr,p_tot_55_64_yr,p_tot_65_74_yr,p_tot_75_84_yr,p_tot_85_yr_over,p_tot_tot,sa3_name16
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p41d_industry_of_employment_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_69df,"10102","67","130","253","234","225","146","32","4","0","1098","69","126","212","229","275","186","43","14","0","1149","1683","2502","6111","6526","7420","4464","985","123","12","29823",Queanbeyan
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p41d_industry_of_employment_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_69e0,"10103","27","51","97","85","82","77","16","4","0","438","26","48","71","108","82","97","35","17","3","487","816","1590","3039","3157","3384","2652","886","138","22","15679",Snowy Mountains
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p41d_industry_of_employment_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_69e1,"10104","66","83","156","194","214","217","45","3","0","983","75","82","121","166","227","226","77","25","5","1004","1593","1591","3540","4717","6495","6317","1566","205","30","26060",South Coast
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p41d_industry_of_employment_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_69e2,"10105","43","79","141","124","105","91","30","5","3","614","37","51","108","89","120","110","34","16","3","566","932","1270","2928","3053","3605","2814","830","163","25","15611",Goulburn - Mulwaree
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p41d_industry_of_employment_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_69e3,"10106","41","69","99","120","148","95","37","8","0","614","44","66","87","131","159","107","49","19","0","666","939","1232","2455","3428","3970","2886","1030","215","43","16188",Young - Yass
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p41d_industry_of_employment_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_69e4,"10201","132","294","607","614","679","516","149","14","0","3006","143","288","495","624","698","471","160","43","13","2925","4346","6256","13352","15840","17431","13056","3037","319","45","73680",Gosford
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p41d_industry_of_employment_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_69e5,"10202","134","367","619","586","628","384","78","12","0","2804","180","294","526","554","630","480","128","28","6","2833","4187","6313","12713","13738","14747","10507","2090","168","29","64486",Wyong
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p41d_industry_of_employment_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_69e6,"10301","42","97","162","169","135","95","34","4","0","738","58","71","141","158","160","129","55","15","3","791","1280","2088","4003","4020","4408","3424","964","163","27","20374",Bathurst
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p41d_industry_of_employment_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_69e7,"10302","61","113","164","154","155","124","49","6","4","832","66","123","153","145","183","150","71","28","15","938","1214","1807","3840","4169","4975","4313","1460","373","66","22208",Lachlan Valley
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p41d_industry_of_employment_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_69e8,"10303","39","102","153","160","148","119","34","4","0","761","42","57","91","108","136","108","54","22","8","624","965","1386","3285","3558","4313","3312","936","184","39","17979",Lithgow - Mudgee
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p41d_industry_of_employment_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_69e9,"10304","76","105","265","202","207","137","32","3","0","1032","71","74","137","167","185","142","70","30","7","881","1522","2064","5168","5507","5613","4236","1246","222","38","25627",Orange
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p41d_industry_of_employment_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_69ea,"10401","38","81","133","146","181","133","33","3","0","750","41","55","94","116","146","132","54","28","3","668","1061","1264","2597","3441","4318","3916","948","170","25","17725",Clarence Valley
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p41d_industry_of_employment_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_69eb,"10402","70","141","270","252","307","230","69","6","0","1333","77","122","232","267","290","238","81","33","6","1344","2141","2649","6096","7060","8256","6980","1595","182","25","34976",Coffs Harbour
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p41d_industry_of_employment_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_69ec,"10501","15","33","48","53","58","53","18","6","3","291","23","30","67","74","78","79","41","12","0","402","297","716","1972","1711","2170","1885","659","153","24","9598",Bourke - Cobar - Coonamble
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p41d_industry_of_employment_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_69ed,"10502","17","29","73","53","56","67","18","7","0","313","13","38","54","39","50","62","19","4","8","288","394","691","1585","1436","1773","1660","387","47","14","7989",Broken Hill and Far West
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p41d_industry_of_employment_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_69ee,"10503","72","153","279","230","241","184","70","11","0","1253","82","109","202","172","209","191","86","38","9","1098","1671","2479","5930","5720","6436","5403","1661","359","75","29729",Dubbo
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p41d_industry_of_employment_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_69ef,"10601","111","264","438","372","357","185","47","7","0","1772","90","162","254","296","363","232","46","25","8","1482","2464","3554","7422","7746","8158","5678","1248","192","32","36493",Lower Hunter
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p41d_industry_of_employment_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_69f0,"10602","78","191","413","315","298","181","38","7","0","1520","80","123","274","264","267","168","41","13","13","1242","2124","3225","7630","7421","7150","4648","875","89","24","33192",Maitland
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p41d_industry_of_employment_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_69f1,"10603","65","140","211","247","264","208","57","8","0","1212","70","110","155","220","267","223","74","21","4","1138","1779","2376","4622","5756","6826","5154","1220","164","23","27921",Port Stephens
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p41d_industry_of_employment_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_69f2,"10604","30","70","119","115","80","54","17","3","0","484","27","36","85","104","107","70","23","13","3","474","726","1048","2755","2795","2935","2152","561","116","29","13113",Upper Hunter
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p41d_industry_of_employment_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_69f3,"10701","80","169","334","293","284","176","43","0","0","1380","77","161","280","266","306","185","41","16","7","1334","1834","3056","6444","6800","6915","4516","694","67","11","30342",Dapto - Port Kembla
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p41d_industry_of_employment_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_69f4,"10702","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","7",Illawarra Catchment Reserve
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p41d_industry_of_employment_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_69f5,"10703","100","177","369","363","325","215","50","4","0","1598","97","171","252","285","344","241","53","16","5","1456","2519","3838","7445","8367","8952","6248","1079","113","20","38578",Kiama - Shellharbour
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p41d_industry_of_employment_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_69f6,"10704","108","287","487","446","448","266","59","7","0","2107","103","228","394","386","413","245","79","28","8","1885","3191","6549","12249","12752","12432","8208","1569","185","23","57165",Wollongong
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p41d_industry_of_employment_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_69f7,"10801","16","35","75","89","83","84","32","3","0","409","34","26","47","72","95","77","27","17","4","405","605","649","1431","1883","2532","2329","606","89","18","10141",Great Lakes
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p41d_industry_of_employment_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_69f8,"10802","29","55","96","119","120","108","32","0","0","563","43","41","116","96","125","120","55","19","0","623","949","1118","2332","2960","3784","3622","930","140","23","15854",Kempsey - Nambucca
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p41d_industry_of_employment_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_69f9,"10803","0","0","0","0","3","3","0","0","0","4","0","0","3","3","3","0","0","0","0","12","6","17","40","50","53","59","20","6","0","244",Lord Howe Island
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p41d_industry_of_employment_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_69fa,"10804","53","126","246","249","280","193","59","5","0","1224","77","76","142","199","225","180","65","24","5","987","1856","2063","4861","6150","7495","5851","1371","181","28","29855",Port Macquarie
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p41d_industry_of_employment_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_69fb,"10805","29","77","115","145","174","138","29","3","0","720","37","66","89","106","165","157","65","24","12","713","1098","1348","2734","3331","4507","4047","1085","157","26","18336",Taree - Gloucester
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p41d_industry_of_employment_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_69fc,"10901","61","130","266","218","215","185","42","5","0","1130","62","111","177","163","225","175","87","24","0","1022","1796","2599","5469","5455","5947","4807","1210","149","21","27448",Albury
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p41d_industry_of_employment_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_69fd,"10902","12","16","30","25","36","29","9","0","0","163","25","29","30","55","60","63","26","6","0","293","281","441","880","1025","1349","1219","336","68","12","5617",Lower Murray
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p41d_industry_of_employment_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_69fe,"10903","36","66","123","138","108","109","40","8","0","631","56","63","92","130","147","153","74","24","3","743","957","1267","2853","3270","3942","3824","1188","209","42","17547",Upper Murray exc. Albury
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p41d_industry_of_employment_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_69ff,"11001","37","72","98","94","101","79","18","14","0","508","31","34","87","90","80","66","50","13","7","465","1022","1571","2791","2882","3529","2923","979","186","38","15912",Armidale
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p41d_industry_of_employment_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6a00,"11002","41","49","105","98","93","89","38","10","0","525","43","51","90","98","121","110","76","32","12","629","797","1034","2178","2632","3247","2971","1111","281","43","14303",Inverell - Tenterfield
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p41d_industry_of_employment_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6a01,"11003","41","55","103","97","91","62","26","3","0","488","48","55","91","78","112","102","47","14","0","550","552","872","2162","2225","2523","2115","706","137","11","11303",Moree - Narrabri
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p41d_industry_of_employment_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_6a02,"11004","90","162","305","288","282","248","56","12","6","1440","104","122","265","291","281","246","96","38","12","1459","2098","2813","7015","6905","7632","6236","1742","309","51","34798",Tamworth - Gunnedah
