SA3_MAIN11,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families,SA3_NAME11
12802,14748,894,448,94,0,11,33,16228,Sutherland - Menai - Heathcote
10101,6388,577,431,70,4,12,55,7537,Goulburn - Yass
10102,5929,520,311,45,3,5,29,6842,Queanbeyan
10103,1638,113,89,13,3,6,9,1871,Snowy Mountains
10104,5076,537,322,51,0,11,60,6057,South Coast
10201,16137,1464,894,131,12,17,92,18747,Gosford
10202,13285,1512,1052,165,20,23,139,16196,Wyong
10301,4018,374,231,36,3,7,26,4695,Bathurst
10302,4815,364,301,56,3,10,72,5621,Lachlan Valley
10303,3832,360,275,50,6,7,48,4578,Lithgow - Mudgee
10304,5360,434,326,48,8,13,29,6218,Orange
10401,3832,367,291,57,3,20,46,4616,Clarence Valley
10402,6948,693,449,77,4,9,59,8239,Coffs Harbour
10501,2005,139,122,65,3,8,42,2384,Bourke - Cobar - Coonamble
10502,1551,167,114,22,3,3,20,1880,Broken Hill and Far West
10503,5998,449,369,81,9,8,109,7023,Dubbo
10601,8168,763,599,105,13,16,88,9752,Lower Hunter
10602,7078,636,457,60,9,17,46,8303,Maitland
10603,6068,608,409,66,12,9,49,7221,Port Stephens
10604,2850,234,222,29,0,3,28,3366,Upper Hunter
10701,7690,638,428,81,5,18,60,8920,Dapto - Port Kembla
10702,0,0,0,0,0,0,0,0,Illawarra Catchment Reserve
10703,9091,856,507,105,9,22,66,10656,Kiama - Shellharbour
10704,12331,835,486,85,6,13,45,13801,Wollongong
10801,2047,203,116,19,0,6,36,2427,Great Lakes
10802,3303,293,248,54,4,11,55,3968,Kempsey - Nambucca
20604,3699,280,53,30,3,0,14,4079,Melbourne City
20605,5746,443,96,19,0,3,11,6318,Port Phillip
21105,16762,1509,889,108,5,16,64,19353,Yarra Ranges
21201,8612,864,562,55,11,15,38,10157,Cardinia
21202,16303,1101,629,186,10,14,60,18303,Casey - North
21203,16324,1303,946,252,11,19,55,18910,Casey - South
21204,19333,1111,535,385,14,29,62,21469,Dandenong
21205,19530,914,338,234,3,9,33,21061,Monash
21301,20623,1198,554,370,23,34,89,22891,Brimbank
21302,9045,578,237,72,0,6,25,9963,Hobsons Bay
21303,6821,417,148,110,3,8,25,7532,Maribyrnong
21304,15826,1136,774,124,8,18,65,17951,Melton - Bacchus Marsh
21305,20735,1374,851,242,7,24,70,23303,Wyndham
21401,12408,1434,790,103,12,17,54,14818,Frankston
21402,13928,1296,707,75,3,11,48,16068,Mornington Peninsula
21501,5273,400,291,24,3,10,46,6047,Grampians
21502,4669,386,281,45,3,8,44,5436,Mildura
21503,3397,233,193,24,4,0,19,3870,Murray River - Swan Hill
21601,3356,288,190,22,4,5,23,3888,Campaspe
21602,2475,236,134,22,4,0,18,2889,Moira
21603,5939,437,310,42,7,4,47,6786,Shepparton
21701,3377,261,161,28,3,0,25,3855,Glenelg - Southern Grampians
21702,8226,571,440,60,4,7,47,9355,Warrnambool - Otway Ranges
29797,0,0,0,0,0,0,0,0,Migratory - Offshore - Shipping (Vic.)
29999,0,0,0,0,0,0,0,0,Special Purpose Codes SA3 (Vic.)
30101,8193,755,452,85,4,12,27,9528,Capalaba
30102,8295,811,438,56,5,9,28,9642,Cleveland - Stradbroke
30103,7023,729,358,56,6,12,28,8212,Wynnum - Manly
30201,4520,345,155,45,0,0,19,5084,Bald Hills - Everton Park
30202,6381,547,251,52,3,3,13,7250,Chermside
30203,3118,298,126,34,0,4,10,3590,Nundah
30204,5237,500,268,51,0,8,32,6096,Sandgate
30303,7258,480,198,86,3,6,27,8058,Mt Gravatt
30305,6563,483,292,115,0,10,35,7498,Rocklea - Acacia Ridge
40203,5531,415,216,69,3,10,26,6270,Port Adelaide - East
40204,12718,1370,766,190,7,28,71,15150,Salisbury
40205,10373,933,429,70,3,10,35,11853,Tea Tree Gully
50502,17554,1157,545,179,11,14,51,19511,Stirling
50503,18497,1491,1103,219,9,32,79,21430,Wanneroo
50801,1498,124,94,13,0,0,16,1745,Esperance
50802,749,54,48,15,0,0,16,882,Gascoyne
50803,3666,363,267,86,5,18,46,4451,Goldfields
50804,2243,185,176,162,31,30,93,2920,Kimberley
50805,4768,436,287,68,12,11,68,5650,Mid West
11702,4448,253,99,49,3,3,25,4880,Marrickville - Sydenham - Petersham
11703,7226,555,122,48,3,5,27,7986,Sydney Inner City
20606,3386,246,66,7,0,3,7,3715,Stonnington - West
20607,4900,341,118,26,3,6,18,5412,Yarra
20701,19723,982,340,132,0,9,32,21218,Boroondara
20702,11450,518,196,122,0,5,21,12312,Manningham - West
20703,10978,509,205,84,0,6,13,11795,Whitehorse - West
20801,11637,669,239,45,3,3,13,12609,Bayside
20903,9341,634,288,43,3,4,15,10328,Nillumbik - Kinglake
20904,22151,1221,778,195,5,15,66,24431,Whittlesea - Wallan
21001,6903,333,144,55,0,4,8,7447,Keilor
21002,3445,227,147,21,0,3,4,3847,Macedon Ranges
21003,7181,388,178,64,0,9,13,7833,Moreland - North
21004,4498,372,212,28,3,3,14,5130,Sunbury
21005,17408,920,555,205,3,17,47,19155,Tullamarine - Broadmeadows
21101,19202,1377,668,141,10,17,38,21453,Knox
21102,3735,194,80,22,0,3,3,4037,Manningham - East
21103,11919,895,422,64,3,8,24,13335,Maroondah
21104,7078,374,157,56,0,3,14,7682,Whitehorse - East
20802,16294,805,289,74,3,7,21,17493,Glen Eira
20803,12518,867,396,72,3,3,29,13888,Kingston
20804,4693,193,78,14,0,3,0,4981,Stonnington - East
20901,13952,812,365,95,4,6,28,15262,Banyule
20902,8973,446,197,87,0,7,25,9735,Darebin - North
40101,651,53,16,3,0,0,0,723,Adelaide City
40102,8189,672,352,50,5,3,30,9301,Adelaide Hills
50603,9620,641,271,135,3,13,36,10719,Canning
31603,3873,402,227,14,4,3,15,4538,Maroochy
31604,5791,536,329,37,3,4,30,6730,Nambour - Pomona
31605,3032,316,141,20,0,3,16,3528,Noosa
31606,4493,491,286,32,0,0,23,5325,Sunshine Coast Hinterland
31701,13358,1109,803,132,10,14,92,15518,Toowoomba
31801,4003,316,254,61,9,15,47,4705,Charters Towers - Ayr - Ingham
50103,1995,162,113,14,4,0,26,2314,Manjimup
50201,6940,822,534,61,8,18,69,8452,Mandurah
50301,7515,391,142,21,0,0,17,8086,Cottesloe - Claremont
50302,7277,489,139,28,0,0,24,7957,Perth City
50401,7314,584,272,63,7,10,41,8291,Bayswater - Bassendean
50402,4235,432,209,60,3,7,19,4965,Mundaring
31403,3742,393,259,29,4,3,26,4456,Strathpine
31501,2244,182,197,210,20,28,78,2959,Far North
50501,19865,1441,694,137,8,15,53,22213,Joondalup
40107,3769,251,95,16,0,3,8,4142,Unley
40201,3357,343,204,31,4,8,23,3970,Gawler - Two Wells
40202,6923,876,617,88,12,26,61,8603,Playford
30301,5387,394,184,40,3,0,12,6020,Carindale
30302,5667,395,160,25,4,5,15,6271,Holland Park - Yeronga
30304,3614,241,121,47,0,3,10,4036,Nathan
30306,5256,281,149,95,4,9,20,5814,Sunnybank
30401,4366,293,120,36,0,3,4,4822,Centenary
30402,6160,350,177,28,0,6,6,6727,Kenmore - Brookfield - Moggill
30403,4157,228,80,15,0,3,7,4490,Sherwood - Indooroopilly
30404,5534,432,193,29,0,4,9,6201,The Gap - Enoggera
30501,2568,250,67,15,0,0,10,2910,Brisbane Inner
30502,3601,263,108,10,0,3,11,3996,Brisbane Inner - East
30503,6570,426,166,29,4,5,17,7217,Brisbane Inner - North
30504,5029,311,115,28,0,0,11,5494,Brisbane Inner - West
30601,4876,467,281,41,0,7,32,5704,Cairns - North
30602,7772,743,511,132,11,23,64,9256,Cairns - South
30603,2922,227,168,56,4,0,38,3415,Innisfail - Cassowary Coast
30604,851,78,47,9,3,3,6,997,Port Douglas - Daintree
30605,3079,292,190,67,5,10,38,3681,Tablelands (East) - Kuranda
30701,4149,284,275,52,4,0,45,4809,Darling Downs (West) - Maranoa
30702,3814,282,240,40,4,9,30,4419,Darling Downs - East
30703,3402,301,230,41,4,0,35,4013,Granite Belt
30801,3210,233,250,34,0,9,26,3762,Central Highlands (Qld)
30802,7560,789,549,77,0,18,49,9042,Gladstone - Biloela
30803,9965,969,651,129,12,17,88,11831,Rockhampton
30901,4466,442,179,27,0,3,27,5144,Broadbeach - Burleigh
30902,4208,443,239,34,5,4,24,4957,Coolangatta
30903,4530,488,232,38,4,11,16,5319,Gold Coast - North
30904,1726,174,98,12,0,3,6,2019,Gold Coast Hinterland
30905,3850,328,205,29,3,6,12,4433,Mudgeeraba - Tallebudgera
30906,6841,731,466,70,6,8,37,8159,Nerang
30907,10968,1058,741,90,8,26,49,12940,Ormeau - Oxenford
31502,2656,247,195,108,15,16,53,3290,Outback - North
31503,1847,134,101,37,0,9,11,2139,Outback - South
31601,4858,459,243,44,4,3,10,5621,Buderim
31602,6346,656,347,34,6,7,32,7428,Caloundra
50806,4396,389,309,99,13,27,41,5274,Pilbara
30908,4340,453,214,47,0,3,15,5072,Robina
30909,4418,433,224,50,4,10,23,5162,Southport
30910,2278,218,88,10,0,3,10,2607,Surfers Paradise
31001,6367,567,363,135,11,20,39,7502,Forest Lake - Oxley
31002,5277,552,437,71,9,18,50,6414,Ipswich Hinterland
31003,9139,990,680,109,11,20,56,11005,Ipswich Inner
31004,7178,767,587,119,11,16,56,8734,Springfield - Redbank
31101,1097,109,101,10,0,0,10,1327,Beaudesert
31802,16443,1706,1174,219,28,29,132,19731,Townsville
31901,6995,730,510,54,10,15,52,8366,Bundaberg
31902,3833,376,331,55,12,11,45,4663,Burnett
31903,3738,366,303,42,3,9,38,4499,Gympie - Cooloola
31904,4070,469,305,41,4,4,44,4937,Hervey Bay
31905,3312,342,268,39,10,7,37,4015,Maryborough
39797,0,0,0,0,0,0,0,0,Migratory - Offshore - Shipping (Qld)
39999,0,0,0,0,0,0,0,0,Special Purpose Codes SA3 (Qld)
40303,7095,524,202,35,7,3,19,7885,Mitcham
40304,16410,1807,1078,105,17,20,80,19517,Onkaparinga
40401,10117,785,347,67,4,9,39,11368,Charles Sturt
40402,5018,491,227,65,4,9,43,5857,Port Adelaide - West
40403,5320,349,153,26,0,3,16,5867,West Torrens
40501,3540,326,200,25,4,3,14,4112,Barossa
40502,1940,171,102,15,0,4,18,2250,Lower North
40503,2270,197,151,32,0,3,26,2679,Mid North
40504,1766,171,104,15,0,3,19,2078,Yorke Peninsula
40601,4911,476,347,59,6,18,61,5878,Eyre Peninsula and South West
40602,2254,204,141,58,11,8,48,2724,Outback - North and East
40701,3480,316,228,27,4,3,32,4090,Fleurieu - Kangaroo Island
40702,6022,482,363,42,8,4,53,6974,Limestone Coast
40703,5738,567,388,52,4,12,57,6818,Murray and Mallee
49797,0,0,0,0,0,0,0,0,Migratory - Offshore - Shipping (SA)
49999,0,0,0,0,0,0,0,0,Special Purpose Codes SA3 (SA)
50101,4165,347,223,21,3,3,18,4780,Augusta - Margaret River - Busselton
50102,9340,889,663,97,0,11,59,11059,Bunbury
31102,3277,433,312,55,6,6,35,4124,Beenleigh
31103,7692,897,682,129,16,26,56,9498,Browns Plains
31104,4792,455,369,76,10,6,30,5738,Jimboomba
31105,5845,639,424,91,8,9,34,7050,Loganlea - Carbrook
31106,7065,755,496,159,13,14,65,8567,Springwood - Kingston
31201,3561,294,263,29,6,4,23,4180,Bowen Basin - North
31202,11868,1107,791,110,20,20,70,13986,Mackay
31203,1523,131,68,11,0,4,7,1744,Whitsunday
31301,1974,269,200,16,4,6,20,2489,Bribie - Beachmere
31302,5287,663,587,66,5,9,36,6653,Caboolture
31303,960,114,89,9,0,0,8,1180,Caboolture Hinterland
31304,6390,706,509,76,6,18,44,7749,Narangba - Burpengary
31305,4538,578,316,42,0,15,24,5513,Redcliffe
31401,11112,860,495,62,3,5,30,12567,Hills District
31402,5910,602,436,44,7,10,24,7033,North Lakes
40103,4655,277,108,25,0,0,11,5076,Burnside
40104,5496,337,173,36,0,0,9,6051,Campbelltown (SA)
40105,3090,203,58,13,0,0,4,3368,Norwood - Payneham - St Peters
50403,11843,1068,671,147,9,21,65,13824,Swan
50901,5101,447,286,51,8,0,53,5946,Albany
50902,4765,380,313,56,3,10,56,5583,Wheat Belt - North
50903,1881,136,117,10,3,4,26,2177,Wheat Belt - South
59797,0,0,0,0,0,0,0,0,Migratory - Offshore - Shipping (WA)
59999,0,0,0,0,0,0,0,0,Special Purpose Codes SA3 (WA)
60101,1512,187,122,17,3,5,19,1865,Brighton
60102,4688,537,292,37,3,4,32,5593,Hobart - North East
60103,4198,576,391,37,5,9,36,5252,Hobart - North West
60104,3399,304,180,21,0,4,21,3929,Hobart - South and West
60105,4082,385,164,28,0,3,22,4684,Hobart Inner
60106,1391,177,110,15,0,0,12,1705,Sorell - Dodges Ferry
60201,6971,748,480,32,4,10,43,8288,Launceston
60202,2116,202,135,18,0,0,21,2492,Meander Valley - West Tamar
60203,3234,348,262,17,0,6,32,3899,North East
60301,1130,114,65,10,3,3,18,1343,Central Highlands (Tas.)
60302,1651,181,96,19,4,3,11,1965,Huon - Bruny Island
60303,424,57,28,3,0,3,0,515,South East Coast
60401,4117,512,326,38,4,7,34,5038,Burnie - Ulverstone
60402,3738,496,292,35,3,3,46,4613,Devonport
60403,1680,177,152,9,0,5,15,2038,West Coast
69797,0,0,0,0,0,0,0,0,Migratory - Offshore - Shipping (Tas.)
69999,0,0,0,0,0,0,0,0,Special Purpose Codes SA3 (Tas.)
70101,1553,182,75,11,0,3,6,1830,Darwin City
70102,4773,493,266,97,11,8,41,5689,Darwin Suburbs
70103,1755,195,117,25,0,12,13,2117,Litchfield
50705,11102,1183,811,105,7,31,79,13318,Rockingham
70104,2784,335,275,40,0,14,24,3472,Palmerston
40106,2998,147,50,9,0,0,10,3214,Prospect - Walkerville
40301,2843,238,83,9,0,3,9,3185,Holdfast Bay
40302,8304,689,354,58,3,3,25,9436,Marion
50601,6168,659,472,91,10,16,55,7471,Armadale
50602,5112,482,190,53,3,6,28,5874,Belmont - Victoria Park
50604,11676,1021,623,186,9,27,63,13605,Gosnells
50605,5843,567,298,64,8,11,22,6813,Kalamunda
50606,2144,206,120,26,0,5,12,2513,Serpentine - Jarrahdale
50607,3517,266,66,21,0,3,8,3881,South Perth
50701,10180,810,461,87,10,17,43,11608,Cockburn
50702,2930,272,121,17,3,5,11,3359,Fremantle
50703,2724,344,240,38,0,16,32,3394,Kwinana
50704,11658,723,315,83,3,10,29,12821,Melville
70202,340,23,36,46,12,4,27,488,Barkly
70203,1177,88,64,172,25,22,52,1600,Daly - Tiwi - West Arnhem
70204,1266,67,67,115,22,19,33,1589,East Arnhem
70205,1365,111,108,159,26,16,58,1843,Katherine
79797,0,0,0,0,0,0,0,0,Migratory - Offshore - Shipping (NT)
79999,0,0,0,0,0,0,0,0,Special Purpose Codes SA3 (NT)
70201,2855,266,145,196,20,27,107,3616,Alice Springs
80101,9690,727,455,98,9,5,44,11028,Belconnen
80102,57,4,7,0,0,0,3,71,Cotter - Namadgi
80103,65,15,0,0,0,0,0,80,Fyshwick - Pialligo - Hume
80104,6258,436,238,67,0,7,18,7024,Gungahlin
80105,3341,273,93,23,5,3,7,3745,North Canberra
80106,2210,147,61,9,4,5,3,2439,South Canberra
80107,10289,1057,544,102,7,13,45,12057,Tuggeranong
80108,2590,177,92,17,0,3,3,2882,Weston Creek
80109,3511,226,92,28,0,7,6,3870,Woden
89797,0,0,0,0,0,0,0,0,Migratory - Offshore - Shipping (ACT)
89999,0,0,0,0,0,0,0,0,Special Purpose Codes SA3 (ACT)
90101,155,7,4,0,0,0,3,169,Christmas Island
90102,89,3,4,0,0,0,3,99,Cocos (Keeling) Islands
90103,15,3,0,5,0,0,3,26,Jervis Bay
99797,0,0,0,0,0,0,0,0,Migratory - Offshore - Shipping (OT)
99999,0,0,0,0,0,0,0,0,Special Purpose Codes SA3 (OT)
