sa3_name16,sa3_code16,m_y12_equivalent_indigenous,m_y12_equivalent_non_indig,m_y12_equiv_indigstat_ns,m_y12_equivalent_tot,m_y11_equivalent_indigenous,m_y11_equiv_non_indig,m_y11_equiv_indigstat_ns,m_y11_equivalent_tot,m_y10_equivalent_indigenous,m_y10_equiv_non_indig,m_y10_equiv_indigstat_ns,m_y10_equivalent_tot,m_y9_equivalent_indigenous,m_y9_equiv_non_indig,m_y9_equiv_indigstat_ns,m_y9_equivalent_tot,m_y8_below_indigenous,m_y8_below_non_indig,m_y8_below_indigstat_ns,m_y8_below_tot,m_did_not_go_to_school_indig,m_did_not_go_to_sch_non_indig,m_di_no_go_to_sch_indst_ns,m_did_not_go_to_school_tot,m_highest_yr_school_ns_indig,m_highest_yr_sch_ns_non_indig,m_highe_yr_sch_ns_indst_ns,m_highest_yr_school_ns_tot,m_tot_indigenous,m_tot_non_indigenous,m_tot_indigstat_ns,m_tot_tot,f_y12_equivalent_indigenous,f_y12_equivalent_non_indig,f_y12_equiv_indigstat_ns,f_y12_equivalent_tot,f_y11_equivalent_indigenous,f_y11_equiv_non_indig,f_y11_equiv_indigstat_ns,f_y11_equivalent_tot,f_y10_equivalent_indigenous,f_y10_equiv_non_indig,f_y10_equiv_indigstat_ns,f_y10_equivalent_tot,f_y9_equivalent_indigenous,f_y9_equiv_non_indig,f_y9_equiv_indigstat_ns,f_y9_equivalent_tot,f_y8_below_indigenous,f_y8_below_non_indig,f_y8_below_indigstat_ns,f_y8_below_tot,f_did_not_go_to_school_indig,f_did_not_go_to_sch_non_indig,f_di_no_go_to_sch_indst_ns,f_did_not_go_to_school_tot,f_highest_yr_school_ns_indig,f_highest_yr_sch_ns_non_indig,f_highe_yr_sch_ns_indst_ns,f_highest_yr_school_ns_tot,f_tot_indigenous,f_tot_non_indigenous,f_tot_indigstat_ns,f_tot_tot,p_y12_equivalent_indigenous,p_y12_equivalent_non_indig,p_y12_equiv_indigstat_ns,p_y12_equivalent_tot,p_y11_equivalent_indigenous,p_y11_equiv_non_indig,p_y11_equiv_indigstat_ns,p_y11_equivalent_tot,p_y10_equivalent_indigenous,p_y10_equiv_non_indig,p_y10_equiv_indigstat_ns,p_y10_equivalent_tot,p_y9_equivalent_indigenous,p_y9_equiv_non_indig,p_y9_equiv_indigstat_ns,p_y9_equivalent_tot,p_y8_below_indigenous,p_y8_below_non_indig,p_y8_below_indigstat_ns,p_y8_below_tot,p_did_not_go_to_school_indig,p_did_not_go_to_sch_non_indig,p_di_no_go_to_sch_indst_ns,p_did_not_go_to_school_tot,p_highest_yr_school_ns_indig,p_highest_yr_sch_ns_non_indig,p_highe_yr_sch_ns_indst_ns,p_highest_yr_school_ns_tot,p_tot_indigenous,p_tot_non_indigenous,p_tot_indigstat_ns,p_tot_tot
Port Macquarie,10804,252,10517,76,10848,76,1994,24,2101,327,8906,92,9322,113,2595,33,2731,77,1508,30,1616,5,72,0,76,35,1147,1745,2924,883,26736,2001,29622,326,12160,81,12573,105,2017,22,2133,322,10127,104,10551,89,2768,28,2883,50,1468,32,1551,4,70,0,74,54,1529,1754,3333,946,30133,2024,33097,580,22676,165,23420,181,4011,41,4232,649,19032,190,19877,200,5357,59,5617,122,2977,65,3166,12,139,0,151,90,2671,3500,6261,1831,56868,4019,62723
Taree - Gloucester,10805,226,5701,48,5971,78,1187,15,1280,310,6917,79,7305,153,2182,32,2365,132,1463,21,1616,5,58,5,65,68,794,1280,2143,969,18302,1470,20741,282,6778,71,7131,105,1189,14,1303,360,7223,92,7671,184,2216,28,2430,110,1270,25,1403,5,42,3,51,72,964,1356,2391,1119,19673,1582,22377,508,12481,115,13101,183,2374,30,2585,670,14138,170,14983,335,4393,63,4793,244,2737,41,3021,14,103,4,117,139,1756,2636,4532,2089,37980,3054,43118
Albury,10901,111,8594,50,8762,40,2248,26,2308,147,6034,69,6250,58,1724,19,1804,35,1151,14,1195,5,136,4,142,31,612,1527,2172,430,20498,1705,22634,140,10655,61,10849,60,2287,23,2364,147,5763,51,5969,73,1587,22,1681,44,1080,25,1147,7,154,5,162,29,826,1539,2399,501,22347,1730,24569,249,19246,113,19611,99,4531,46,4675,299,11796,118,12219,127,3311,46,3485,82,2226,36,2344,11,286,5,304,64,1440,3067,4571,928,42846,3432,47206
Lower Murray,10902,43,1207,13,1265,23,615,12,645,86,1201,13,1308,48,437,4,494,60,435,9,507,4,28,0,31,52,173,518,743,318,4100,577,4991,54,1629,19,1702,40,545,8,590,79,914,21,1016,60,345,9,412,36,311,6,363,4,11,0,9,64,173,463,693,341,3931,517,4786,101,2832,29,2966,59,1158,22,1233,170,2116,31,2322,108,782,15,909,103,750,15,870,7,37,0,45,112,350,981,1439,659,8029,1093,9778
Upper Murray exc. Albury,10903,65,4470,29,4560,39,2117,38,2189,94,4414,56,4569,50,1725,22,1801,45,1297,18,1355,3,73,3,77,25,684,1329,2041,321,14778,1487,16586,122,5866,58,6042,35,2150,14,2206,111,3744,47,3904,54,1349,15,1420,34,1013,26,1076,3,41,0,39,31,789,1349,2170,395,14951,1516,16866,186,10332,83,10602,75,4266,53,4392,203,8162,100,8469,103,3075,43,3224,77,2309,49,2432,5,106,3,115,56,1471,2675,4206,711,29730,3003,33449
Armidale,11001,184,6502,33,6720,60,626,4,695,215,3045,38,3300,112,795,9,922,97,615,16,728,6,45,0,47,55,366,1008,1429,734,12001,1113,13845,254,7709,48,8019,60,650,3,715,203,2976,34,3218,108,749,11,867,67,538,11,624,6,38,0,41,63,421,1055,1542,778,13084,1169,15026,439,14212,83,14738,124,1276,12,1411,420,6029,78,6524,221,1548,18,1784,172,1155,27,1356,20,79,0,97,122,786,2065,2973,1514,25080,2278,28877
Inverell - Tenterfield,11002,147,3841,41,4033,69,764,11,845,244,4496,61,4798,143,1380,23,1544,119,1285,20,1422,5,52,3,60,111,742,1245,2099,836,12553,1398,14791,208,4897,49,5162,92,833,6,931,260,4497,61,4816,136,1229,19,1388,80,951,25,1055,8,45,0,45,67,602,1270,1946,849,13058,1439,15346,354,8737,95,9191,161,1599,20,1779,505,8995,119,9617,278,2606,40,2933,201,2235,43,2477,10,90,3,108,179,1343,2517,4046,1692,25610,2840,30138
Moree - Narrabri,11003,225,2641,36,2902,113,501,3,621,375,2534,35,2940,225,705,10,940,164,597,12,779,15,39,0,57,113,316,1013,1443,1233,7337,1106,9680,327,3278,42,3650,153,487,6,644,464,2118,23,2607,209,509,4,730,129,361,5,503,8,24,0,30,129,303,1016,1450,1429,7084,1102,9619,557,5921,73,6550,271,989,9,1266,834,4656,59,5554,438,1216,21,1668,295,964,25,1279,24,65,0,91,239,618,2029,2887,2660,14424,2213,19300
Tamworth - Gunnedah,11004,466,9103,74,9642,209,1624,25,1861,863,8902,118,9882,327,2394,45,2759,279,1804,31,2114,22,104,7,131,211,1012,2145,3371,2384,24945,2441,29763,703,11252,90,12045,255,1685,14,1956,901,8803,100,9810,335,2327,37,2696,213,1389,33,1628,14,93,5,111,179,1086,2203,3468,2599,26644,2477,31723,1174,20362,160,21694,466,3310,44,3818,1769,17703,215,19693,661,4717,78,5455,490,3191,61,3745,39,201,12,244,393,2103,4348,6835,4981,51589,4912,61484
Lake Macquarie - East,11101,366,17960,78,18398,130,2859,19,3008,423,14157,94,14673,147,3664,34,3853,90,1847,16,1962,14,113,3,127,52,1266,1612,2927,1231,41870,1854,44952,447,20026,101,20579,119,2336,12,2467,455,14870,103,15427,143,4532,45,4718,83,2058,18,2167,4,119,3,128,50,1637,1607,3298,1308,45584,1892,48786,813,37988,183,38979,254,5196,28,5474,881,29029,196,30103,294,8200,78,8570,180,3912,37,4122,16,238,4,259,106,2901,3219,6221,2534,87453,3741,93735
Lake Macquarie - West,11102,279,9627,48,9949,114,1935,14,2058,389,9576,59,10025,129,2634,31,2795,84,1351,18,1452,11,91,0,104,40,962,1066,2071,1049,26182,1231,28456,350,11184,43,11577,95,1722,16,1840,407,9653,83,10138,147,2866,20,3033,66,1377,27,1461,4,73,0,79,37,1294,1029,2362,1102,28164,1219,30492,623,20819,88,21531,214,3653,31,3893,797,19230,139,20163,278,5502,49,5831,144,2726,42,2909,13,159,3,183,84,2259,2096,4431,2154,54343,2446,58948
Newcastle,11103,648,31682,134,32453,160,3484,22,3666,578,15434,118,16127,210,3937,33,4170,118,2262,12,2399,17,238,5,258,64,2046,2643,4756,1796,59068,2973,63838,810,33843,142,34801,154,2961,17,3139,603,15596,118,16315,231,4650,39,4922,108,2557,31,2696,8,324,3,332,74,2667,2424,5162,1992,62598,2780,67364,1459,65525,273,67253,322,6442,40,6804,1177,31030,235,32443,441,8579,72,9093,222,4820,46,5093,26,558,7,591,138,4709,5068,9914,3781,121668,5748,131202
Richmond Valley - Coastal,11201,238,13062,91,13391,64,1868,22,1953,208,7431,88,7727,60,1768,25,1853,51,1113,24,1186,9,70,6,87,32,952,2643,3630,659,26259,2901,29818,267,15003,140,15409,62,1846,21,1933,207,8038,73,8314,68,1900,21,1991,42,1148,16,1209,7,56,3,68,46,1083,2734,3853,702,29074,3001,32779,503,28063,228,28800,125,3716,42,3882,413,15464,160,16039,127,3660,45,3839,100,2265,36,2402,17,127,8,154,73,2032,5377,7485,1363,55333,5902,62597
Richmond Valley - Hinterland,11202,279,8881,81,9238,83,1592,9,1688,368,8010,87,8459,167,2190,31,2390,105,1650,23,1782,9,94,0,101,85,764,2070,2924,1097,23181,2300,26580,361,10356,86,10807,107,1655,14,1775,399,8239,111,8748,137,1892,31,2059,95,1550,22,1666,3,74,0,81,91,876,2010,2976,1199,24633,2273,28108,644,19228,166,20046,188,3244,27,3462,765,16252,194,17209,305,4084,55,4446,202,3202,49,3446,11,168,0,179,174,1640,4084,5899,2295,47819,4571,54689
Tweed Valley,11203,324,13075,103,13502,100,2481,36,2612,376,10035,104,10517,134,2449,21,2608,69,1743,25,1833,7,93,0,95,38,1325,2271,3637,1053,31190,2558,34807,398,14781,124,15297,106,2446,19,2575,386,11001,92,11478,120,2624,35,2780,85,1822,28,1934,0,98,3,102,66,1741,2357,4163,1158,34513,2652,38326,724,27853,225,28796,206,4922,54,5182,767,21036,196,21994,255,5068,55,5383,155,3564,51,3773,3,186,3,193,105,3062,4633,7797,2215,65706,5211,73129
Griffith - Murrumbidgee (West),11301,133,5179,41,5350,82,1111,9,1206,347,5553,63,5959,121,1371,12,1509,106,1439,37,1580,7,185,5,198,53,697,1628,2374,843,15538,1788,18168,202,6267,43,6510,79,1074,9,1161,289,4932,60,5276,136,1260,18,1411,87,1128,22,1244,6,175,7,180,73,741,1569,2383,874,15585,1722,18176,334,11443,84,11863,164,2187,16,2366,633,10482,116,11233,259,2631,29,2923,192,2570,57,2825,8,361,13,378,129,1438,3197,4765,1716,31121,3512,36347
Tumut - Tumbarumba,11302,36,1508,10,1564,22,412,0,434,49,1768,26,1840,23,535,8,573,23,419,6,449,0,27,4,27,30,406,443,871,186,5075,499,5761,58,1883,8,1957,27,403,4,434,51,1660,15,1728,26,440,4,471,26,283,3,310,0,16,3,20,15,266,439,725,204,4942,484,5628,97,3398,21,3513,45,809,5,865,105,3428,44,3569,50,977,20,1044,43,703,7,755,0,39,5,45,38,670,885,1591,384,10020,983,11388
Wagga Wagga,11303,353,12420,74,12843,127,2266,26,2419,381,10277,99,10748,192,2682,32,2904,120,1890,37,2047,12,141,3,154,278,1573,2179,4032,1450,31251,2446,35146,456,15347,110,15918,133,2064,25,2224,453,9863,90,10401,203,2552,34,2786,105,1606,28,1737,8,121,3,131,82,1153,2058,3298,1437,32700,2356,36496,811,27763,186,28764,266,4329,53,4645,826,20134,191,21155,390,5235,69,5696,220,3493,63,3782,17,262,4,282,360,2731,4237,7329,2890,63952,4797,71648
