sa3_code16,p_eductrain_gd_gc,p_eductrain_bd,p_eductrain_add_d,p_eductrain_cert,p_eductrain_id_ns,p_eductrain_tot,p_healthcaresoca_pd,p_healthcaresoca_gd_gc,p_healthcaresoca_bd,p_healthcaresoca_add_d,p_healthcaresoca_cert,p_healthcaresoca_id_ns,p_healthcaresoca_tot,p_artrecserv_pd,p_artrecserv_gd_gc,p_artrecserv_bd,p_artrecserv_add_d,p_artrecserv_cert,p_artrecserv_id_ns,p_artrecserv_tot,p_othserv_pd,p_othserv_gd_gc,p_othserv_bd,p_othserv_add_d,p_othserv_cert,p_othserv_id_ns,p_othserv_tot,p_id_ns_pd,p_id_ns_gd_gc,p_id_ns_bd,p_id_ns_add_d,p_id_ns_cert,p_id_ns_id_ns,p_id_ns_tot,p_tot_pd,p_tot_gd_gc,p_tot_bd,p_tot_add_d,p_tot_cert,p_tot_id_ns,p_tot_tot,sa3_name16
10102,209,731,234,290,31,1795,213,162,778,464,544,80,2242,31,14,93,43,77,3,267,31,15,111,122,507,25,803,49,15,90,78,321,107,665,2276,1053,5195,3626,7223,709,20083,Queanbeyan
10103,50,280,81,125,13,611,45,33,205,129,186,26,628,15,16,79,50,188,14,361,4,0,23,24,166,7,228,8,3,17,27,84,49,185,294,172,1329,965,2984,378,6135,Snowy Mountains
10104,257,739,256,284,39,1770,223,170,973,627,1093,118,3197,17,8,65,45,136,8,287,23,3,47,71,581,22,746,19,4,66,65,279,113,544,751,681,3445,2646,8597,920,17046,South Coast
10105,98,402,182,180,16,983,117,65,432,397,664,70,1732,3,3,23,19,44,5,102,5,4,29,53,347,13,462,6,3,35,36,177,43,299,441,294,1751,1727,4900,501,9623,Goulburn - Mulwaree
10106,105,505,156,180,31,1112,81,66,387,289,484,57,1366,4,5,32,19,51,7,125,13,9,41,55,306,10,428,12,5,39,52,161,63,338,711,416,2521,1683,4533,555,10409,Young - Yass
10201,453,2572,781,785,131,5572,855,495,3502,1936,2741,353,9884,34,20,185,140,278,32,700,81,39,244,369,1516,78,2329,79,26,296,265,808,285,1765,3357,1634,13043,9366,20945,2193,50535,Gosford
10202,284,1800,539,707,82,3823,344,263,1897,1651,3036,335,7520,18,5,83,99,278,25,509,22,12,123,272,1594,55,2079,29,11,148,181,862,269,1502,1382,892,7056,7132,21680,2021,40153,Wyong
10301,188,897,259,330,43,2015,170,121,688,439,642,72,2135,10,7,36,33,68,11,163,13,4,53,66,406,17,556,8,11,42,58,252,69,438,753,530,3211,2033,6382,601,13505,Bathurst
10302,130,797,245,326,43,1660,78,75,479,422,799,102,1948,0,3,14,8,65,9,94,3,3,39,60,499,16,628,3,3,52,46,238,103,443,358,340,2575,1965,7109,935,13272,Lachlan Valley
10303,98,481,162,237,27,1098,58,61,410,344,580,77,1525,5,0,24,20,63,3,125,3,5,37,59,461,18,590,5,4,37,43,193,72,348,357,286,1999,1725,6386,667,11418,Lithgow - Mudgee
10304,169,977,286,350,29,2062,322,191,1266,707,984,140,3604,5,0,37,21,45,9,119,10,9,57,100,560,18,751,18,4,66,48,249,93,473,1077,599,4365,2726,7762,780,17301,Orange
10401,98,532,207,236,34,1191,113,79,567,441,936,98,2234,8,0,21,28,61,16,131,14,5,40,62,413,15,546,3,6,19,35,211,68,343,397,303,2053,1676,5968,689,11091,Clarence Valley
10402,257,1353,449,443,57,2861,365,216,1690,1002,1502,167,4938,17,13,65,51,146,12,309,19,10,100,129,723,43,1017,20,10,105,100,403,123,759,1102,785,5713,4025,10414,1035,23068,Coffs Harbour
10501,53,355,93,138,37,741,33,22,199,170,208,47,687,0,0,6,5,15,3,40,0,0,15,19,153,10,192,3,0,16,9,88,40,162,181,118,1156,861,2516,389,5226,Bourke - Cobar - Coonamble
10502,45,249,79,119,12,558,73,63,275,216,368,44,1035,0,0,4,6,29,3,44,3,3,8,18,169,8,209,3,6,12,15,67,33,128,176,162,796,673,2496,286,4588,Broken Hill and Far West
10503,226,1144,298,442,54,2386,205,148,1055,738,1124,129,3402,9,10,53,25,149,12,251,19,5,69,89,734,37,948,13,6,55,56,329,112,562,816,594,4258,2844,9291,1028,18829,Dubbo
10601,162,722,268,478,42,1855,129,103,730,718,1290,141,3122,13,3,26,29,110,11,189,16,12,47,127,1086,32,1321,10,6,77,86,500,119,791,693,497,3374,3345,13581,1095,22582,Lower Hunter
10602,211,1010,303,362,36,2216,231,136,1135,778,1263,140,3690,4,5,28,27,85,14,168,20,9,76,175,863,33,1171,14,10,63,99,394,92,674,998,593,4371,3758,11337,790,21852,Maitland
10603,126,658,283,325,33,1604,143,85,753,656,1103,131,2865,3,4,40,37,107,13,205,15,14,59,119,707,22,931,18,5,62,80,357,113,641,718,389,3105,3194,9858,837,18104,Port Stephens
10604,55,353,100,137,21,736,34,24,217,187,307,38,811,0,4,18,18,48,8,95,3,3,10,42,275,8,345,0,0,25,32,140,48,258,232,166,1330,1173,4571,434,7901,Upper Hunter
10701,232,849,306,418,58,2198,247,127,882,854,1391,138,3638,4,8,41,29,95,4,181,22,11,77,140,752,30,1027,24,4,84,82,419,118,722,1042,533,3759,3480,10060,899,19768,Dapto - Port Kembla
10702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Illawarra Catchment Reserve
10703,362,1293,430,514,52,3054,360,199,1238,1045,1652,179,4677,10,3,58,71,125,16,284,24,14,99,150,923,34,1238,16,10,100,105,485,147,865,1320,837,5216,4666,12911,1126,26083,Kiama - Shellharbour
10704,706,2873,685,731,104,6993,1008,382,2752,1327,1523,239,7240,66,18,201,114,182,15,601,90,18,235,251,1021,51,1658,88,22,270,154,500,171,1203,5045,1826,12724,6836,14089,1373,41892,Wollongong
10801,68,299,107,125,19,686,68,46,316,272,518,52,1276,4,0,20,9,39,3,80,7,3,19,46,226,14,316,4,0,17,28,122,45,219,232,175,1129,1076,3452,394,6458,Great Lakes
10802,121,517,186,282,48,1246,98,65,515,442,892,83,2094,3,0,11,14,54,7,88,5,3,23,49,329,18,430,8,4,26,38,190,83,346,290,283,1747,1520,5546,627,10016,Kempsey - Nambucca
10803,0,5,0,0,0,10,0,0,0,0,0,0,6,0,0,0,0,3,0,4,0,0,5,0,0,0,6,0,0,0,0,3,0,9,9,0,37,19,89,6,158,Lord Howe Island
10804,240,1121,374,450,47,2515,321,163,1397,903,1412,160,4350,7,3,34,40,110,6,200,19,6,68,123,719,41,967,15,9,58,66,295,92,537,965,632,4418,3461,9688,917,20079,Port Macquarie
10805,124,600,242,247,46,1376,141,103,688,618,1091,141,2799,4,3,23,28,66,6,137,4,8,29,66,417,12,534,11,3,34,39,223,64,368,400,349,2103,1943,6272,721,11791,Taree - Gloucester
10901,255,997,329,340,46,2269,253,203,1160,648,973,114,3357,6,9,36,26,68,6,148,22,14,57,114,595,27,832,18,10,79,63,304,94,562,953,725,4285,3022,8375,771,18133,Albury
10902,42,156,50,49,10,334,15,15,102,93,144,13,383,0,0,3,10,17,3,31,4,0,5,21,77,9,114,0,0,12,12,64,33,121,72,81,539,460,1511,206,2865,Lower Murray
10903,108,509,143,166,27,1002,81,81,454,371,533,90,1613,0,0,17,20,60,12,108,8,3,31,55,350,21,469,3,4,25,42,181,80,338,292,294,2015,1667,5291,703,10266,Upper Murray exc. Albury
11001,217,893,286,300,45,2498,167,97,553,331,473,67,1685,6,3,25,14,31,3,85,21,5,52,37,257,14,385,11,7,43,28,115,46,263,1339,486,2792,1527,4010,481,10637,Armidale
11002,101,482,146,198,30,1025,45,36,323,326,611,80,1420,0,0,6,8,38,8,60,3,0,30,26,306,5,370,4,6,24,26,139,95,294,210,219,1574,1345,4493,651,8494,Inverell - Tenterfield
11003,51,366,91,141,20,718,37,37,227,186,306,41,839,3,0,11,3,19,0,37,5,3,17,26,264,18,332,3,3,27,25,144,71,268,209,175,1411,1003,3051,468,6319,Moree - Narrabri
11004,237,1148,395,465,77,2554,252,177,1206,900,1292,166,3985,5,0,25,28,99,10,165,14,10,57,100,833,46,1056,13,8,69,81,428,148,741,818,628,4475,3496,10893,1342,21661,Tamworth - Gunnedah
11101,347,2042,599,606,87,4339,612,350,2583,1382,2104,257,7276,15,9,86,67,159,15,346,31,14,147,205,1171,34,1606,46,16,166,133,559,152,1063,2246,1211,9277,6059,15817,1282,35899,Lake Macquarie - East
11102,150,936,296,440,41,2182,267,155,1182,907,1503,143,4156,3,5,37,35,99,14,190,37,13,88,128,806,33,1109,24,5,64,92,401,120,712,1054,514,4005,3492,10667,829,20554,Lake Macquarie - West
11103,486,3078,703,753,105,6696,1375,550,4931,1861,2520,342,11581,37,21,204,97,221,21,605,85,19,310,280,1340,67,2106,75,24,316,186,589,225,1410,5227,1877,17167,8208,18697,1681,52859,Newcastle
11201,333,1437,429,386,66,3135,465,238,1611,859,1138,165,4479,29,15,156,85,114,15,416,15,13,123,154,587,19,909,45,25,246,170,360,126,973,1588,945,6683,3885,8827,1046,22979,Richmond Valley - Coastal
11202,252,1092,337,459,48,2459,271,179,1257,777,1330,131,3945,6,10,62,28,79,15,200,12,4,66,91,593,27,803,19,7,72,72,304,110,585,814,641,4164,2632,8594,859,17713,Richmond Valley - Hinterland
11203,286,1241,373,439,67,2705,323,200,1439,1003,1498,171,4636,8,8,83,83,176,21,371,6,14,93,167,705,36,1024,21,20,152,129,478,151,946,1073,784,5249,4115,10797,1109,23133,Tweed Valley
11301,119,674,174,258,53,1376,65,66,455,370,539,60,1555,3,4,12,15,38,3,73,3,0,31,46,469,31,583,13,9,38,53,227,108,448,375,306,2484,1724,6300,901,12092,Griffith - Murrumbidgee (West)
11302,25,175,63,65,12,372,12,14,101,124,165,24,444,0,0,14,8,19,0,42,0,3,7,10,107,7,132,3,3,11,13,92,33,152,95,88,663,563,1906,240,3555,Tumut - Tumbarumba
11303,309,1562,474,663,79,3633,342,211,1736,954,1528,158,4931,9,3,44,26,113,5,205,18,8,90,126,920,32,1188,17,7,89,82,449,140,776,1366,851,6308,3957,13164,1232,26885,Wagga Wagga
11401,319,990,377,479,60,2523,287,186,1236,911,1640,187,4446,17,7,79,43,154,28,330,21,15,77,125,824,42,1098,30,7,82,85,453,169,828,1148,859,4549,4103,12515,1208,24382,Shoalhaven
11402,193,678,239,234,52,1730,240,111,709,438,547,93,2143,26,16,63,35,62,5,201,22,12,62,100,466,16,674,33,17,101,97,272,76,587,1178,561,3442,2386,5959,644,14173,Southern Highlands
11501,484,2789,674,474,113,5864,1374,376,3262,1207,1002,255,7471,56,5,196,104,137,17,528,180,38,426,319,857,62,1886,306,51,727,351,475,222,2123,9177,2062,21393,8758,10903,1834,54125,Baulkham Hills
11502,86,464,137,113,26,1040,136,48,410,207,181,34,1021,12,3,25,22,30,4,93,23,10,69,67,307,18,494,32,9,88,58,153,53,389,846,300,2759,1603,3233,392,9136,Dural - Wisemans Ferry
11503,110,417,155,176,24,1085,75,51,299,255,276,32,980,3,3,21,21,79,9,138,7,0,31,55,392,9,496,9,5,35,54,207,71,386,443,259,1597,1532,4312,359,8503,Hawkesbury
11504,79,563,135,145,30,1183,162,60,553,269,280,46,1364,9,9,31,26,59,7,138,19,8,70,76,401,10,581,38,5,123,85,213,45,512,1128,335,3574,2147,4299,463,11945,Rouse Hill - McGraths Hill
11601,201,1307,405,456,91,3188,718,214,2610,1195,1531,246,6503,35,12,106,76,131,13,379,110,27,266,258,931,66,1662,170,28,466,337,720,344,2060,4937,1005,12895,7126,12720,1997,40685,Blacktown
11602,214,1443,319,339,68,3109,654,182,1968,852,868,163,4688,23,6,70,65,113,25,309,62,27,254,219,735,41,1335,139,24,377,212,420,145,1324,4770,1009,11731,5706,8962,1234,33407,Blacktown - North
11603,108,645,239,324,48,1747,290,94,1645,889,1327,184,4429,0,3,59,51,107,15,239,20,0,160,131,653,38,1014,66,7,261,200,576,311,1424,2002,438,7295,4558,10007,1542,25839,Mount Druitt
11701,86,571,153,140,34,1351,287,94,774,337,338,79,1906,25,3,96,55,81,11,263,43,3,136,105,330,28,643,80,7,215,89,187,94,666,2306,440,5697,2692,4068,674,15885,Botany
11703,523,3180,520,338,107,8230,2176,485,4392,954,659,220,8889,470,112,1290,409,328,67,2671,320,68,891,449,832,93,2665,622,80,1737,568,466,487,3960,20544,3868,46063,12674,10733,2832,96713,Sydney Inner City
11801,358,1930,412,223,110,4442,1593,311,3048,637,373,218,6175,207,56,753,212,180,49,1462,145,28,490,273,506,61,1508,379,55,1180,346,292,279,2529,10602,2234,27891,6691,5958,1932,55301,Eastern Suburbs - North
11802,439,2537,530,396,125,6514,1548,381,3566,995,730,232,7444,130,32,517,208,256,48,1183,144,37,426,314,685,58,1664,315,50,708,268,347,218,1901,9988,2058,22361,7198,9246,1751,52597,Eastern Suburbs - South
11901,258,1815,565,564,143,4257,591,187,2081,1226,1275,235,5591,36,11,146,92,192,22,492,87,23,287,348,1185,86,2022,132,21,472,374,785,391,2185,3983,1005,12996,7911,13750,2214,41862,Bankstown
11902,198,1306,381,306,80,3061,599,160,1830,939,970,203,4705,52,5,148,74,120,24,424,86,21,293,285,846,76,1608,196,11,537,340,539,349,1979,4732,894,12219,6585,8986,1874,35295,Canterbury
11903,270,1731,428,340,77,3731,819,235,2440,921,904,210,5530,51,12,182,112,148,22,524,152,27,314,229,724,37,1475,271,18,593,278,415,280,1850,6600,1223,15659,6853,8945,1723,41006,Hurstville
11904,258,1530,405,342,93,3621,906,252,2846,1126,1020,249,6395,70,22,215,152,164,22,644,111,21,354,338,858,72,1756,250,32,669,318,523,338,2132,6934,1291,17553,8324,10391,2197,46688,Kogarah - Rockdale
12001,298,1473,320,265,71,3329,821,206,1875,513,406,128,3948,69,20,195,102,111,19,518,110,13,250,189,514,36,1112,211,28,459,204,252,145,1305,6143,1335,13819,4969,5979,1162,33414,Canada Bay
12002,261,1048,221,131,54,2762,751,167,1323,316,223,69,2854,136,31,340,99,88,16,709,75,26,216,111,220,26,665,132,23,370,122,107,93,841,5246,1362,11338,3158,3123,627,24842,Leichhardt
12003,507,2448,451,366,90,5782,1668,389,3895,1152,983,262,8343,140,39,437,167,141,29,959,217,52,569,280,589,58,1765,357,50,873,364,433,329,2414,11190,2337,24713,8117,8756,2092,57207,Strathfield - Burwood - Ashfield
12101,339,1645,335,194,63,3860,1287,329,2857,647,433,153,5705,107,36,291,107,104,12,659,188,30,383,198,407,44,1244,335,52,746,252,205,168,1760,10549,2073,22133,5589,4711,1229,46289,Chatswood - Lane Cove
12102,362,1628,399,338,65,3726,711,275,1994,865,811,170,4818,56,16,171,84,87,18,422,96,29,287,151,529,26,1117,167,37,401,185,249,120,1162,5434,1416,12077,4889,6387,1008,31201,Hornsby
12103,391,1970,424,219,90,4490,1548,337,3144,717,411,198,6344,90,24,256,75,73,25,545,197,34,404,170,330,40,1180,387,41,774,219,219,139,1773,10369,2089,20812,5225,4282,1332,44105,Ku-ring-gai
11702,257,1239,204,144,26,3025,590,175,1259,351,292,62,2730,103,42,363,120,104,10,747,80,34,255,111,313,18,807,91,18,309,113,150,120,804,4146,1168,10335,3312,3829,609,23395,Marrickville - Sydenham - Petersham
