SA3_MAIN11,R_0_74_LT_Real_estate_agent,R_0_74_LT_Ste_terr_hsg_auth,R_0_74_LT_Psn_not_Sme_hhd,R_0_74_LT_hs_coop_com_ch_g,R_0_74_LT_Other_Lld_type,R_0_74_LT_Lld_type_ns,R_0_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_hs_coop_com_ch_g,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_estat_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_hs_coop_com_ch_g,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_estat_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_hs_coop_com_ch_g,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_estat_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_hs_coop_com_ch_g,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_hs_coop_com_ch_g,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_hs_coop_com_ch_g,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_hs_coop_com_ch_g,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_hs_coop_com_ch_g,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_hs_coop_com_ch_g,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_over_LT_Real_eSte_agent,R_650_over_LT_Ste_ter_hsg_aut,R_650_over_LT_Psn_not_Sme_hhd,R_650_ovr_LT_hs_coop_com_ch_g,R_650_over_LT_Other_Lld_type,R_650_over_LT_Lld_type_ns,R_650_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_hs_coop_com_ch_g,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_Psn_not_Sme_hhd,Tot_LT_hs_coop_com_ch_g,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot,SA3_NAME11
10303,13,49,166,7,82,141,458,18,131,26,4,10,3,192,193,194,183,20,31,7,628,520,164,231,9,47,10,981,308,79,127,7,23,3,547,434,39,96,6,4,3,582,316,7,64,0,11,3,401,184,0,31,0,6,0,221,28,0,9,0,0,0,37,3,0,0,0,0,0,3,14,3,16,0,3,0,36,30,36,51,3,30,3,153,2061,702,1000,56,247,173,4239,Lithgow - Mudgee
10304,20,90,117,20,65,120,432,8,233,28,38,5,3,315,158,230,139,34,29,11,601,591,219,200,21,21,4,1056,345,63,141,4,11,0,564,731,39,156,3,16,3,948,724,7,118,0,17,0,866,415,4,55,0,6,3,483,98,0,10,4,7,0,119,14,0,7,0,0,0,21,24,4,10,0,3,0,41,58,80,52,15,29,10,244,3186,969,1033,139,209,154,5690,Orange
10401,7,44,113,13,54,113,344,3,112,30,13,14,3,175,98,104,184,75,54,8,523,375,74,340,36,38,3,866,329,25,200,6,28,5,593,682,19,245,10,26,11,993,693,7,155,5,19,3,882,166,6,29,0,0,0,201,15,0,5,4,0,0,24,0,0,0,0,0,0,0,16,3,8,0,4,0,31,35,36,41,7,21,3,143,2419,430,1350,169,258,149,4775,Clarence Valley
10402,20,123,170,30,34,159,536,7,401,30,15,16,9,478,77,246,218,80,100,18,739,489,172,364,51,76,11,1163,511,60,287,20,36,8,922,965,101,408,22,58,10,1564,1576,31,506,9,42,9,2173,1087,7,243,3,30,4,1374,211,3,34,0,3,0,251,34,3,8,0,0,0,45,41,6,19,0,5,0,71,64,99,64,29,33,23,312,5082,1252,2351,259,433,251,9628,Coffs Harbour
10501,12,106,189,92,413,252,1064,12,84,46,79,60,7,288,99,237,247,178,157,20,938,173,91,163,40,105,4,576,48,16,55,3,22,0,144,61,3,26,0,19,0,109,34,0,9,3,4,0,50,7,3,8,3,3,0,24,3,0,3,0,0,0,6,3,0,0,0,0,0,3,0,3,11,0,4,3,21,8,31,50,24,83,14,210,460,574,807,422,870,300,3433,Bourke - Cobar - Coonamble
10502,5,26,86,9,175,76,377,3,35,21,10,12,0,81,128,92,190,38,48,5,501,281,38,142,10,36,0,507,109,6,54,0,10,0,179,58,0,29,3,13,0,103,40,0,19,0,7,0,66,16,0,3,0,0,0,19,4,0,0,0,3,0,7,0,0,0,0,0,0,0,4,0,3,0,0,0,7,11,10,45,0,25,0,91,659,207,592,70,329,81,1938,Broken Hill and Far West
10503,12,114,244,41,166,227,804,36,294,70,37,23,5,465,539,418,386,86,104,13,1546,917,159,356,52,60,16,1560,470,37,188,5,26,3,729,678,20,210,3,10,4,925,401,20,81,0,11,0,513,175,0,29,5,3,3,215,8,0,9,0,0,0,17,0,0,6,0,0,0,6,19,7,15,0,6,3,50,46,66,87,12,52,16,279,3301,1135,1681,241,461,290,7109,Dubbo
10601,21,116,181,15,59,155,547,18,277,23,15,16,5,354,135,280,168,8,39,5,635,486,178,251,11,70,7,1003,413,51,201,4,62,3,734,1034,61,243,5,47,9,1399,1105,19,178,10,25,4,1341,703,0,84,4,7,0,798,105,3,20,0,4,0,132,15,0,5,0,0,0,20,22,0,15,0,5,3,45,84,68,69,11,45,16,293,4141,1053,1438,83,379,207,7301,Lower Hunter
10101,16,85,235,38,176,232,782,28,189,64,27,22,3,333,297,218,267,44,72,11,909,686,157,378,28,65,6,1320,418,66,229,4,19,3,739,608,17,196,8,33,4,866,441,8,146,3,8,3,609,121,3,76,0,11,0,211,36,3,34,0,3,0,76,16,0,7,0,4,0,27,15,0,22,0,4,4,45,33,40,90,15,59,9,246,2715,786,1744,167,476,275,6163,Goulburn - Yass
10102,5,58,107,10,34,86,300,0,163,12,13,11,0,199,49,154,61,28,11,3,306,228,99,120,19,46,3,515,252,30,88,6,54,0,430,385,40,127,7,127,5,691,596,74,215,4,123,3,1015,668,35,247,0,48,3,1001,291,3,94,0,15,0,403,113,0,37,0,6,0,156,68,3,12,0,3,3,89,43,39,47,4,21,7,161,2698,698,1167,91,499,113,5266,Queanbeyan
10103,4,10,79,5,47,73,218,22,31,22,3,9,3,90,110,19,110,10,31,5,285,137,35,113,8,17,5,315,108,0,62,3,11,0,184,163,11,61,0,4,0,239,107,0,28,0,11,4,150,53,0,18,0,3,0,74,11,0,6,0,0,0,17,10,0,5,0,0,0,15,28,4,13,0,3,0,48,16,3,30,3,22,0,74,769,113,547,32,158,90,1709,Snowy Mountains
10104,5,55,182,18,69,170,499,12,186,33,33,23,5,292,130,216,240,90,48,8,732,623,109,426,32,52,18,1260,506,58,289,12,29,3,897,927,71,360,12,23,3,1396,765,18,224,3,17,5,1032,245,3,58,3,9,3,321,18,0,11,0,3,0,32,0,0,3,0,0,0,3,18,0,15,3,3,0,39,51,45,82,17,29,5,229,3300,761,1923,223,305,220,6732,South Coast
10201,11,191,196,36,29,199,662,6,670,18,44,24,8,770,128,428,186,108,97,15,962,569,241,333,64,78,12,1297,518,76,354,24,64,13,1049,1690,124,542,28,37,12,2433,3384,115,736,5,58,18,4316,2289,12,464,3,23,3,2794,649,3,102,0,3,3,760,180,0,43,0,0,0,223,135,6,33,3,6,0,183,131,128,115,27,31,34,466,9690,1994,3122,342,450,317,15915,Gosford
10202,17,159,183,43,33,182,617,9,547,23,33,8,3,623,131,391,192,55,168,11,948,627,279,405,83,155,20,1569,723,85,433,20,60,9,1330,2328,101,708,31,62,16,3246,3493,67,754,20,60,20,4414,1707,12,286,4,21,9,2039,248,3,52,0,4,5,312,66,0,20,0,4,0,90,55,5,30,5,10,0,105,147,101,114,25,43,33,463,9551,1750,3200,319,628,308,15756,Wyong
10301,12,71,97,21,49,100,350,12,148,22,14,10,0,206,190,150,116,17,31,9,513,425,122,166,12,10,7,742,352,51,159,5,16,0,583,668,11,160,5,10,5,859,577,5,115,3,4,0,704,274,0,49,0,3,0,326,31,3,3,0,0,0,37,6,0,0,0,0,0,6,10,3,9,0,0,0,22,42,31,38,6,25,5,147,2599,595,934,83,158,126,4495,Bathurst
10302,21,115,329,63,212,242,982,45,217,102,41,24,6,435,511,252,410,92,109,24,1398,787,133,442,20,73,9,1464,240,12,141,5,13,0,411,237,6,74,3,29,0,349,111,5,34,0,17,0,167,30,3,11,0,3,0,47,5,0,6,0,0,0,11,0,3,0,0,0,0,3,11,0,23,0,3,0,37,37,42,89,12,71,11,262,2035,788,1661,236,554,292,5566,Lachlan Valley
10602,0,101,60,7,16,47,231,6,302,6,18,3,6,341,84,292,79,23,40,6,524,320,180,119,14,63,6,702,208,77,119,8,81,0,493,520,110,209,8,47,0,894,1203,47,206,0,31,3,1490,890,3,97,0,4,0,994,150,0,12,0,0,0,162,9,0,6,0,0,0,15,18,8,7,0,0,0,33,54,65,43,12,18,12,204,3462,1185,963,90,303,80,6083,Maitland
10603,9,79,101,14,35,93,331,4,222,13,29,28,3,299,77,197,95,50,55,9,483,307,119,169,31,149,0,775,360,64,172,7,214,3,820,917,105,232,3,96,4,1357,1324,10,221,3,35,3,1596,731,0,125,0,11,4,871,126,0,21,0,3,0,150,27,0,7,0,3,0,37,43,3,12,0,6,0,64,66,43,43,24,38,7,221,3991,842,1211,161,673,126,7004,Port Stephens
