SA3_MAIN11,No_IC_DS_Separate_house,No_IC_DS_SemD_ro_tr_h_th,No_IC_DS_Flat_Unit_or_Apart,No_IC_DS_Other_dwelling,No_IC_DS_Not_stated,No_IC_Total,Tof_IC_BrdB_DS_Separate_house,Tof_IC_BrdB_DS_SemD_ro_tr_h_t,Tof_IC_BrdB_DS_Flt_Unt_or_Apt,Tof_IC_BrdB_DS_Other_dwelling,Tof_IC_BrdB_DS_Not_stated,Tof_IC_BrdB_Total,Tof_IC_DU_DS_Separate_house,Tof_IC_DU_DS_SemD_ro_tr_h_th,Tof_IC_DU_DS_Flt_Unt_or_Aprt,Tof_IC_DU_DS_Other_dwelling,Tof_IC_DU_DS_Not_stated,Tof_IC_D_up_Total,Tof_IC_Oth_DS_Separate_house,Tof_IC_Oth_DS_SemD_ro_tr_h_th,Tof_IC_Ot_DS_Flt_Unt_or_Aprt,Tof_IC_Oth_DS_Other_dwelling,Tof_IC_Oth_DS_Not_stated,Tof_IC_Other_Total,Tof_IC_Tot_DS_Separate_house,Tof_IC_Tot_DS_SemD_ro_tr_h_th,Tof_IC_Tot_DS_Flt_Unt_or_Apt,Tof_IC_Tot_DS_Other_dwelling,Tof_IC_Tot_DS_Not_stated,Tof_IC_Tot_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_Unit_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_Unit_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total,SA3_NAME11
10301,2890,336,370,30,6,3632,9105,556,416,27,19,10123,506,19,29,5,0,559,540,60,76,5,5,686,10151,635,521,37,24,11368,406,67,51,6,0,530,13447,1038,942,73,30,15530,Bathurst
10302,6238,299,443,83,4,7067,11183,177,212,78,12,11662,762,14,12,3,0,791,632,26,50,5,0,713,12577,217,274,86,12,13166,721,42,68,33,7,871,19536,558,785,202,23,21104,Lachlan Valley
10303,4088,329,282,98,3,4800,9569,301,160,66,8,10104,548,20,12,3,0,583,476,46,30,12,0,564,10593,367,202,81,8,11251,500,44,47,42,0,633,15181,740,531,221,11,16684,Lithgow - Mudgee
10304,4144,402,417,67,0,5030,11593,500,338,62,10,12503,645,33,21,3,0,702,622,74,66,11,0,773,12860,607,425,76,10,13978,625,62,58,22,3,770,17629,1071,900,165,13,19778,Orange
10401,4418,319,484,256,15,5492,10460,372,459,185,7,11483,706,29,41,16,4,796,481,31,69,24,0,605,11647,432,569,225,11,12884,568,42,49,42,4,705,16633,793,1102,523,30,19081,Clarence Valley
10402,4763,917,1045,498,5,7228,17443,1691,1290,365,10,20799,811,107,92,24,0,1034,738,138,165,37,0,1078,18992,1936,1547,426,10,22911,773,130,163,55,3,1124,24528,2983,2755,979,18,31263,Coffs Harbour
10501,3056,48,180,186,14,3484,4386,69,146,110,17,4728,216,0,15,7,0,238,327,10,31,19,0,387,4929,79,192,136,17,5353,432,6,26,39,0,503,8417,133,398,361,31,9340,Bourke - Cobar - Coonamble
10502,2634,34,142,26,22,2858,4280,28,145,37,24,4514,254,3,6,4,4,271,297,5,17,0,0,319,4831,36,168,41,28,5104,397,7,43,15,3,465,7862,77,353,82,53,8427,Broken Hill and Far West
10503,5924,326,815,105,0,7170,13492,436,561,107,14,14610,785,33,34,0,0,852,820,61,99,5,5,990,15097,530,694,112,19,16452,749,63,110,45,3,970,21770,919,1619,262,22,24592,Dubbo
10601,6309,446,431,76,6,7268,17612,696,383,94,11,18796,916,32,19,4,0,971,882,89,62,15,0,1048,19410,817,464,113,11,20815,948,73,41,13,3,1078,26667,1336,936,202,20,29161,Lower Hunter
