SA3_MAIN11,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings,SA3_NAME11
19797,0,0,0,0,0,0,0,0,Migratory - Offshore - Shipping (NSW)
19999,0,0,0,0,0,0,0,0,Special Purpose Codes SA3 (NSW)
20101,2795,12918,13319,4024,1984,35040,1236,36276,Ballarat
20102,417,3014,3885,1571,1040,9927,366,10293,Creswick - Daylesford - Ballan
20103,531,3190,3483,1305,837,9346,377,9723,Maryborough - Pyrenees
20201,2489,11630,12242,3867,1624,31852,1001,32853,Bendigo
20202,826,5192,6276,2366,1450,16110,484,16594,Heathcote - Castlemaine - Kyneton
20603,3610,9472,7291,1760,720,22853,775,23628,Essendon
11801,8605,21567,12498,2370,912,45952,1490,47442,Eastern Suburbs - North
20203,213,1202,1577,727,525,4244,157,4401,Loddon - Elmore
20301,101,1065,2443,1089,755,5453,149,5602,Barwon - West
20302,5422,24090,24440,7085,3247,64284,2142,66426,Geelong
20303,745,7519,9715,2671,1162,21812,578,22390,Surf Coast - Bellarine Peninsula
20401,905,6042,7129,2559,1528,18163,687,18850,Upper Goulburn Valley
20402,1179,5933,6479,2273,1180,17044,601,17645,Wangaratta - Benalla
20403,1397,8107,9534,3198,1531,23767,745,24512,Wodonga - Alpine
20501,753,4920,6253,2294,1345,15565,456,16021,Baw Baw
20502,1011,6080,6300,1929,962,16282,625,16907,Gippsland - East
20503,1139,7902,8425,2782,1350,21598,784,22382,Gippsland - South West
20504,2448,9971,9758,3160,1466,26803,1081,27884,Latrobe Valley
20505,942,5210,5706,2118,1115,15091,529,15620,Wellington
20601,5243,13879,8224,1930,692,29968,978,30946,Brunswick - Coburg
20602,3024,8925,5396,1097,433,18875,581,19456,Darebin - South
10803,22,86,24,4,0,136,0,136,Lord Howe Island
10804,2235,12238,9946,2648,1029,28096,973,29069,Port Macquarie
10805,1552,7882,7101,2018,882,19435,699,20134,Taree - Gloucester
10901,1873,8098,7975,2387,1038,21371,789,22160,Albury
10902,380,1430,1743,592,306,4451,220,4671,Lower Murray
10903,996,5735,6004,1741,845,15321,696,16017,Upper Murray exc. Albury
11001,1008,4738,4609,1536,730,12621,427,13048,Armidale
11002,1187,5326,4972,1769,882,14136,562,14698,Inverell - Tenterfield
11003,797,2843,3274,1201,641,8756,444,9200,Moree - Narrabri
11004,2134,10101,10517,3491,1640,27883,1051,28934,Tamworth - Gunnedah
11101,3396,15444,16631,5028,2305,42804,1352,44156,Lake Macquarie - East
11102,1604,8957,9387,3272,1623,24843,772,25615,Lake Macquarie - West
11103,6879,23656,20942,5370,2157,59004,2136,61140,Newcastle
11201,1910,11460,10542,2813,1120,27845,948,28793,Richmond Valley - Coastal
11202,2110,10009,9496,2788,1162,25565,844,26409,Richmond Valley - Hinterland
11203,2642,14277,11225,2987,1253,32384,1274,33658,Tweed Valley
11301,1212,5316,6088,2043,1130,15789,681,16470,Griffith - Murrumbidgee (West)
11302,352,1912,2004,655,369,5292,213,5505,Tumut - Tumbarumba
11303,2351,11309,12255,3917,1862,31694,1173,32867,Wagga Wagga
11401,2365,14990,12438,3458,1426,34677,1191,35868,Shoalhaven
11402,827,6067,6402,1894,1019,16209,493,16702,Southern Highlands
11501,1171,10538,19632,6597,3289,41227,637,41864,Baulkham Hills
11502,249,1610,3125,1548,1350,7882,156,8038,Dural - Wisemans Ferry
11503,143,1551,3120,1468,1106,7388,157,7545,Hawkesbury
11504,135,1511,3860,1384,967,7857,168,8025,Rouse Hill - McGraths Hill
11601,4310,15362,14207,4310,1734,39923,1421,41344,Blacktown
11602,760,6553,10503,2912,1308,22036,470,22506,Blacktown - North
11603,3527,11491,10008,3036,1297,29359,1260,30619,Mount Druitt
11701,2425,5943,3992,871,341,13572,548,14120,Botany
11802,8884,20774,12777,2620,934,45989,1574,47563,Eastern Suburbs - South
11901,5535,18145,16845,5276,2580,48381,1942,50323,Bankstown
11902,5822,16749,11561,3156,1425,38713,1746,40459,Canterbury
11903,5512,16241,12754,3513,1515,39535,1177,40712,Hurstville
11904,5801,19120,12579,3185,1239,41924,1430,43354,Kogarah - Rockdale
12001,2693,11605,9677,2109,801,26885,619,27504,Canada Bay
12002,3167,10700,5911,823,233,20834,484,21318,Leichhardt
12003,8738,21785,12248,2905,1216,46892,1445,48337,Strathfield - Burwood - Ashfield
12101,4708,17036,11632,2345,815,36536,722,37258,Chatswood - Lane Cove
12102,2418,10861,9529,2417,1011,26236,536,26772,Hornsby
12103,1479,11323,16076,4575,1804,35257,612,35869,Ku-ring-gai
12104,6032,20037,9582,1568,487,37706,766,38472,North Sydney - Mosman
12201,1857,6692,4909,1001,311,14770,364,15134,Manly
12202,808,5887,8918,2510,1171,19294,480,19774,Pittwater
12203,3981,18857,19491,4838,2245,49412,1224,50636,Warringah
12301,526,4095,7961,2440,1204,16226,338,16564,Camden
12302,4446,17598,15966,5371,2590,45971,1587,47558,Campbelltown (NSW)
12303,405,2835,4649,2077,1497,11463,378,11841,Wollondilly
12401,2259,10861,10063,2867,1274,27324,633,27957,Blue Mountains
12402,0,0,3,0,0,3,0,3,Blue Mountains - South
12403,3129,13752,16069,5303,2905,41158,1172,42330,Penrith
12404,806,4106,4200,1529,1064,11705,353,12058,Richmond - Windsor
12405,1349,5545,6022,2250,1213,16379,547,16926,St Marys
12501,3186,9466,6546,1565,591,21354,929,22283,Auburn
12502,1766,6779,8048,2116,891,19600,507,20107,Carlingford
12503,5622,15780,13552,4092,2008,41054,1757,42811,Merrylands - Guildford
12504,6055,19837,12484,2807,1249,42432,1283,43715,Parramatta
12601,1025,5565,5707,1548,547,14392,241,14633,Pennant Hills - Epping
12602,5353,18262,13916,3370,1471,42372,1048,43420,Ryde - Hunters Hill
12701,1585,5681,8649,3608,2164,21687,797,22484,Bringelly - Green Valley
12702,5991,17436,16657,6432,3372,49888,2217,52105,Fairfield
12703,3498,11011,11519,3621,1514,31163,1316,32479,Liverpool
12801,3142,13950,14921,4217,2090,38320,1137,39457,Cronulla - Miranda - Caringbah
12802,1904,10524,14986,4891,2660,34965,736,35701,Sutherland - Menai - Heathcote
10101,1688,8169,9248,3473,1892,24470,784,25254,Goulburn - Yass
10102,1005,6044,7433,2790,1584,18856,502,19358,Queanbeyan
10103,446,2344,2627,837,430,6684,267,6951,Snowy Mountains
10104,1554,11197,9750,2622,1010,26133,945,27078,South Coast
10201,5969,23977,21063,5763,2669,59441,2049,61490,Gosford
10202,4541,22042,18920,5511,2509,53523,2188,55711,Wyong
10301,1130,5234,5729,1952,963,15008,525,15533,Bathurst
10302,1662,7207,7418,2593,1374,20254,853,21107,Lachlan Valley
10303,1379,5724,5871,1997,1052,16023,661,16684,Lithgow - Mudgee
10304,1415,6598,7382,2441,1240,19076,702,19778,Orange
10401,1435,7774,6547,1881,774,18411,672,19083,Clarence Valley
10402,2393,12573,10964,3038,1234,30202,1059,31261,Coffs Harbour
10501,1115,3283,2872,979,581,8830,507,9337,Bourke - Cobar - Coonamble
10502,943,3471,2528,756,307,8005,423,8428,Broken Hill and Far West
