SA3_MAIN11,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_199_cpl_fam_no_child,FI_1_199_cpl_fam_with_child,FI_1_199_One_parent_fam,FI_1_199_Other_fam,FI_1_199_Tot,FI_200_299_cpl_fam_no_child,FI_200_299_cpl_fam_with_child,FI_200_299_One_parent_fam,FI_200_299_Other_fam,FI_200_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_599_cpl_fam_no_child,FI_400_599_cpl_fam_with_child,FI_400_599_One_parent_fam,FI_400_599_Other_fam,FI_400_599_Tot,FI_600_799_cpl_fam_no_child,FI_600_799_cpl_fam_with_child,FI_600_799_One_parent_fam,FI_600_799_Other_fam,FI_600_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_with_child,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1999_cpl_fam_no_child,FI_1500_1999_cpl_fam_wth_chld,FI_1500_1999_One_parent_fam,FI_1500_1999_Other_fam,FI_1500_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cple_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cple_fam_no_child,All_inc_ns_cple_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cple_fam_no_child,Tot_cple_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot,SA3_NAME11
10502,28,10,9,0,47,43,14,31,0,88,7,0,53,0,60,19,10,133,3,165,524,60,239,12,835,321,112,217,24,674,283,127,120,10,540,151,174,85,9,419,140,174,51,9,374,213,271,59,6,549,174,215,13,5,407,73,156,12,0,241,77,133,5,0,215,15,43,3,0,61,21,51,0,0,72,186,281,97,6,570,97,48,51,6,202,2372,1879,1178,90,5519,Broken Hill and Far West
10503,98,38,22,3,161,148,48,62,6,264,23,15,140,6,184,90,47,303,4,444,1177,175,623,27,2002,747,370,589,65,1771,835,476,335,35,1681,544,648,300,26,1518,564,628,167,23,1382,766,1101,193,21,2081,597,892,56,15,1560,255,535,50,5,845,220,376,9,3,608,60,140,0,0,200,99,179,9,3,290,521,1244,311,22,2098,239,111,150,19,519,6983,7023,3319,283,17608,Dubbo
10601,74,32,34,3,143,157,40,49,9,255,26,23,175,0,224,77,26,353,8,464,1429,156,738,13,2336,904,353,658,48,1963,775,438,414,28,1655,552,735,348,36,1671,608,823,204,18,1653,889,1541,261,15,2706,722,1141,103,8,1974,563,1419,94,4,2080,437,848,34,10,1329,158,362,15,3,538,191,440,18,0,649,535,1228,332,21,2116,221,149,129,15,514,8318,9754,3959,239,22270,Lower Hunter
10602,55,13,22,3,93,77,22,42,3,144,15,10,101,0,126,41,14,210,3,268,951,86,491,10,1538,707,202,485,41,1435,649,332,326,20,1327,450,574,290,43,1357,428,654,195,16,1293,784,1390,248,19,2441,678,1245,95,15,2033,452,1180,86,9,1727,318,781,21,4,1124,131,346,9,0,486,120,431,14,3,568,395,933,229,11,1568,130,89,86,8,313,6381,8302,2950,208,17841,Maitland
10603,98,14,24,3,139,144,38,54,4,240,30,10,105,8,153,85,27,230,3,345,1544,123,586,17,2270,1112,290,547,37,1986,1147,397,333,24,1901,623,628,278,19,1548,648,721,174,18,1561,833,1274,217,19,2343,649,1018,90,3,1760,362,748,56,0,1166,237,465,16,0,718,76,165,3,0,244,99,224,3,0,326,468,973,270,14,1725,177,106,93,4,380,8332,7221,3079,173,18805,Port Stephens
10604,26,18,13,3,60,57,8,23,4,92,10,5,50,0,65,27,3,102,3,135,426,64,201,5,696,335,129,188,12,664,252,132,127,13,524,204,225,105,15,549,208,274,60,10,552,363,488,74,16,941,286,368,26,4,684,246,555,46,0,847,194,345,5,0,544,61,116,6,0,183,94,159,4,3,260,202,420,108,6,736,68,55,46,3,172,3059,3364,1184,97,7704,Upper Hunter
10101,95,27,26,3,151,167,38,47,4,256,29,25,96,0,150,87,28,214,11,340,1193,171,499,13,1876,829,321,477,48,1675,830,444,304,26,1604,578,655,307,33,1573,585,688,149,8,1430,849,1239,190,18,2296,659,1029,59,16,1763,371,704,53,4,1132,336,481,19,5,841,115,194,4,0,313,185,322,4,4,515,569,1073,252,13,1907,189,98,71,12,370,7666,7537,2771,218,18192,Goulburn - Yass
10102,44,22,21,0,87,46,19,25,4,94,13,6,62,5,86,26,17,107,3,153,419,56,197,9,681,337,131,200,18,686,370,143,173,19,705,319,283,217,15,834,343,395,186,33,957,684,874,252,21,1831,693,981,127,34,1835,478,856,125,9,1468,468,845,44,7,1364,204,473,27,0,704,384,853,5,3,1245,324,830,195,12,1361,72,58,58,4,192,5224,6842,2021,196,14283,Queanbeyan
10103,15,10,7,0,32,45,10,10,0,65,8,3,24,0,35,21,10,53,3,87,296,40,112,6,454,244,90,115,12,461,259,125,81,4,469,186,190,63,0,439,179,183,35,4,401,278,292,45,9,624,192,258,17,3,470,93,158,9,0,260,70,101,10,0,181,22,35,0,0,57,31,42,0,0,73,134,287,65,0,486,45,35,20,3,103,2118,1869,666,44,4697,Snowy Mountains
10104,94,21,21,4,140,204,41,65,3,313,33,16,125,3,177,123,37,247,6,413,1922,208,666,17,2813,1410,421,552,35,2418,1500,569,305,20,2394,922,763,235,17,1937,765,656,121,23,1565,894,946,122,12,1974,545,662,39,3,1249,261,337,38,0,636,174,218,4,0,396,46,73,3,0,122,63,85,0,0,148,690,916,277,18,1901,223,90,109,6,428,9869,6059,2929,167,19024,South Coast
10201,161,53,73,7,294,284,57,132,13,486,64,41,241,10,356,132,65,436,10,643,2442,267,1238,46,3993,2061,605,1204,108,3978,2082,806,845,68,3801,1319,1452,860,74,3705,1295,1686,548,41,3570,1841,3222,649,59,5771,1563,2536,268,31,4398,871,2270,190,10,3341,727,1487,61,7,2282,223,674,17,3,917,341,790,16,0,1147,984,2500,900,38,4422,414,234,183,22,853,16804,18745,7861,547,43957,Gosford
10202,141,52,68,12,273,307,72,111,10,500,64,40,310,5,419,155,54,559,13,781,3199,302,1698,55,5254,2034,757,1544,112,4447,1873,909,1008,60,3850,1101,1606,792,55,3554,1095,1690,523,47,3355,1526,2908,546,45,5025,1206,2365,229,27,3827,540,1467,137,3,2147,403,944,42,3,1392,110,384,13,0,507,163,372,16,4,555,843,2027,819,40,3729,401,247,255,31,934,15161,16196,8670,522,40549,Wyong
