sa3_name16,sa3_code16,pre_school_m,pre_school_f,pre_school_p,infants_primary_government_m,infants_primary_government_f,infants_primary_government_p,infants_primary_catholic_m,infants_primary_catholic_f,infants_primary_catholic_p,infnts_primry_othr_non_govt_m,infnts_primry_othr_non_govt_f,infnts_primry_othr_non_govt_p,infants_primary_tot_m,infants_primary_tot_f,infants_primary_tot_p,secondary_government_m,secondary_government_f,secondary_government_p,secondary_catholic_m,secondary_catholic_f,secondary_catholic_p,secondary_other_non_govt_m,secondary_other_non_govt_f,secondary_other_non_govt_p,secondary_tot_m,secondary_tot_f,secondary_tot_p,tec_furt_educ_inst_ft_15_24_m,tec_furt_educ_inst_ft_15_24_f,tec_furt_educ_inst_ft_15_24_p,tec_furt_educ_inst_ft_25_ov_m,tec_furt_educ_inst_ft_25_ov_f,tec_furt_educ_inst_ft_25_ov_p,tec_furt_educ_inst_pt_15_24_m,tec_furt_educ_inst_pt_15_24_f,tec_furt_educ_inst_pt_15_24_p,tec_furt_educ_inst_pt_25_ov_m,tec_furt_educ_inst_pt_25_ov_f,tec_furt_educ_inst_pt_25_ov_p,tec_furt_educ_inst_f_pt_ns_m,tec_furt_educ_inst_f_pt_ns_f,tec_furt_educ_inst_f_pt_ns_p,tec_furt_educ_inst_tot_m,tec_furt_educ_inst_tot_f,tec_furt_educ_inst_tot_p,uni_othr_tert_inst_ft_15_24_m,uni_othr_tert_inst_ft_15_24_f,uni_othr_tert_inst_ft_15_24_p,uni_othr_tert_inst_ft_25_ov_m,uni_othr_tert_inst_ft_25_ov_f,uni_othr_tert_inst_ft_25_ov_p,uni_othr_tert_inst_pt_15_24_m,uni_othr_tert_inst_pt_15_24_f,uni_othr_tert_inst_pt_15_24_p,uni_othr_tert_inst_pt_25_ov_m,uni_othr_tert_inst_pt_25_ov_f,uni_othr_tert_inst_pt_25_ov_p,uni_othr_tert_inst_f_pt_ns_m,uni_othr_tert_inst_f_pt_ns_f,uni_othr_tert_inst_f_pt_ns_p,uni_other_tert_instit_tot_m,uni_other_tert_instit_tot_f,uni_other_tert_instit_tot_p,othr_typ_educ_inst_ft_stud_m,othr_typ_educ_inst_ft_stud_f,othr_typ_educ_inst_ft_stud_p,othr_typ_educ_inst_pt_stud_m,othr_typ_educ_inst_pt_stud_f,othr_typ_educ_inst_pt_stud_p,oth_typ_ed_instit_f_pt_ns_m,oth_typ_ed_instit_f_pt_ns_f,oth_typ_ed_instit_f_pt_ns_p,other_type_educ_instit_tot_m,other_type_educ_instit_tot_f,other_type_educ_instit_tot_p,type_educanl_institution_ns_m,type_educanl_institution_ns_f,type_educanl_institution_ns_p,os_visitors_m,os_visitors_f,os_visitors_p,tot_m,tot_f,tot_p
Queanbeyan,10102,499,365,868,1661,1703,3369,663,537,1204,175,164,334,2502,2401,4906,1044,974,2019,663,672,1336,249,212,463,1961,1862,3820,72,86,157,36,52,84,262,143,404,219,325,545,12,5,15,598,617,1214,334,430,767,184,218,404,62,102,165,362,578,940,3,6,12,942,1338,2286,39,44,85,91,198,292,0,4,4,137,246,379,2716,2262,4978,129,149,273,9480,9244,18720
Snowy Mountains,10103,246,208,456,924,876,1798,216,226,443,142,114,255,1289,1215,2500,490,476,964,131,130,258,237,142,374,853,748,1595,10,20,30,8,28,32,94,74,170,114,144,259,4,0,5,237,259,492,99,116,215,22,59,80,37,46,84,123,242,364,0,3,4,281,464,741,23,27,55,29,76,107,0,3,3,50,108,163,2811,2134,4946,418,341,760,6184,5470,11651
South Coast,10104,491,432,926,1832,1655,3486,443,411,852,235,255,495,2508,2329,4830,1238,1255,2490,487,473,955,191,186,378,1917,1911,3830,38,46,85,27,59,85,197,133,331,173,292,458,3,15,16,436,542,976,48,110,158,51,144,194,18,41,60,119,344,462,4,0,5,244,637,881,30,38,64,53,159,208,8,4,13,82,201,283,2992,3153,6148,125,138,263,8797,9349,18145
Goulburn - Mulwaree,10105,321,299,625,1138,1010,2144,292,306,603,51,37,87,1480,1349,2831,765,729,1497,253,221,466,28,34,62,1048,981,2033,32,45,80,18,34,50,176,106,285,96,202,294,3,5,10,323,394,713,52,101,153,42,80,121,24,43,69,115,213,331,3,3,5,230,449,675,30,18,48,55,114,164,0,0,4,82,134,214,1975,1420,3395,65,78,138,5521,5107,10631
Young - Yass,10106,366,316,680,1126,1035,2159,479,479,962,88,101,191,1691,1621,3310,729,723,1453,356,402,755,104,128,234,1189,1251,2440,27,29,57,10,36,47,131,99,228,94,237,331,4,7,6,268,398,668,73,141,218,26,83,110,36,51,83,102,255,360,3,3,6,232,536,770,21,24,45,27,68,97,0,4,4,51,94,149,1305,1372,2680,41,53,101,5150,5646,10792
Gosford,10201,1669,1540,3212,5084,4825,9905,983,963,1943,929,860,1788,6992,6644,13640,3532,3532,7067,877,832,1708,972,954,1926,5378,5317,10698,192,231,423,119,217,336,658,355,1008,463,889,1349,19,15,31,1439,1713,3151,1107,1424,2524,402,635,1033,247,285,534,624,1204,1824,12,16,22,2382,3552,5935,115,156,264,235,484,725,3,16,17,355,656,1010,4725,5245,9975,342,455,802,23287,25125,48414
Wyong,10202,1714,1552,3262,5235,4716,9950,1193,1246,2431,608,556,1165,7031,6515,13549,3541,3346,6888,989,1039,2027,499,554,1051,5025,4940,9968,160,230,388,98,247,349,646,398,1048,443,847,1294,12,12,27,1360,1746,3107,712,959,1675,245,521,765,187,239,424,365,909,1280,6,15,27,1518,2649,4165,97,166,261,194,466,659,4,5,14,290,641,929,4868,5532,10407,159,222,381,21962,23797,45757
Bathurst,10301,438,401,844,1314,1155,2473,659,660,1327,116,115,232,2098,1939,4032,959,796,1755,467,533,999,304,226,536,1729,1555,3288,55,75,132,33,83,121,162,121,289,142,282,431,5,9,10,406,576,984,579,838,1414,121,142,261,58,93,157,187,376,564,0,0,3,951,1452,2401,25,35,54,55,114,167,0,3,3,78,147,228,2776,1945,4721,52,59,109,8533,8067,16603
Lachlan Valley,10302,514,520,1039,1734,1690,3421,602,573,1176,103,91,188,2439,2347,4786,1121,1137,2258,395,402,795,87,95,187,1609,1631,3238,29,47,80,18,60,77,180,143,320,119,328,454,3,8,13,351,592,947,37,93,133,29,63,89,22,62,89,99,206,301,0,6,9,185,437,623,10,29,43,36,107,144,3,4,4,53,143,194,2846,2849,5694,64,84,143,8059,8602,16659
Lithgow - Mudgee,10303,385,381,762,1435,1306,2741,401,441,850,34,35,71,1878,1786,3658,1028,901,1925,264,250,514,50,43,93,1341,1197,2531,37,60,102,23,59,87,182,146,325,130,294,424,13,6,15,386,564,948,29,95,121,42,80,119,29,50,73,104,242,348,0,0,0,199,464,662,17,29,48,53,81,137,0,5,5,75,111,183,3030,2568,5595,50,68,121,7328,7133,14466
Orange,10304,586,541,1128,1876,1756,3633,535,521,1054,387,341,726,2802,2619,5412,1048,1013,2061,468,524,995,441,524,965,1963,2062,4024,55,93,152,37,82,124,258,166,424,272,413,690,8,3,7,633,764,1394,212,364,569,126,177,298,33,83,115,204,461,662,0,3,5,572,1083,1659,22,28,59,56,137,195,3,8,11,82,172,257,2232,2155,4388,70,89,158,8933,9487,18422
Clarence Valley,10401,416,365,774,1541,1396,2937,243,265,507,167,175,345,1956,1831,3790,1096,1054,2148,245,212,455,152,150,306,1493,1415,2908,72,84,155,38,120,153,177,140,315,129,315,442,6,0,9,421,652,1076,43,98,144,42,90,137,23,36,59,107,235,341,0,3,3,213,470,679,33,40,75,41,92,135,3,3,7,77,132,211,2420,2158,4580,89,99,191,7079,7128,14212
Coffs Harbour,10402,848,766,1610,2377,2332,4715,669,692,1361,531,490,1021,3574,3521,7095,1722,1708,3423,496,472,975,511,498,1015,2731,2677,5409,106,188,292,81,235,318,269,195,464,282,561,846,6,7,14,742,1189,1930,192,369,557,138,279,418,58,116,176,233,554,787,3,5,4,610,1324,1937,68,88,149,118,246,368,4,12,12,185,342,531,3384,3727,7112,322,406,722,12401,13948,26354
Bourke - Cobar - Coonamble,10501,251,263,516,667,642,1308,371,382,755,15,21,39,1053,1044,2101,461,499,964,8,12,12,16,19,34,486,522,1012,15,20,35,8,34,39,46,57,98,63,137,200,3,0,3,129,243,375,9,30,36,8,30,38,8,18,28,46,130,170,0,3,3,74,201,279,9,11,17,15,32,43,3,3,3,21,42,70,1964,1776,3741,25,36,61,4011,4133,8143
Broken Hill and Far West,10502,190,156,345,640,648,1286,54,54,99,5,7,16,701,707,1404,509,505,1013,4,4,9,20,25,38,531,530,1059,28,31,59,12,51,63,73,42,115,67,138,203,0,3,3,182,269,447,6,36,44,8,35,42,7,21,26,58,115,169,0,4,4,81,211,288,13,19,35,29,51,73,3,3,5,44,70,108,1192,1102,2295,49,44,87,2964,3080,6040
Dubbo,10503,740,711,1454,1936,1755,3688,871,889,1765,355,280,640,3160,2931,6093,1388,1306,2692,484,518,1004,250,265,513,2121,2086,4206,76,118,191,31,119,150,268,183,451,231,422,649,4,6,11,610,853,1463,75,195,272,61,138,198,22,86,115,179,401,582,4,3,12,345,828,1173,41,48,86,65,138,210,3,4,11,106,194,305,3878,3406,7285,105,163,265,11064,11173,22236
Lower Hunter,10601,873,849,1721,2942,2829,5767,685,688,1373,370,293,666,3996,3807,7805,1892,1939,3829,488,486,971,392,373,764,2772,2791,5571,89,126,216,39,83,130,325,227,557,235,469,709,8,9,17,696,920,1617,244,342,582,73,178,249,73,98,171,176,413,598,0,3,5,575,1038,1604,107,64,168,69,238,304,6,9,10,175,311,484,4171,3464,7632,119,144,263,13381,13326,26698
Maitland,10602,875,759,1633,2426,2287,4711,864,840,1698,372,353,726,3655,3479,7137,1518,1427,2946,662,664,1326,387,340,735,2572,2436,5006,140,168,311,44,103,146,305,213,511,240,439,682,13,12,22,740,933,1674,386,536,918,138,271,409,90,133,220,276,496,766,0,0,3,886,1434,2315,51,74,123,109,208,316,3,0,4,167,280,444,1899,1971,3870,78,108,186,10870,11397,22269
Port Stephens,10603,624,603,1228,2195,2062,4257,401,378,784,342,316,661,2942,2760,5702,1514,1427,2944,302,296,601,417,350,773,2229,2081,4314,71,91,163,31,88,123,249,159,407,180,342,521,7,4,11,541,680,1217,229,367,594,89,207,293,67,90,161,155,349,506,0,11,8,537,1025,1562,24,42,71,85,182,265,4,3,9,112,235,348,2650,2783,5430,105,154,258,9736,10321,20060
Upper Hunter,10604,346,311,658,1007,980,1986,326,284,605,154,166,320,1480,1433,2915,537,547,1081,284,300,586,85,112,203,905,954,1864,21,46,64,11,30,38,125,92,219,102,177,277,5,0,5,257,344,604,19,55,77,14,45,64,13,28,40,63,135,193,0,0,0,104,263,370,8,8,20,22,65,90,0,3,3,31,81,113,1572,1284,2852,63,105,163,4763,4776,9542
Dapto - Port Kembla,10701,839,769,1608,2314,2180,4493,628,612,1240,291,283,568,3231,3070,6303,1686,1691,3379,592,566,1157,260,240,500,2541,2497,5040,100,101,209,77,153,230,301,167,468,219,306,523,11,13,22,702,748,1449,518,653,1171,161,209,373,80,105,193,185,389,570,0,4,3,949,1363,2310,56,68,127,87,209,297,0,4,4,144,284,428,2072,2129,4198,102,133,229,10565,10996,21563
Illawarra Catchment Reserve,10702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4
Kiama - Shellharbour,10703,1029,882,1910,3041,2827,5875,635,675,1307,267,240,507,3944,3740,7686,2060,2004,4069,672,756,1435,332,277,606,3066,3042,6106,118,135,256,54,130,190,456,221,674,216,403,620,12,9,21,860,903,1759,516,789,1299,132,238,371,94,154,250,236,494,728,8,3,11,979,1675,2658,59,68,131,121,286,401,0,5,10,179,357,540,2499,2828,5330,103,165,269,12658,13598,26260
Wollongong,10704,1242,1163,2407,3670,3507,7172,1063,1103,2160,375,326,705,5103,4934,10040,2338,2167,4503,1143,1269,2408,381,358,737,3859,3787,7645,182,218,399,187,261,449,534,242,779,370,550,918,12,15,27,1300,1277,2573,3510,3288,6797,1465,1073,2535,258,324,577,662,1038,1694,10,13,29,5906,5730,11632,117,129,243,179,358,541,3,10,12,297,492,797,3543,3714,7257,672,786,1461,21921,21895,43816
Great Lakes,10801,228,221,457,829,799,1621,144,163,310,32,27,60,999,988,1992,684,669,1353,83,60,143,45,37,84,812,772,1578,27,45,71,25,54,80,82,50,132,65,172,234,12,3,11,208,324,534,36,51,78,23,39,56,9,15,30,51,102,157,3,0,3,121,205,328,5,22,26,12,60,75,3,4,8,24,84,110,1214,1372,2583,40,49,85,3642,4014,7658
Kempsey - Nambucca,10802,427,363,788,1283,1304,2594,313,323,635,223,187,407,1824,1817,3642,946,889,1832,280,246,525,178,207,384,1401,1334,2740,39,59,95,30,104,134,129,97,222,101,245,345,0,3,4,298,503,804,47,92,143,27,99,124,11,34,47,78,195,277,3,4,4,170,431,600,19,24,41,41,96,137,3,3,5,54,128,184,2724,2448,5173,82,93,174,6991,7114,14107
Lord Howe Island,10803,0,0,0,14,8,21,0,0,0,0,0,0,14,8,21,0,0,4,0,0,0,0,0,3,4,3,7,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,4,0,5,3,0,0,0,0,0,0,0,6,9,0,0,0,6,11,13,0,0,0,0,0,0,0,0,0,0,0,0,43,31,71,4,8,15,74,57,132
Port Macquarie,10804,716,669,1385,1858,1719,3583,862,873,1736,362,327,687,3085,2927,6009,1051,1008,2061,1091,1116,2207,323,342,667,2463,2473,4933,83,106,188,47,156,207,254,184,442,242,465,706,10,7,17,627,926,1554,143,327,469,105,213,314,34,65,106,215,457,673,6,4,6,504,1070,1572,33,58,96,97,210,309,4,3,9,133,278,416,2700,2922,5623,143,195,341,10372,11464,21834
Taree - Gloucester,10805,499,436,931,1657,1468,3130,274,264,538,206,223,426,2137,1957,4096,1144,1207,2345,283,265,547,136,166,303,1569,1636,3199,66,78,146,50,120,176,154,130,287,119,286,407,5,7,12,393,631,1023,46,128,172,39,99,137,15,54,68,73,237,313,0,3,3,178,514,689,25,37,63,37,128,173,4,3,8,67,171,240,1976,2197,4178,85,101,185,6898,7637,14537
Albury,10901,556,523,1079,1570,1451,3017,625,620,1245,447,451,897,2635,2522,5160,1187,1143,2327,414,416,831,407,497,904,2002,2056,4060,83,97,179,65,130,197,246,153,406,230,384,618,4,0,4,628,771,1397,240,635,872,124,222,340,58,79,144,191,380,577,0,3,3,615,1322,1938,46,69,115,105,178,279,3,5,7,149,255,403,2299,2347,4642,135,117,253,9028,9907,18930
Lower Murray,10902,107,105,213,403,366,774,120,105,225,17,17,43,545,496,1042,260,282,545,61,48,108,12,13,29,337,350,684,4,9,14,0,14,17,30,18,45,25,57,81,0,0,0,66,96,157,10,35,52,3,11,20,0,10,13,18,57,74,0,0,0,36,116,151,5,4,14,7,29,36,0,0,3,17,39,51,928,759,1680,61,76,136,2096,2023,4127
Upper Murray exc. Albury,10903,360,336,701,1177,1130,2306,293,356,655,110,107,215,1584,1598,3174,772,814,1580,197,226,420,139,165,302,1100,1196,2298,29,43,73,11,39,57,133,84,219,100,198,301,0,8,7,279,376,654,23,82,101,21,51,74,19,29,52,62,158,224,3,4,3,130,327,451,10,16,23,26,83,113,3,4,5,35,101,142,2028,2069,4098,80,77,154,5595,6080,11677
Armidale,11001,325,291,618,1046,1033,2075,271,271,538,187,200,382,1503,1500,3001,700,650,1351,201,229,432,371,436,803,1274,1311,2580,45,47,90,41,51,85,105,80,183,120,187,304,4,0,9,315,360,675,975,1257,2231,331,408,733,90,126,219,180,361,546,12,4,22,1589,2162,3749,19,20,38,40,60,100,0,0,0,56,82,141,1523,1670,3188,186,163,344,6765,7538,14300
Inverell - Tenterfield,11002,346,290,638,1197,1133,2329,323,335,654,21,19,44,1537,1487,3024,947,1030,1976,89,45,135,31,30,66,1067,1112,2178,28,39,60,21,57,75,86,97,179,85,185,270,5,6,7,216,381,602,24,70,93,19,60,72,24,50,76,59,137,189,0,3,6,125,315,440,47,41,90,27,82,109,4,0,7,78,124,202,2165,2130,4296,71,120,188,5601,5961,11561
Moree - Narrabri,11003,263,272,534,817,808,1622,300,308,604,54,58,110,1167,1167,2333,543,526,1072,53,60,111,25,22,51,617,611,1229,8,19,24,16,21,44,81,46,131,58,111,175,3,7,6,173,203,371,13,37,52,17,36,52,15,27,46,37,124,168,0,0,3,90,224,314,5,9,14,23,38,63,5,3,8,30,52,85,1746,1649,3397,38,77,109,4121,4248,8372
Tamworth - Gunnedah,11004,843,822,1666,2447,2246,4690,835,820,1655,335,323,664,3619,3391,7004,1797,1436,3228,510,629,1132,375,527,902,2682,2590,5268,77,99,177,56,114,169,267,225,493,217,459,677,8,7,14,629,897,1529,72,182,257,50,138,194,49,108,156,203,443,643,8,3,8,380,880,1259,26,45,68,90,186,279,8,0,12,125,229,350,3621,3533,7147,178,133,312,12076,12473,24544
