sa3_code_2016,population,dwelling,area_sqkm,sa3_name,state_name
10102,57325,24790.0,6511.1906,Queanbeyan,New South Wales
10103,19369,11732.0,14283.4221,Snowy Mountains,New South Wales
10104,70636,41099.0,9864.86800000004,South Coast,New South Wales
10105,35557,16966.0,9099.9086,Goulburn - Mulwaree,New South Wales
10106,35946,16084.0,12136.1738,Young - Yass,New South Wales
10201,169115,75995.0,988.4263000000011,Gosford,New South Wales
10202,158622,68391.0,692.6461000000011,Wyong,New South Wales
10301,46475,19934.0,6984.18299999999,Bathurst,New South Wales
10302,55380,26220.0,41000.7206,Lachlan Valley,New South Wales
10303,46653,21945.0,16044.6246,Lithgow - Mudgee,New South Wales
10304,57656,24731.0,6267.5322,Orange,New South Wales
10401,50265,24649.0,9263.1939,Clarence Valley,New South Wales
10402,85981,38765.0,3966.5639,Coffs Harbour,New South Wales
10501,24126,12775.0,162765.126,Bourke - Cobar - Coonamble,New South Wales
10502,20174,11099.0,146860.1758,Broken Hill and Far West,New South Wales
10503,69412,30421.0,29738.390700000098,Dubbo,New South Wales
10601,87676,36058.0,8566.7809,Lower Hunter,New South Wales
10602,74132,29338.0,380.1168,Maitland,New South Wales
10603,71437,35415.0,1071.9768,Port Stephens,New South Wales
10604,30138,13890.0,11472.417,Upper Hunter,New South Wales
10701,75422,29804.0,163.6962,Dapto - Port Kembla,New South Wales
10702,8,5.0,744.3423,Illawarra Catchment Reserve,New South Wales
10703,89775,36293.0,390.7983,Kiama - Shellharbour,New South Wales
10704,128358,54245.0,240.0822,Wollongong,New South Wales
10801,31319,18154.0,3133.0446,Great Lakes,New South Wales
10802,48100,23116.0,5339.32489999999,Kempsey - Nambucca,New South Wales
10803,381,221.0,16.2918,Lord Howe Island,New South Wales
10804,78723,36766.0,3687.77,Port Macquarie,New South Wales
10805,53864,25366.0,6675.0682,Taree - Gloucester,New South Wales
10901,61301,27935.0,5597.48489999999,Albury,New South Wales
10902,12563,6395.0,63968.2369,Lower Murray,New South Wales
10903,41890,21221.0,28231.9536,Upper Murray exc. Albury,New South Wales
11001,37056,16372.0,16395.6492,Armidale,New South Wales
11002,38428,18468.0,30568.6383,Inverell - Tenterfield,New South Wales
11003,25616,11870.0,32026.5412,Moree - Narrabri,New South Wales
11004,80474,35854.0,20155.0876,Tamworth - Gunnedah,New South Wales
11101,119909,50446.0,138.0858,Lake Macquarie - East,New South Wales
11102,75163,31305.0,507.6329,Lake Macquarie - West,New South Wales
11103,163773,72495.0,224.8933,Newcastle,New South Wales
11201,78238,37446.0,1572.8877,Richmond Valley - Coastal,New South Wales
11202,70062,31219.0,7390.598600000009,Richmond Valley - Hinterland,New South Wales
11203,91407,42669.0,1307.6562,Tweed Valley,New South Wales
11301,48178,20522.0,28859.6885,Griffith - Murrumbidgee (West),New South Wales
11302,14469,6922.0,9174.7645,Tumut - Tumbarumba,New South Wales
11303,93302,39735.0,18950.5659,Wagga Wagga,New South Wales
11401,99437,54355.0,4374.4257,Shoalhaven,New South Wales
11402,47964,21620.0,2330.0144,Southern Highlands,New South Wales
11501,143627,48030.0,72.0257,Baulkham Hills,New South Wales
11502,26191,8861.0,569.2386,Dural - Wisemans Ferry,New South Wales
11503,24635,8864.0,2492.0101,Hawkesbury,New South Wales
11504,33169,10463.0,118.2241,Rouse Hill - McGraths Hill,New South Wales
11601,134600,46800.0,56.3066,Blacktown,New South Wales
11602,92774,29046.0,103.0669,Blacktown - North,New South Wales
11603,112047,35829.0,82.7116,Mount Druitt,New South Wales
11701,46677,18697.0,27.7978,Botany,New South Wales
11703,214294,112753.0,25.0641000000001,Sydney Inner City,New South Wales
11802,140698,58686.0,31.5481,Eastern Suburbs - South,New South Wales
11901,171248,58643.0,68.6674,Bankstown,New South Wales
11902,135089,47595.0,29.9646,Canterbury,New South Wales
11903,127157,46930.0,33.9553,Hurstville,New South Wales
11904,137606,53982.0,31.3478999999999,Kogarah - Rockdale,New South Wales
12001,85289,35771.0,19.7471,Canada Bay,New South Wales
