SA3_MAIN11,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Sede_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Fl_u_a_1_or2_st_bl_NofB_0_ib,Flt_un_at_In_1_or2_s_b_NofB_1,Flt_un_at_In_1_or2_s_b_NofB_2,Flt_un_at_In_1_or2_s_b_NofB_3,Flt_un_at_In_1_or2_s_b_NofB_4,Flt_un_at_In_1_or2_s_b_NofB_5,Fl_un_at_In_1_or2_s_b_NoB_6_m,Flt_u_at_In_1_or2_s_b_NoB_NS,Flt_un_at_In_1_or2_s_b_Total,Flt_un_apt_3_st_bl_NoB_0_ib,Flt_un_apt_In_3_st_bl_NofB_1,Flt_un_apt_In_3_st_bl_NofB_2,Flt_un_apt_In_3_st_bl_NofB_3,Flt_un_apt_In_3_st_bl_NofB_4,Flt_un_apt_In_3_st_bl_NofB_5,Flt_un_apt_In_3_s_bl_NofB_6_m,Flt_un_apt_In_3_st_bl_NofB_NS,Flt_un_apt_In_3_st_bl_Total,Ft_un_ap_4_or_m_s_b_NofB_0_ib,Ft_un_apt_4_or_m_s_b_NofB_1,Ft_un_apt_4_or_m_s_b_NofB_2,Ft_un_apt_4_or_m_s_b_NofB_3,Ft_un_apt_4_or_m_s_b_NofB_4,Ft_un_apt_4_or_m_s_b_NofB_5,Ft_un_apt_4_or_m_s_b_NofB_6_m,Ft_un_apt_4_or_m_s_b_NofB_NS,Ft_un_apt_4_or_m_s_b_Total,Fl_un_at_At_to_a_h_NofB_0_ib,Flt_un_apt_At_to_a_hse_NofB_1,Flt_un_apt_At_to_a_hse_NofB_2,Flt_un_apt_At_to_a_hse_NofB_3,Flt_un_apt_At_to_a_hse_NofB_4,Flt_un_apt_At_to_a_hse_NofB_5,Fl_un_apt_At_to_a_hs_NofB_6_m,Flt_un_apt_At_to_a_hs_NofB_NS,Flt_un_apt_At_to_a_hse_Total,Flt_un_apart_Tot_NofB_0_i_b,Flt_un_apart_Tot_NofB_1,Flt_un_apart_Tot_NofB_2,Flt_un_apart_Tot_NofB_3,Flt_un_apart_Tot_NofB_4,Flt_un_apart_Tot_NofB_5,Flt_un_apart_Tot_NofB_6_or_m,Flt_un_apart_Tot_NofB_NS,Flt_un_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total,SA3_NAME11
10301,33,182,1284,5982,4633,920,192,222,13448,8,95,392,270,25,0,0,45,835,7,21,49,76,34,5,5,4,201,15,116,441,346,59,5,5,49,1036,24,150,531,101,10,4,4,35,859,0,6,35,0,0,0,0,4,45,0,0,4,0,0,0,0,0,4,0,5,13,14,0,3,0,0,35,24,161,583,115,10,7,4,39,943,8,36,15,8,0,0,0,7,74,0,10,8,4,5,0,4,0,31,80,505,2331,6455,4707,932,205,317,15532,Bathurst
10302,46,309,2677,9401,5505,944,202,451,19535,13,67,324,87,9,4,3,24,531,0,3,10,3,7,3,0,3,29,13,70,334,90,16,7,3,27,560,26,179,411,61,5,0,0,58,740,3,5,11,0,0,0,0,0,19,0,0,4,0,0,0,0,0,4,3,8,3,3,3,0,3,0,23,32,192,429,64,8,0,3,58,786,14,65,32,35,15,0,4,34,199,0,0,8,3,3,0,6,7,27,105,636,3480,9593,5547,951,218,577,21107,Lachlan Valley
10101,68,371,2906,10644,7062,1331,366,370,23118,5,117,496,254,35,3,0,33,943,0,5,33,28,12,0,0,0,78,5,122,529,282,47,3,0,33,1021,12,129,423,78,0,4,0,29,675,0,8,26,3,0,0,0,0,37,0,23,12,3,0,0,0,5,43,0,4,7,0,0,0,3,0,14,12,164,468,84,0,4,3,34,769,42,99,59,57,21,9,0,17,304,0,0,7,11,16,3,3,0,40,127,756,3969,11078,7146,1350,372,454,25252,Goulburn - Yass
10102,32,207,1176,5648,5702,1245,296,165,14471,10,97,749,546,44,0,5,38,1489,0,15,381,311,22,5,3,4,741,10,112,1130,857,66,5,8,42,2230,25,455,606,65,7,0,0,48,1206,6,192,563,7,5,0,0,16,789,0,77,245,39,0,0,0,6,367,0,13,12,7,4,0,0,0,36,31,737,1426,118,16,0,0,70,2398,15,63,55,56,11,5,4,31,240,0,4,3,5,5,0,0,0,17,88,1123,3790,6684,5800,1255,308,308,19356,Queanbeyan
10103,26,139,826,2932,1559,301,114,95,5992,5,63,129,76,48,8,3,3,335,0,13,32,48,6,0,0,5,104,5,76,161,124,54,8,3,8,439,3,54,121,81,20,4,9,7,299,3,9,14,5,3,0,5,4,43,0,3,6,0,0,0,3,0,12,0,7,0,0,0,0,0,0,7,6,73,141,86,23,4,17,11,361,3,21,20,14,8,4,0,20,90,0,13,5,10,0,0,6,37,71,40,322,1153,3166,1644,317,140,171,6953,Snowy Mountains
10104,80,510,3242,11256,5905,1012,254,389,22648,3,150,500,420,27,7,3,54,1164,8,68,244,314,59,13,0,26,732,11,218,744,734,86,20,3,80,1896,14,180,1081,396,54,9,3,75,1812,3,13,25,15,0,0,3,3,62,0,0,0,0,0,0,0,0,0,0,24,31,10,3,0,0,0,68,17,217,1137,421,57,9,6,78,1942,32,177,216,78,19,0,5,36,563,6,0,11,11,0,0,0,0,28,146,1122,5350,12500,6067,1041,268,583,27077,South Coast
10201,88,842,5789,20671,14699,3332,678,628,46727,33,263,2339,2293,147,37,6,166,5284,29,159,938,1851,298,68,13,80,3436,62,422,3277,4144,445,105,19,246,8720,33,608,1484,978,54,11,6,141,3315,27,54,613,205,15,3,0,24,941,0,53,587,238,12,0,0,15,905,7,65,36,21,3,0,0,7,139,67,780,2720,1442,84,14,6,187,5300,25,163,338,59,18,0,4,28,635,0,15,67,21,6,0,0,0,109,242,2222,12191,26337,15252,3451,707,1089,61491,Gosford
10202,50,741,6306,20952,14790,2433,502,804,46578,3,255,1430,1471,183,17,3,127,3489,4,78,498,849,142,19,7,40,1637,7,333,1928,2320,325,36,10,167,5126,13,490,1235,322,24,0,3,125,2212,4,49,283,59,5,0,0,15,415,0,53,404,84,5,0,4,12,562,4,27,21,19,8,3,0,8,90,21,619,1943,484,42,3,7,160,3279,57,279,244,60,14,0,3,48,705,0,4,6,4,5,0,4,0,23,135,1976,10427,23820,15176,2472,526,1179,55711,Wyong
10303,44,330,2450,7249,3933,708,162,304,15180,7,41,372,240,14,3,3,30,710,0,3,10,17,0,0,0,0,30,7,44,382,257,14,3,3,30,740,16,121,238,68,3,0,0,32,478,0,8,17,15,0,0,0,5,45,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,7,16,132,259,83,3,0,0,37,530,18,63,53,32,6,0,0,47,219,0,0,3,4,0,4,3,0,14,85,569,3147,7625,3956,715,168,418,16683,Lithgow - Mudgee
10304,25,206,1782,8560,5514,1011,223,307,17628,7,112,572,240,22,0,0,42,995,0,22,36,10,3,0,0,4,75,7,134,608,250,25,0,0,46,1070,17,287,396,75,4,5,12,36,832,0,0,23,5,0,0,0,0,28,0,11,9,0,0,0,0,0,20,0,11,8,0,0,0,0,0,19,17,309,436,80,4,5,12,36,899,13,55,35,29,5,0,4,25,166,0,0,3,3,3,0,4,3,16,62,704,2864,8922,5551,1016,243,417,19779,Orange
