SA3_MAIN11,M_15_19_yr_Marrd_reg_marrge,M_15_19_yr_Married_de_facto,M_15_19_yr_Not_married,M_15_19_yr_Total,M_20_24_yr_Marrd_reg_marrge,M_20_24_yr_Married_de_facto,M_20_24_yr_Not_married,M_20_24_yr_Total,M_25_34_yr_Marrd_reg_marrge,M_25_34_yr_Married_de_facto,M_25_34_yr_Not_married,M_25_34_yr_Total,M_35_44_yr_Marrd_reg_marrge,M_35_44_yr_Married_de_facto,M_35_44_yr_Not_married,M_35_44_yr_Total,M_45_54_yr_Marrd_reg_marrge,M_45_54_yr_Married_de_facto,M_45_54_yr_Not_married,M_45_54_yr_Total,M_55_64_yr_Marrd_reg_marrge,M_55_64_yr_Married_de_facto,M_55_64_yr_Not_married,M_55_64_yr_Total,M_65_74_yr_Marrd_reg_marrge,M_65_74_yr_Married_de_facto,M_65_74_yr_Not_married,M_65_74_yr_Total,M_75_84_yr_Marrd_reg_marrge,M_75_84_yr_Married_de_facto,M_75_84_yr_Not_married,M_75_84_yr_Total,M_85ov_Marrd_reg_marrge,M_85ov_Married_de_facto,M_85ov_Not_married,M_85ov_Total,M_Tot_Marrd_reg_marrge,M_Tot_Married_de_facto,M_Tot_Not_married,M_Tot_Total,F_15_19_yr_Marrd_reg_marrge,F_15_19_yr_Married_de_facto,F_15_19_yr_Not_married,F_15_19_yr_Total,F_20_24_yr_Marrd_reg_marrge,F_20_24_yr_Married_de_facto,F_20_24_yr_Not_married,F_20_24_yr_Total,F_25_34_yr_Marrd_reg_marrge,F_25_34_yr_Married_de_facto,F_25_34_yr_Not_married,F_25_34_yr_Total,F_35_44_yr_Marrd_reg_marrge,F_35_44_yr_Married_de_facto,F_35_44_yr_Not_married,F_35_44_yr_Total,F_45_54_yr_Marrd_reg_marrge,F_45_54_yr_Married_de_facto,F_45_54_yr_Not_married,F_45_54_yr_Total,F_55_64_yr_Marrd_reg_marrge,F_55_64_yr_Married_de_facto,F_55_64_yr_Not_married,F_55_64_yr_Total,F_65_74_yr_Marrd_reg_marrge,F_65_74_yr_Married_de_facto,F_65_74_yr_Not_married,F_65_74_yr_Total,F_75_84_yr_Marrd_reg_marrge,F_75_84_yr_Married_de_facto,F_75_84_yr_Not_married,F_75_84_yr_Total,F_85ov_Marrd_reg_marrge,F_85ov_Married_de_facto,F_85ov_Not_married,F_85ov_Total,F_Tot_Marrd_reg_marrge,F_Tot_Married_de_facto,F_Tot_Not_married,F_Tot_Total,P_15_19_yr_Marrd_reg_marrge,P_15_19_yr_Married_de_facto,P_15_19_yr_Not_married,P_15_19_yr_Total,P_20_24_yr_Marrd_reg_marrge,P_20_24_yr_Married_de_facto,P_20_24_yr_Not_married,P_20_24_yr_Total,P_25_34_yr_Marrd_reg_marrge,P_25_34_yr_Married_de_facto,P_25_34_yr_Not_married,P_25_34_yr_Total,P_35_44_yr_Marrd_reg_marrge,P_35_44_yr_Married_de_facto,P_35_44_yr_Not_married,P_35_44_yr_Total,P_45_54_yr_Marrd_reg_marrge,P_45_54_yr_Married_de_facto,P_45_54_yr_Not_married,P_45_54_yr_Total,P_55_64_yr_Marrd_reg_marrge,P_55_64_yr_Married_de_facto,P_55_64_yr_Not_married,P_55_64_yr_Total,P_65_74_yr_Marrd_reg_marrge,P_65_74_yr_Married_de_facto,P_65_74_yr_Not_married,P_65_74_yr_Total,P_75_84_yr_Marrd_reg_marrge,P_75_84_yr_Married_de_facto,P_75_84_yr_Not_married,P_75_84_yr_Total,P_85ov_Marrd_reg_marrge,P_85ov_Married_de_facto,P_85ov_Not_married,P_85ov_Total,P_Tot_Marrd_reg_marrge,P_Tot_Married_de_facto,P_Tot_Not_married,P_Tot_Total,SA3_NAME11
10302,3,25,1554,1582,52,223,849,1124,883,555,791,2229,1617,360,785,2762,2084,310,1044,3438,2287,212,930,3429,1778,86,678,2542,1007,15,514,1536,204,0,147,351,9915,1786,7292,18993,3,84,1391,1478,92,318,607,1017,1207,523,758,2488,1861,407,793,3061,2239,272,858,3369,2226,168,854,3248,1554,62,941,2557,728,12,952,1692,113,0,494,607,10023,1846,7648,19517,6,109,2945,3060,144,541,1456,2141,2090,1078,1549,4717,3478,767,1578,5823,4323,582,1902,6807,4513,380,1784,6677,3332,148,1619,5099,1735,27,1466,3228,317,0,641,958,19938,3632,14940,38510,Lachlan Valley
10303,3,18,1288,1309,44,196,695,935,655,445,661,1761,1378,385,656,2419,1680,308,856,2844,1732,177,804,2713,1381,75,649,2105,674,14,332,1020,106,3,91,200,7653,1621,6032,15306,0,57,1151,1208,84,267,542,893,884,454,591,1929,1605,349,673,2627,1768,320,765,2853,1736,143,757,2636,1177,43,779,1999,458,10,660,1128,44,3,309,356,7756,1646,6227,15629,3,75,2439,2517,128,463,1237,1828,1539,899,1252,3690,2983,734,1329,5046,3448,628,1621,5697,3468,320,1561,5349,2558,118,1428,4104,1132,24,992,2148,150,6,400,556,15409,3267,12259,30935,Lithgow - Mudgee
10304,0,24,1586,1610,66,245,1047,1358,1091,621,970,2682,1968,379,736,3083,2103,280,827,3210,1974,173,764,2911,1350,56,483,1889,754,11,300,1065,131,3,107,241,9437,1792,6820,18049,6,72,1573,1651,139,342,863,1344,1449,605,960,3014,2124,383,888,3395,2222,277,936,3435,1940,135,870,2945,1151,39,752,1942,521,5,789,1315,75,3,360,438,9627,1861,7991,19479,6,96,3159,3261,205,587,1910,2702,2540,1226,1930,5696,4092,762,1624,6478,4325,557,1763,6645,3914,308,1634,5856,2501,95,1235,3831,1275,16,1089,2380,206,6,467,679,19064,3653,14811,37528,Orange
10401,0,25,1455,1480,47,153,696,896,518,346,684,1548,1250,395,710,2355,1765,372,971,3108,2237,280,941,3458,1848,119,617,2584,983,33,416,1432,185,7,133,325,8833,1730,6623,17186,4,59,1347,1410,69,211,608,888,780,378,716,1874,1491,421,809,2721,1944,394,1016,3354,2253,251,925,3429,1635,71,854,2560,679,20,860,1559,81,3,430,514,8936,1808,7565,18309,4,84,2802,2890,116,364,1304,1784,1298,724,1400,3422,2741,816,1519,5076,3709,766,1987,6462,4490,531,1866,6887,3483,190,1471,5144,1662,53,1276,2991,266,10,563,839,17769,3538,14188,35495,Clarence Valley
10402,6,23,2564,2593,70,230,1308,1608,1105,706,1356,3167,2403,668,1133,4204,2947,611,1527,5085,3368,541,1443,5352,2459,174,804,3437,1455,46,509,2010,318,5,242,565,14131,3004,10886,28021,3,73,2383,2459,174,366,1163,1703,1511,729,1356,3596,2779,706,1492,4977,3367,686,1941,5994,3222,406,1685,5313,2187,128,1346,3661,1006,39,1191,2236,150,0,667,817,14399,3133,13224,30756,9,96,4947,5052,244,596,2471,3311,2616,1435,2712,6763,5182,1374,2625,9181,6314,1297,3468,11079,6590,947,3128,10665,4646,302,2150,7098,2461,85,1700,4246,468,5,909,1382,28530,6137,24110,58777,Coffs Harbour
10501,3,23,594,620,25,136,402,563,363,307,513,1183,660,273,477,1410,794,236,657,1687,784,133,580,1497,567,44,457,1068,287,8,204,499,29,0,50,79,3512,1160,3934,8606,3,33,537,573,56,188,370,614,510,319,461,1290,720,269,419,1408,833,233,421,1487,729,98,380,1207,482,25,403,910,184,3,309,496,13,3,112,128,3530,1171,3412,8113,6,56,1131,1193,81,324,772,1177,873,626,974,2473,1380,542,896,2818,1627,469,1078,3174,1513,231,960,2704,1049,69,860,1978,471,11,513,995,42,3,162,207,7042,2331,7346,16719,Bourke - Cobar - Coonamble
10502,6,11,577,594,15,105,353,473,241,228,408,877,502,178,362,1042,705,163,488,1356,807,89,469,1365,565,30,259,854,351,12,179,542,61,0,62,123,3253,816,3157,7226,0,40,499,539,40,150,303,493,345,227,416,988,556,183,402,1141,770,156,494,1420,797,71,404,1272,544,20,351,915,234,11,451,696,27,0,162,189,3313,858,3482,7653,6,51,1076,1133,55,255,656,966,586,455,824,1865,1058,361,764,2183,1475,319,982,2776,1604,160,873,2637,1109,50,610,1769,585,23,630,1238,88,0,224,312,6566,1674,6639,14879,Broken Hill and Far West
10503,0,48,2045,2093,67,317,1044,1428,1074,705,1058,2837,2017,491,907,3415,2482,363,1077,3922,2409,247,972,3628,1819,106,709,2634,939,24,460,1423,183,4,138,325,10990,2305,8410,21705,9,109,1840,1958,137,459,1013,1609,1463,721,1322,3506,2307,500,1177,3984,2690,372,1227,4289,2462,199,1081,3742,1562,69,1050,2681,660,7,982,1649,81,0,448,529,11371,2436,10140,23947,9,157,3885,4051,204,776,2057,3037,2537,1426,2380,6343,4324,991,2084,7399,5172,735,2304,8211,4871,446,2053,7370,3381,175,1759,5315,1599,31,1442,3072,264,4,586,854,22361,4741,18550,45652,Dubbo
10101,0,20,2032,2052,49,244,1020,1313,1015,621,1000,2636,2372,549,921,3842,2797,455,1140,4392,2826,281,1013,4120,2114,109,728,2951,984,27,459,1470,180,3,152,335,12337,2309,8465,23111,0,70,1818,1888,130,369,873,1372,1458,656,962,3076,2690,574,1046,4310,2883,409,1089,4381,2835,252,1074,4161,1751,61,1075,2887,675,16,1058,1749,97,0,486,583,12519,2407,9481,24407,0,90,3850,3940,179,613,1893,2685,2473,1277,1962,5712,5062,1123,1967,8152,5680,864,2229,8773,5661,533,2087,8281,3865,170,1803,5838,1659,43,1517,3219,277,3,638,918,24856,4716,17946,47518,Goulburn - Yass
10102,4,13,1651,1668,48,207,1210,1465,1153,659,1212,3024,2383,539,907,3829,2498,420,963,3881,1966,227,716,2909,1035,50,354,1439,434,7,190,631,53,0,68,121,9574,2122,7271,18967,8,35,1515,1558,114,321,986,1421,1564,647,1022,3233,2686,512,897,4095,2449,385,942,3776,1765,169,815,2749,862,35,559,1456,259,6,461,726,19,0,251,270,9726,2110,7448,19284,12,48,3166,3226,162,528,2196,2886,2717,1306,2234,6257,5069,1051,1804,7924,4947,805,1905,7657,3731,396,1531,5658,1897,85,913,2895,693,13,651,1357,72,0,319,391,19300,4232,14719,38251,Queanbeyan
