SA4_MAIN11,No_IC_DS_Separate_house,No_IC_DS_SemD_ro_tr_h_th,No_IC_DS_Flat_Unit_or_Apart,No_IC_DS_Other_dwelling,No_IC_DS_Not_stated,No_IC_Total,Tof_IC_BrdB_DS_Separate_house,Tof_IC_BrdB_DS_SemD_ro_tr_h_t,Tof_IC_BrdB_DS_Flt_Unt_or_Apt,Tof_IC_BrdB_DS_Other_dwelling,Tof_IC_BrdB_DS_Not_stated,Tof_IC_BrdB_Total,Tof_IC_DU_DS_Separate_house,Tof_IC_DU_DS_SemD_ro_tr_h_th,Tof_IC_DU_DS_Flt_Unt_or_Aprt,Tof_IC_DU_DS_Other_dwelling,Tof_IC_DU_DS_Not_stated,Tof_IC_D_up_Total,Tof_IC_Oth_DS_Separate_house,Tof_IC_Oth_DS_SemD_ro_tr_h_th,Tof_IC_Ot_DS_Flt_Unt_or_Aprt,Tof_IC_Oth_DS_Other_dwelling,Tof_IC_Oth_DS_Not_stated,Tof_IC_Other_Total,Tof_IC_Tot_DS_Separate_house,Tof_IC_Tot_DS_SemD_ro_tr_h_th,Tof_IC_Tot_DS_Flt_Unt_or_Apt,Tof_IC_Tot_DS_Other_dwelling,Tof_IC_Tot_DS_Not_stated,Tof_IC_Tot_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_Unit_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_Unit_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total,SA4_NAME11
101,14605,1752,1892,434,30,18713,44761,3081,2736,556,75,51209,2666,172,158,41,6,3043,2189,322,423,47,5,2986,49616,3575,3317,644,86,57238,2014,263,263,114,36,2690,66235,5590,5472,1192,152,78641,Capital Region
102,18214,4787,3174,676,40,26891,66069,7384,4189,460,74,78176,2859,454,260,42,8,3623,3037,548,439,70,12,4106,71965,8386,4888,572,94,85905,3125,676,513,92,4,4410,93304,13849,8575,1340,138,117206,Central Coast
103,17356,1369,1510,278,12,20525,41452,1534,1124,240,45,44395,2461,87,76,12,4,2640,2268,209,220,31,3,2731,46181,1830,1420,283,52,49766,2253,209,229,105,16,2812,65790,3408,3159,666,80,73103,Central West
104,9182,1238,1529,754,18,12721,27905,2062,1748,547,17,32279,1518,136,133,42,3,1832,1216,164,236,62,3,1681,30639,2362,2117,651,23,35792,1343,172,217,92,3,1827,41164,3772,3863,1497,44,50340,Coffs Harbour - Grafton
105,11612,406,1139,319,41,13517,22159,533,851,252,54,23849,1255,36,54,8,6,1359,1443,73,142,32,4,1694,24857,642,1047,292,64,26902,1579,75,184,94,4,1936,38048,1123,2370,705,109,42355,Far West and Orana
106,16637,1842,1506,488,20,20493,52924,3307,1714,402,37,58384,2614,161,96,26,3,2900,2454,310,241,62,0,3067,57992,3778,2051,490,40,64351,2623,271,214,78,5,3191,77252,5891,3771,1056,65,88035,Hunter Valley exc Newcastle
107,15143,3326,3985,518,12,22984,53291,6677,7490,461,34,67953,2595,392,431,36,3,3457,2124,520,847,45,0,3536,58010,7589,8768,542,37,74946,2425,494,654,90,5,3668,75578,11409,13407,1150,54,101598,Illawarra
108,16840,2747,2734,909,9,23239,41519,3374,2704,703,40,48340,2413,251,176,56,0,2896,1773,246,371,75,5,2470,45705,3871,3251,834,45,53706,2073,365,423,117,3,2981,64618,6983,6408,1860,57,79926,Mid North Coast
109,9181,654,1750,234,3,11822,23374,740,1851,224,43,26232,1269,43,105,13,3,1433,1168,100,295,22,4,1589,25811,883,2251,259,50,29254,1354,100,260,49,4,1767,36346,1637,4261,542,57,42843,Murray
110,16673,840,1955,294,19,19781,35608,863,1696,312,57,38536,2067,59,108,29,0,2263,2142,117,301,22,4,2586,39817,1039,2105,363,61,43385,2171,142,303,88,8,2712,58661,2021,4363,745,88,65878,New England and North West
111,21829,3949,4124,386,18,30306,74485,6793,6001,392,85,87756,2988,349,329,18,0,3684,3079,527,727,41,10,4384,80552,7669,7057,451,95,95824,3429,568,711,67,4,4779,105810,12186,11892,904,117,130909,Newcastle and Lake Macquarie
112,13920,3362,3171,1230,19,21702,46017,6054,4270,957,59,57357,2558,396,270,81,3,3308,2036,538,493,116,7,3190,50611,6988,5033,1154,69,63855,2121,494,478,207,3,3303,66652,10844,8682,2591,91,88860,Richmond - Tweed
113,12818,702,1564,169,21,15274,30576,888,1636,203,34,33337,1657,59,97,5,0,1818,1834,107,293,27,0,2261,34067,1054,2026,235,34,37416,1720,97,258,58,19,2152,48605,1853,3848,462,74,54842,Riverina
