SA4_MAIN11,C15_17F_EO_M_O_E_T,C15_17F_EO_M_LPENS,C15_17F_EO_M_T,C15_17F_O_EVWW_M_EO,C15_17F_O_EVWW_M_O_EVWW,C15_17F_O_EVWW_M_O_ENWNA,C15_17F_O_EVWW_M_O_PENS,C15_17F_O_EVWW_M_O_E_T,C15_17F_O_EVWW_M_LPENS,C15_17F_O_EVWW_M_T,C15_17F_O_ENWNA_M_EO,C15_17F_O_ENWNA_M_O_EVWW,C15_17F_O_ENWNA_M_O_ENWNA,C15_17F_O_ENWNA_M_O_PENS,C15_17F_O_ENWNA_M_O_E_T,C15_17F_O_ENWNA_M_LPENS,C15_17F_O_ENWNA_M_T,C15_17F_O_PENS_M_EO,C15_17F_O_PENS_M_O_EVWW,C15_17F_O_PENS_M_O_ENWNA,C15_17F_O_PENS_M_O_PENS,C15_17F_O_PENS_M_O_E_T,C15_17F_O_PENS_M_LPENS,C15_17F_O_PENS_M_T,C15_17F_O_E_Tot_M_EO,C15_17F_O_E_Tot_M_O_EVWW,C15_17F_O_E_Tot_M_O_ENWNA,C15_17F_O_E_Tot_M_O_PENS,C15_17F_O_E_Tot_M_O_E_T,C15_17F_O_E_Tot_M_LPENS,C15_17F_O_E_Tot_M_T,C15_17F_LPENS_M_EO,C15_17F_LPENS_M_O_EVWW,C15_17F_LPENS_M_O_ENWNA,C15_17F_LPENS_M_O_PENS,C15_17F_LPENS_M_O_E_T,C15_17F_LPENS_M_LPENS,C15_17F_LPENS_M_T,C15_17F_Tot_M_EO,C15_17F_Tot_M_O_EVWW,C15_17F_Tot_M_O_ENWNA,C15_17F_Tot_M_O_PENS,C15_17F_Tot_M_O_E_T,C15_17F_Tot_M_LPENS,C15_17F_Tot_M_T,C18_20F_EO_M_EO,C18_20F_EO_M_O_EVWW,C18_20F_EO_M_O_ENWNA,C18_20F_EO_M_O_PENS,C18_20F_EO_M_O_E_T,C18_20F_EO_M_LPENS,C18_20F_EO_M_T,C18_20F_O_EVWW_M_EO,C18_20F_O_EVWW_M_O_EVWW,C18_20F_O_EVWW_M_O_ENWNA,C18_20F_O_EVWW_M_O_PENS,C18_20F_O_EVWW_M_O_E_T,C18_20F_O_EVWW_M_LPENS,C18_20F_O_EVWW_M_T,C18_20F_O_ENWNA_M_EO,C18_20F_O_ENWNA_M_O_EVWW,C18_20F_O_ENWNA_M_O_ENWNA,C18_20F_O_ENWNA_M_O_PENS,C18_20F_O_ENWNA_M_O_E_T,C18_20F_O_ENWNA_M_LPENS,C18_20F_O_ENWNA_M_T,C18_20F_O_PENS_M_EO,C18_20F_O_PENS_M_O_EVWW,C18_20F_O_PENS_M_O_ENWNA,C18_20F_O_PENS_M_O_PENS,C18_20F_O_PENS_M_O_E_T,C18_20F_O_PENS_M_LPENS,C18_20F_O_PENS_M_T,C18_20F_O_E_Tot_M_EO,C18_20F_O_E_Tot_M_O_EVWW,C18_20F_O_E_Tot_M_O_ENWNA,C18_20F_O_E_Tot_M_O_PENS,C18_20F_O_E_Tot_M_O_E_T,C18_20F_O_E_Tot_M_LPENS,C18_20F_O_E_Tot_M_Tot,C18_20F_LPENS_M_EO,C18_20F_LPENS_M_O_EVWW,C18_20F_LPENS_M_O_ENWNA,C18_20F_LPENS_M_O_PENS,C18_20F_LPENS_M_O_E_T,C18_20F_LPENS_M_LPENS,C18_20F_LPENS_M_T,C18_20F_Tot_M_EO,C18_20F_Tot_M_O_EVWW,C18_20F_Tot_M_O_ENWNA,C18_20F_Tot_M_O_PENS,C18_20F_Tot_M_O_E_T,C18_20F_Tot_M_LPENS,C18_20F_Tot_M_T,C21_24F_EO_M_EO,C21_24F_EO_M_O_EVWW,C21_24F_EO_M_O_ENWNA,C21_24F_EO_M_O_PENS,C21_24F_EO_M_O_E_T,C21_24F_EO_M_LPENS,C21_24F_EO_M_T,C21_24F_O_EVWW_M_EO,C21_24F_O_EVWW_M_O_EVWW,C21_24F_O_EVWW_M_O_ENWNA,C21_24F_O_EVWW_M_O_PENS,C21_24F_O_EVWW_M_O_E_T,C21_24F_O_EVWW_M_LPENS,C21_24F_O_EVWW_M_T,C21_24F_O_ENWNA_M_EO,C21_24F_O_ENWNA_M_O_EVWW,C21_24F_O_ENWNA_M_O_ENWNA,C21_24F_O_ENWNA_M_O_PENS,C21_24F_O_ENWNA_M_O_E_T,C21_24F_O_ENWNA_M_LPENS,C21_24F_O_ENWNA_M_T,C21_24F_O_PENS_M_EO,C21_24F_O_PENS_M_O_EVWW,C21_24F_O_PENS_M_O_ENWNA,C21_24F_O_PENS_M_O_PENS,C21_24F_O_PENS_M_O_E_T,C21_24F_O_PENS_M_LPENS,C21_24F_O_PENS_M_T,C21_24F_O_E_Tot_M_EO,C21_24F_O_E_Tot_M_O_EVWW,C21_24F_O_E_Tot_M_O_ENWNA,C21_24F_O_E_Tot_M_O_PENS,C21_24F_O_E_Tot_M_O_E_T,C21_24F_O_E_Tot_M_LPENS,C21_24F_O_E_Tot_M_T,C21_24F_LPENS_M_EO,C21_24F_LPENS_M_O_EVWW,C21_24F_LPENS_M_O_ENWNA,C21_24F_LPENS_M_O_PENS,C21_24F_LPENS_M_O_E_T,C21_24F_LPENS_M_LPENS,C21_24F_LPENS_M_T,C21_24F_Tot_M_EO,C21_24F_Tot_M_O_EVWW,C21_24F_Tot_M_O_ENWNA,C21_24F_Tot_M_O_PENS,C21_24F_Tot_M_O_E_T,C21_24F_Tot_M_LPENS,C21_24F_Tot_M_T,TCF_EO_M_EO,TCF_EO_M_O_EVWW,TCF_EO_M_O_ENWNA,TCF_EO_M_O_PENS,TCF_EO_M_O_E_T,TCF_EO_M_LPENS,TCF_EO_M_T,TCF_O_EVWW_M_EO,TCF_O_EVWW_M_O_EVWW,TCF_O_EVWW_M_O_ENWNA,TCF_O_EVWW_M_O_PENS,TCF_O_EVWW_M_O_E_T,TCF_O_EVWW_M_LPENS,TCF_O_EVWW_M_T,TCF_O_ENWNA_M_EO,TCF_O_ENWNA_M_O_EVWW,TCF_O_ENWNA_M_O_ENWNA,TCF_O_ENWNA_M_O_PENS,TCF_O_ENWNA_M_O_E_T,TCF_O_ENWNA_M_LPENS,TCF_O_ENWNA_M_T,TCF_O_PENS_M_EO,TCF_O_PENS_M_O_EVWW,TCF_O_PENS_M_O_ENWNA,TCF_O_PENS_M_O_PENS,TCF_O_PENS_M_O_E_T,TCF_O_PENS_M_LPENS,TCF_O_PENS_M_T,TCF_O_E_Tot_M_EO,TCF_O_E_Tot_M_O_EVWW,TCF_O_E_Tot_M_O_ENWNA,TCF_O_E_Tot_M_O_PENS,TCF_O_E_Tot_M_O_E_T,TCF_O_E_Tot_M_LPENS,TCF_O_E_Tot_M_T,TCF_LPENS_M_EO,TCF_LPENS_M_O_EVWW,TCF_LPENS_M_O_ENWNA,TCF_LPENS_M_O_PENS,TCF_LPENS_M_O_E_T,TCF_LPENS_M_LPENS,TCF_LPENS_M_T,TCF_Tot_M_EO,TCF_Tot_M_O_EVWW,TCF_Tot_M_O_ENWNA,TCF_Tot_M_O_PENS,TCF_Tot_M_O_E_T,TCF_Tot_M_LPENS,TCF_Tot_M_T,SA4_NAME11
101,56,3,4430,104,160,9,3,172,0,276,0,3,17,0,20,0,20,7,0,0,0,0,0,7,111,163,26,3,192,0,303,0,0,0,0,0,0,0,4482,219,26,3,248,3,4733,824,14,0,0,14,0,838,19,56,5,0,61,0,80,0,6,12,0,18,0,18,4,0,0,0,0,0,4,23,62,17,0,79,0,102,0,0,0,0,0,0,0,847,76,17,0,93,0,940,218,3,0,0,3,0,221,4,20,0,0,20,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,0,0,20,0,24,0,0,0,0,0,0,0,222,23,0,0,23,0,245,30867,506,0,42,548,9,31424,701,1427,59,9,1495,0,2196,12,59,86,0,145,3,160,45,0,0,46,46,0,91,758,1486,145,55,1686,3,2447,8,0,0,0,0,13,21,31633,1992,145,97,2234,25,33892,Capital Region
102,107,3,6538,130,196,11,0,207,0,337,9,13,12,0,25,0,34,8,0,0,10,10,0,18,147,209,23,10,242,0,389,3,3,0,0,3,4,10,6578,305,23,24,352,7,6937,2142,30,0,4,34,0,2176,50,85,5,0,90,0,140,0,10,6,0,16,0,16,0,0,0,0,0,0,0,50,95,11,0,106,0,156,0,3,0,0,3,3,6,2192,128,11,4,143,3,2338,754,16,0,0,16,0,770,14,39,4,0,43,0,57,0,0,7,0,7,0,7,0,0,0,3,3,0,3,14,39,11,3,53,0,67,0,0,0,0,0,0,0,768,55,11,3,69,0,837,47429,845,16,79,940,28,48397,1210,1794,73,6,1873,0,3083,37,135,87,0,222,0,259,63,3,0,65,68,0,131,1310,1932,160,71,2163,0,3473,9,6,0,0,6,7,22,48748,2783,176,150,3109,35,51892,Central Coast
103,29,0,4148,50,85,4,0,89,0,139,4,3,15,0,18,0,22,8,0,0,0,0,0,8,62,88,19,0,107,0,169,3,0,0,0,0,0,3,4184,111,19,6,136,0,4320,679,3,0,3,6,3,688,10,21,3,0,24,0,34,0,3,3,0,6,0,6,4,0,0,0,0,0,4,14,24,6,0,30,0,44,0,0,0,0,0,0,0,693,27,6,3,36,3,732,183,3,0,3,6,0,189,3,5,0,0,5,0,8,0,0,3,0,3,0,3,0,0,0,0,0,0,0,3,5,3,0,8,0,11,0,0,0,0,0,0,0,186,8,3,3,14,0,200,31833,284,4,39,327,14,32174,454,725,43,3,771,0,1225,17,66,92,0,158,0,175,65,3,0,62,65,0,130,536,794,135,65,994,0,1530,6,3,0,0,3,0,9,32375,1081,139,104,1324,14,33713,Central West
104,17,0,2648,47,82,0,0,82,0,129,0,11,14,0,25,0,25,7,0,0,0,0,0,7,54,93,14,0,107,0,161,0,0,0,0,0,0,0,2685,107,14,3,124,0,2809,448,6,0,0,6,0,454,16,20,0,0,20,0,36,0,3,11,0,14,0,14,0,0,0,0,0,0,0,16,23,11,0,34,0,50,0,0,0,0,0,0,0,464,29,11,0,40,0,504,111,0,0,0,0,0,111,0,10,0,0,10,0,10,0,7,3,0,10,0,10,0,0,0,0,0,0,0,0,17,3,0,20,0,20,0,0,0,0,0,0,0,111,17,3,0,20,0,131,17832,177,7,16,200,6,18038,374,643,25,3,671,0,1045,7,82,120,0,202,0,209,31,0,0,27,27,0,58,412,725,145,30,900,0,1312,6,7,0,0,7,0,13,18250,909,152,46,1107,6,19363,Coffs Harbour - Grafton
105,8,0,1842,18,41,0,0,41,0,59,0,3,3,0,6,0,6,3,0,0,5,5,0,8,21,44,3,5,52,0,73,0,0,0,0,0,0,0,1855,52,3,5,60,0,1915,294,0,0,0,0,0,294,0,5,0,0,5,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,4,4,5,0,0,5,0,9,0,0,0,0,0,0,0,298,5,0,0,5,0,303,46,0,0,0,0,0,46,3,3,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,6,0,0,0,0,0,0,0,49,3,0,0,3,0,52,16283,112,0,24,136,3,16422,189,408,9,0,417,0,606,7,26,18,0,44,0,51,38,3,0,40,43,0,81,234,437,27,40,504,0,738,6,0,3,0,3,0,9,16523,549,30,64,643,3,17169,Far West and Orana
106,44,0,5161,90,102,3,3,108,0,198,3,7,8,0,15,0,18,4,0,0,0,0,0,4,97,109,11,3,123,0,220,4,0,0,0,0,0,4,5218,142,14,11,167,0,5385,1283,13,0,0,13,0,1296,22,38,0,0,38,0,60,0,4,5,0,9,0,9,4,0,0,0,0,0,4,26,42,5,0,47,0,73,0,0,0,0,0,0,0,1309,55,5,0,60,0,1369,426,3,0,0,3,0,429,7,12,0,0,12,0,19,0,4,0,0,4,0,4,3,0,0,0,0,0,3,10,16,0,0,16,0,26,0,0,0,0,0,0,0,436,19,0,0,19,0,455,41162,369,3,46,418,6,41586,635,842,37,12,891,0,1526,18,65,43,0,108,0,126,53,5,0,50,55,0,108,706,912,80,62,1054,0,1760,9,0,0,0,0,0,9,41877,1281,83,108,1472,6,43355,Hunter Valley exc Newcastle
107,141,0,5407,156,661,42,0,703,6,865,3,56,45,0,101,0,104,4,5,0,0,5,0,9,163,722,87,0,809,6,978,0,3,0,0,3,3,6,5429,851,87,15,953,9,6391,2101,36,0,0,36,0,2137,62,363,15,0,378,0,440,0,36,32,0,68,0,68,7,0,0,0,0,0,7,69,399,47,0,446,0,515,0,3,0,0,3,3,6,2170,438,47,0,485,3,2658,790,23,0,0,23,0,813,21,175,14,0,189,0,210,4,14,25,3,42,0,46,0,0,0,0,0,0,0,25,189,39,3,231,0,256,0,3,0,0,3,0,3,815,215,39,3,257,0,1072,39564,1170,12,70,1252,10,40826,1368,5143,245,6,5394,6,6768,28,413,338,3,754,0,782,56,16,0,42,58,0,114,1452,5572,583,51,6206,6,7664,13,22,3,0,25,32,70,41029,6764,598,121,7483,48,48560,Illawarra
108,30,0,3876,45,60,0,0,60,0,105,0,3,4,0,7,0,7,5,0,0,7,7,0,12,50,63,4,7,74,0,124,0,0,0,0,0,0,0,3896,89,4,11,104,0,4000,596,3,0,0,3,0,599,9,8,0,0,8,0,17,3,0,3,0,3,0,6,0,0,0,0,0,0,0,12,8,3,0,11,0,23,0,0,0,0,0,0,0,608,11,3,0,14,0,622,120,3,0,0,3,0,123,3,3,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,6,0,0,0,0,0,0,0,123,6,0,0,6,0,129,26127,251,0,44,295,0,26422,444,409,7,0,416,0,860,9,23,39,0,62,0,71,35,6,0,51,57,0,92,488,438,46,51,535,0,1023,3,0,0,0,0,6,9,26618,689,46,95,830,6,27454,Mid North Coast
109,21,0,2407,22,61,0,0,61,0,83,0,3,10,0,13,0,13,3,0,0,3,3,0,6,25,64,10,3,77,0,102,0,0,0,0,0,0,0,2411,85,10,3,98,0,2509,442,0,0,0,0,0,442,3,24,0,0,24,0,27,0,0,8,0,8,0,8,0,0,0,0,0,0,0,3,24,8,0,32,0,35,0,0,0,0,0,0,0,445,24,8,0,32,0,477,81,3,0,0,3,0,84,0,0,0,0,0,0,0,0,0,10,0,10,0,10,0,0,0,0,0,0,0,0,0,10,0,10,0,10,0,3,0,0,3,0,3,81,6,10,0,16,0,97,16909,167,0,15,182,0,17091,230,508,0,3,511,0,741,0,50,74,0,124,6,130,23,3,0,22,25,0,48,253,561,74,25,660,6,919,6,6,0,0,6,6,18,17168,734,74,40,848,12,18028,Murray
110,22,0,3429,34,58,3,0,61,0,95,0,3,3,0,6,0,6,6,0,0,3,3,0,9,40,61,6,3,70,0,110,0,0,0,0,0,0,0,3447,76,6,10,92,0,3539,526,0,0,0,0,0,526,0,12,0,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,12,0,12,0,0,0,0,0,0,0,526,12,0,0,12,0,538,96,0,0,0,0,0,96,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0,96,3,0,0,3,0,99,26706,217,0,41,258,0,26964,283,535,28,0,563,0,846,0,57,28,0,85,0,85,48,0,0,59,59,0,107,331,592,56,59,707,0,1038,3,3,0,0,3,0,6,27040,812,56,100,968,0,28008,New England and North West
