SA4_MAIN11,P_85y_ov_DNUDW_,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW_,P_Tot_UDW_NS,P_Tot_Total,SA4_NAME11
101,1917,916,4296,32722,45759,23960,19871,30684,15012,168008,Capital Region
102,3936,2183,8965,51652,64651,33315,28357,51322,22190,251487,Central Coast
103,2068,718,4045,29684,38983,20460,19371,32421,14666,155585,Central West
104,1559,694,3279,19067,27723,15527,13987,20704,8816,105824,Coffs Harbour - Grafton
105,1073,435,2169,15716,21793,11299,10609,20361,9544,89322,Far West and Orana
106,2080,806,4267,37302,49011,25809,24645,39151,16306,192224,Hunter Valley exc Newcastle
107,2814,1001,5800,47421,57003,28981,24310,48980,16538,223233,Illawarra
108,2974,1418,6404,27643,41280,24579,22204,34403,15083,165192,Mid North Coast
109,1204,591,2566,17834,22495,11480,10355,18970,7963,89097,Murray
110,1701,770,3621,26387,34635,18489,17535,29503,13212,139761,New England and North West
111,4255,1595,8730,61799,74444,36412,29501,58344,20596,281096,Newcastle and Lake Macquarie
112,3130,1342,6509,35741,49146,26544,22460,35692,15679,185262,Richmond - Tweed
113,1510,632,3125,23455,29476,15247,13923,24935,11145,118181,Riverina
114,1754,811,3737,19712,28560,16475,15058,21895,10351,112051,Southern Highlands and Shoalhaven
115,1494,567,3188,39943,44681,22651,18162,31711,8736,165884,Sydney - Baulkham Hills and Hawkesbury
116,1608,490,2793,48603,54552,24446,23067,61965,18870,231503,Sydney - Blacktown
117,1357,643,2784,69724,57569,15658,9978,53791,30640,237360,Sydney - City and Inner South
118,2566,1198,5733,61777,51317,17992,12415,42840,25291,211632,Sydney - Eastern Suburbs
119,5495,2099,11457,86738,90326,41537,37274,126365,38970,421210,Sydney - Inner South West
120,2553,1058,5197,56289,57078,22284,15806,50202,19179,220838,Sydney - Inner West
121,3846,1592,9132,82126,84934,37423,27146,53633,20403,305665,Sydney - North Sydney and Hornsby
122,2819,1108,6252,49685,53262,23897,16946,33729,12875,190394,Sydney - Northern Beaches
123,1206,608,2505,39836,45748,21676,19249,41630,14223,182362,Sydney - Outer South West
124,1845,863,4006,49650,60975,29138,24804,45222,17447,227236,Sydney - Outer West and Blue Mountains
125,3160,1401,6479,64635,68226,30911,28076,93185,31342,316375,Sydney - Parramatta
126,1993,629,4188,32772,35105,16332,11899,30840,8028,134976,Sydney - Ryde
127,2036,725,3790,55082,54768,25279,25194,94643,26554,281520,Sydney - South West
128,2065,862,4596,41548,46276,22422,16972,32311,10492,170021,Sydney - Sutherland
197,0,0,0,9,6,9,3,71,14,112,Migratory - Offshore - Shipping (NSW)
199,66,48,123,2361,1818,643,574,3419,2924,11739,Special Purpose Codes SA4 (NSW)
201,1349,727,3082,24560,29894,15346,14337,24286,10025,118448,Ballarat
202,1371,868,3296,23122,29952,15240,13910,21970,9674,113868,Bendigo
203,2955,1071,6004,44153,52285,26457,23133,41515,15580,203123,Geelong
204,1780,732,3603,25981,33635,17807,15714,25622,10256,129015,Hume
205,2634,1233,5736,39094,51616,28970,27564,42000,18598,207842,Latrobe - Gippsland
206,3545,1734,7871,137208,116348,35074,23177,86342,43061,441210,Melbourne - Inner
207,4022,2039,9631,72680,72524,34112,25629,59693,18320,282958,Melbourne - Inner East
208,5202,2184,11479,79817,82716,36070,26055,61929,22020,308607,Melbourne - Inner South
209,3375,1671,7281,81008,86073,40123,33418,85428,27100,353150,Melbourne - North East
210,2187,1082,4825,52432,56314,26474,24898,70257,22339,252714,Melbourne - North West
211,4099,1803,8716,93929,103823,50016,39946,77242,23121,388077,Melbourne - Outer East
212,5260,1877,10143,117334,122754,56968,48825,140606,40552,527039,Melbourne - South East
213,3322,1436,6796,105750,113510,48942,44264,128044,46329,486839,Melbourne - West
214,2568,1781,6488,47569,56623,28055,23503,45368,19088,220206,Mornington Peninsula
215,1891,819,3978,22494,27806,15511,15278,26220,11295,118604,North West
216,1445,647,2965,19234,24032,12717,11607,22240,9444,99274,Shepparton
217,1357,695,3047,19138,24062,13299,12514,19796,8156,96965,Warrnambool and South West
297,0,0,0,3,6,3,0,23,3,38,Migratory - Offshore - Shipping (Vic.)
299,27,19,54,1612,1165,389,320,2084,1696,7266,Special Purpose Codes SA4 (Vic.)
301,2033,705,4015,39283,47493,21982,17183,31379,10800,168120,Brisbane - East
302,1833,1216,4613,38720,44196,18679,14172,28931,11774,156472,Brisbane - North
303,2498,1132,5420,65512,68949,28892,21841,53945,18216,257355,Brisbane - South
304,1373,772,3295,37409,40266,17919,12817,22317,7528,138256,Brisbane - West
305,1320,681,3138,60278,54696,17412,11492,32310,16484,192672,Brisbane Inner City
306,1274,732,2872,35872,46442,21940,19280,34287,18701,176522,Cairns
307,1100,437,2228,17198,22823,12545,13309,19942,9348,95165,Darling Downs - Maranoa
308,982,807,2529,33152,41537,20108,19640,32121,17909,164467,Fitzroy
309,3904,2660,9465,95205,108718,48340,37375,83432,40190,413260,Gold Coast
310,1550,808,3381,44951,55340,26202,23976,45587,20471,216527,Ipswich
311,1307,668,2776,48371,57617,27054,23206,47689,19206,223143,Logan - Beaudesert
312,857,316,1691,27159,32737,15026,14941,26862,14532,131257,Mackay
313,1850,940,4000,34647,43128,22117,19884,34940,15849,170565,Moreton Bay - North
314,679,457,1653,31414,38125,17317,13602,20921,6999,128378,Moreton Bay - South
315,280,97,548,12448,14814,6434,6304,14075,8697,62772,Queensland - Outback
316,3164,1468,7029,51699,68546,35566,29032,45120,18870,248833,Sunshine Coast
317,1016,839,2758,23008,29161,14642,12972,21043,9265,110091,Toowoomba
318,1361,501,2755,36877,45577,21207,18400,33483,16369,171913,Townsville
319,2209,1669,5573,36586,52872,30680,31507,46042,21482,219169,Wide Bay
397,0,3,6,55,63,35,21,190,89,453,Migratory - Offshore - Shipping (Qld)
399,26,14,50,2233,2173,944,757,3389,1990,11486,Special Purpose Codes SA4 (Qld)
401,3823,1374,7832,56065,65464,29692,20814,44830,15017,231882,Adelaide - Central and Hills
402,3006,1308,6286,66509,81814,38256,31394,72561,23809,314343,Adelaide - North
403,4214,1577,8917,64357,80008,37527,27374,53583,17146,279995,Adelaide - South
404,2931,1419,6629,40120,47693,21254,15678,43186,14459,182390,Adelaide - West
405,1437,439,2770,15500,21908,12617,12351,18262,5928,86566,Barossa - Yorke - Mid North
406,604,311,1323,12564,16715,8266,7584,15138,7077,67344,South Australia - Outback
407,1951,866,4321,26840,37413,21094,18384,28713,11902,144346,South Australia - South East
497,0,0,0,0,0,0,0,6,0,6,Migratory - Offshore - Shipping (SA)
499,57,11,77,537,511,174,125,938,481,2766,Special Purpose Codes SA4 (SA)
501,1120,489,2452,24257,32207,17294,16659,23230,10751,124398,Bunbury
502,669,502,1730,12048,16188,9007,8880,14629,6749,67501,Mandurah
503,1487,782,3612,36098,35016,13713,10325,24908,12449,132509,Perth - Inner
504,1481,566,3090,38779,45677,20733,17981,37317,15783,176270,Perth - North East
505,3163,1623,7310,90961,102329,45137,37677,80258,29411,385773,Perth - North West
506,2952,1572,6779,80410,89487,39350,34474,77385,31224,352330,Perth - South East
507,2532,1162,5731,63653,73939,33938,29938,58203,22401,282072,Perth - South West
508,608,293,1258,33576,38231,15969,15140,38496,27102,168514,Western Australia - Outback
509,1003,431,2236,18768,25498,14254,14886,20058,9165,102629,Western Australia - Wheat Belt
597,0,0,0,34,27,3,12,273,66,415,Migratory - Offshore - Shipping (WA)
599,9,8,17,1370,1163,511,340,1981,1326,6691,Special Purpose Codes SA4 (WA)
601,2028,849,4553,37553,48206,23103,17545,33059,12420,171886,Hobart
602,1474,553,2954,22187,29082,15060,13412,23751,8176,111668,Launceston and North East
603,240,85,481,4914,7396,4342,4230,5841,2232,28955,South East
604,950,565,2259,16089,22070,12226,11379,19124,6999,87887,West and North West
697,0,0,0,18,22,3,6,53,12,114,Migratory - Offshore - Shipping (Tas.)
699,0,0,0,214,184,62,65,299,148,972,Special Purpose Codes SA4 (Tas.)
701,217,86,427,21162,25655,9900,6856,17777,13856,95206,Darwin
702,108,69,266,16288,16795,6575,4348,13547,8207,65760,Northern Territory - Outback
797,0,0,0,17,12,3,0,63,16,111,Migratory - Offshore - Shipping (NT)
799,0,0,3,325,356,126,109,529,281,1726,Special Purpose Codes SA4 (NT)
801,1938,840,4829,75499,91026,37294,22549,46398,17538,290304,Australian Capital Territory
897,0,0,0,0,3,0,0,0,0,3,Migratory - Offshore - Shipping (ACT)
899,3,0,3,170,136,34,23,145,63,571,Special Purpose Codes SA4 (ACT)
901,4,0,4,364,390,149,107,574,921,2505,Other Territories
997,0,0,0,0,3,0,0,0,0,3,Migratory - Offshore - Shipping (OT)
999,0,0,0,7,9,0,0,6,0,22,Special Purpose Codes SA4 (OT)
