SA4_MAIN11,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total,SA4_NAME11
101,3413,845,4296,31902,11972,1607,45481,108779,13746,168006,Capital Region
102,6846,2055,8966,49535,20576,2779,72890,158455,20142,251487,Central Coast
103,3385,623,4044,30683,11939,1582,44204,98109,13272,155585,Central West
104,2598,662,3279,19348,7772,1102,28222,69646,7955,105823,Coffs Harbour - Grafton
105,1757,391,2168,17014,6849,866,24729,55919,8673,89321,Far West and Orana
106,3514,727,4266,41089,16730,2171,59990,117520,14714,192224,Hunter Valley exc Newcastle
107,4860,892,5799,44247,20223,2506,66976,141519,14738,223233,Illawarra
108,5056,1310,6404,27095,11340,1526,39961,111693,13539,165193,Mid North Coast
109,1980,557,2566,16720,6707,811,24238,57622,7240,89100,Murray
110,2881,708,3623,26579,10239,1424,38242,89623,11897,139762,New England and North West
111,7170,1473,8729,53216,25653,2932,81801,180832,18463,281096,Newcastle and Lake Macquarie
112,5233,1224,6509,34359,13584,2134,50077,120940,14247,185264,Richmond - Tweed
113,2509,570,3124,23380,9103,1134,33617,74617,9946,118180,Riverina
114,2959,755,3737,19660,8381,1029,29070,73516,9466,112052,Southern Highlands and Shoalhaven
115,2579,552,3189,38380,13129,1536,53045,104763,8076,165884,Sydney - Baulkham Hills and Hawkesbury
116,2316,443,2793,54588,15294,1839,71721,142961,16821,231503,Sydney - Blacktown
117,2121,626,2783,26718,9955,966,37639,170117,29606,237362,Sydney - City and Inner South
118,4567,1095,5735,35158,12380,1338,48876,138590,24165,211631,Sydney - Eastern Suburbs
119,9371,1951,11459,82255,25402,1856,109513,276474,35222,421209,Sydney - Inner South West
120,4121,1003,5196,41055,12050,1403,54508,148341,17990,220839,Sydney - Inner West
121,7532,1469,9133,64662,20351,2603,87616,198754,19293,305663,Sydney - North Sydney and Hornsby
122,5146,1036,6253,43463,14795,2067,60325,118055,12014,190394,Sydney - Northern Beaches
123,1899,579,2505,40973,14494,1744,57211,112396,12755,182362,Sydney - Outer South West
124,3138,817,4005,49521,19129,2676,71326,140084,15825,227235,Sydney - Outer West and Blue Mountains
125,5083,1331,6478,62747,17813,1563,82123,205441,28813,316377,Sydney - Parramatta
126,3538,590,4190,26699,8497,940,36136,91350,7489,134975,Sydney - Ryde
127,3079,661,3789,55985,16196,1332,73513,184603,23405,281521,Sydney - South West
128,3760,791,4598,36328,15016,1672,53016,107520,9486,170022,Sydney - Sutherland
197,0,0,0,6,0,0,6,89,15,110,Migratory - Offshore - Shipping (NSW)
199,70,51,121,1111,552,43,1706,7210,2821,11737,Special Purpose Codes SA4 (NSW)
201,2338,711,3079,22810,9461,1260,33531,75855,9063,118449,Ballarat
202,2449,820,3296,22041,9202,1344,32587,72448,8834,113869,Bendigo
203,4968,990,6003,40395,16685,2242,59322,129609,14192,203123,Geelong
204,2893,684,3603,24320,9715,1326,35361,84438,9216,129015,Hume
205,4524,1173,5736,38334,16129,2155,56618,134254,16971,207843,Latrobe - Gippsland
206,6149,1630,7871,57890,22357,2610,82857,317235,41119,441211,Melbourne - Inner
207,7602,1915,9632,53969,19741,2082,75792,190369,16797,282958,Melbourne - Inner East
