SA4_MAIN11,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P,SA4_NAME11
101,24871,48974,439,2439,2425,11190,685,3091,12175,48022,15724,64742,975,3922,1791,5635,3813,11693,6579,21250,22303,85992,113,510,623,2154,274,945,3803,10273,4813,13882,248,750,778,1644,2546,5298,3572,7692,8385,21574,636,1314,56195,157854,Capital Region
102,31963,63578,683,3740,3555,16440,1216,5525,18122,71730,23576,97435,1837,7605,2790,9337,6738,21241,11365,38183,34941,135618,240,1048,1195,4229,747,2627,6641,18156,8823,26060,687,2176,1481,3201,5532,11738,7700,17115,16523,43175,1077,2206,84504,244577,Central Coast
103,21334,42063,449,2547,2263,10518,749,3455,11789,47703,15250,64223,834,3343,1533,4746,3493,10784,5860,18873,21110,83096,112,502,637,2318,351,1316,3899,10880,4999,15016,185,564,683,1443,2509,5294,3377,7301,8376,22317,717,1487,51537,148963,Central West
104,15913,31407,249,1396,1419,6566,437,1978,6852,27162,8957,37102,502,2012,1108,3487,2281,6959,3891,12458,12848,49560,86,393,555,1957,234,890,3157,8571,4032,11811,190,570,661,1406,1822,3791,2673,5767,6705,17578,409,857,35875,99402,Coffs Harbour - Grafton
105,11807,23260,200,1083,1139,5099,485,2208,6361,25634,8185,34024,389,1537,736,2185,1981,5992,3106,9714,11291,43738,94,438,391,1481,290,1090,2903,8451,3678,11460,130,395,362,779,1571,3349,2063,4523,5741,15983,509,1075,29348,84056,Far West and Orana
106,26096,51750,560,3068,2712,12625,1073,4870,15606,62117,19951,82680,1288,5271,1993,6534,5404,17010,8685,28815,28636,111495,156,707,830,2980,465,1661,5062,13972,6513,19320,400,1261,837,1854,3416,7238,4653,10353,11166,29673,717,1488,66615,194406,Hunter Valley exc Newcastle
107,27411,54497,614,3338,3306,15248,1024,4678,16872,66460,21816,89724,1935,8082,2741,9344,6882,21885,11558,39311,33374,129035,169,769,964,3433,501,1763,5052,13572,6686,19537,535,1694,1246,2794,4549,9764,6330,14252,13016,33789,1078,2236,74879,219557,Illawarra
108,27139,53719,295,1611,2052,9482,605,2712,9589,38486,12541,52291,727,2872,1540,4808,3382,10322,5649,18002,18190,70293,122,544,809,2910,422,1549,4532,12635,5885,17638,249,750,940,1997,2924,6117,4113,8864,9998,26502,653,1346,55980,151860,Mid North Coast
109,13076,25747,216,1191,1318,6097,357,1632,6307,25143,8198,34063,490,1942,915,2869,1810,5537,3215,10348,11413,44411,56,254,339,1208,188,696,2031,5574,2614,7732,145,454,429,901,1245,2620,1819,3975,4433,11707,354,735,29276,82600,Murray
110,19632,38739,328,1821,1921,8755,606,2742,10150,40663,13005,53981,665,2639,1345,4123,3130,9536,5140,16298,18145,70279,115,531,566,2075,338,1237,3920,11298,4939,15141,173,539,614,1294,2296,4884,3083,6717,8022,21858,692,1433,46491,132309,New England and North West
