SA4_MAIN11,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families,SA4_NAME11
101,19027,1747,1153,171,10,37,157,22302,Capital Region
102,29424,2969,1944,299,34,40,231,34941,Central Coast
103,18026,1526,1125,189,17,44,182,21109,Central West
104,10779,1058,738,139,5,29,100,12848,Coffs Harbour - Grafton
105,9553,753,605,168,18,24,172,11293,Far West and Orana
106,24161,2248,1685,257,31,40,213,28635,Hunter Valley exc Newcastle
107,29104,2333,1424,268,21,47,176,33373,Illawarra
108,15236,1485,1022,194,15,32,204,18188,Mid North Coast
109,9863,776,573,81,3,14,103,11413,Murray
110,15474,1298,954,191,14,34,181,18146,New England and North West
111,32639,2994,1807,330,27,66,238,38101,Newcastle and Lake Macquarie
112,19067,1842,1177,209,13,30,157,22495,Richmond - Tweed
113,14375,1099,820,121,10,19,134,16578,Riverina
114,11480,1018,712,112,5,28,118,13473,Southern Highlands and Shoalhaven
115,31247,1596,898,303,6,20,82,34152,Sydney - Baulkham Hills and Hawkesbury
116,38612,2297,1598,668,47,51,177,43450,Sydney - Blacktown
117,16236,1055,340,160,6,11,63,17871,Sydney - City and Inner South
118,23014,1283,465,125,6,5,51,24949,Sydney - Eastern Suburbs
119,64284,3224,1531,854,33,59,175,70160,Sydney - Inner South West
120,29112,1471,518,260,8,17,62,31448,Sydney - Inner West
121,46326,2222,789,271,4,22,94,49728,Sydney - North Sydney and Hornsby
122,29293,1818,808,187,9,16,41,32172,Sydney - Northern Beaches
123,27787,2195,1580,427,33,58,180,32260,Sydney - Outer South West
124,32119,2809,1847,370,37,59,201,37442,Sydney - Outer West and Blue Mountains
125,47797,2291,1079,666,18,42,153,52046,Sydney - Parramatta
126,20652,930,330,202,9,17,37,22177,Sydney - Ryde
127,46433,2489,1454,835,45,61,178,51495,Sydney - South West
128,26877,1665,829,153,5,20,59,29608,Sydney - Sutherland
197,0,0,0,0,0,0,0,0,Migratory - Offshore - Shipping (NSW)
199,0,0,0,0,0,0,0,0,Special Purpose Codes SA4 (NSW)
201,13398,1144,714,110,10,15,75,15466,Ballarat
202,13092,1156,719,88,6,20,61,15142,Bendigo
203,25448,2007,1119,148,5,30,89,28846,Geelong
204,14612,1318,798,85,10,13,91,16927,Hume
205,22724,2098,1404,170,21,19,181,26617,Latrobe - Gippsland
206,36991,2235,680,182,10,26,79,40203,Melbourne - Inner
207,42147,2006,743,338,3,18,72,45327,Melbourne - Inner East
208,45137,2539,994,206,9,19,59,48963,Melbourne - Inner South
209,54421,3110,1618,423,9,36,136,59753,Melbourne - North East
210,39435,2238,1238,370,8,26,94,43409,Melbourne - North West
211,58694,4350,2209,388,18,54,146,65859,Melbourne - Outer East
212,80104,5298,3014,1112,49,80,248,89905,Melbourne - South East
213,73052,4709,2564,916,42,90,267,81640,Melbourne - West
214,26337,2730,1499,176,14,30,104,30890,Mornington Peninsula
215,13335,1023,758,99,10,23,104,15352,North West
216,11768,959,633,92,13,12,85,13562,Shepparton
217,11600,837,607,85,3,7,71,13210,Warrnambool and South West
297,0,0,0,0,0,0,0,0,Migratory - Offshore - Shipping (Vic.)
299,0,0,0,0,0,0,0,0,Special Purpose Codes SA4 (Vic.)
301,23508,2289,1252,197,15,35,83,27379,Brisbane - East
302,19254,1687,798,184,11,12,73,22019,Brisbane - North
