sa4_code16,area_holding_tot_area_ha_a,cotton_app_rt_ml_ha,cotton_area_wtrd_ha,cotton_tot_area_ha_e,cotton_vol_app_ml,fruit_trees_nut_trees_plntn_berry_fruits_app_rt_ml_ha,fruit_trees_nut_trees_plntn_berry_fruits_area_wtrd_ha,fruit_trees_nut_trees_plntn_berry_fruits_tot_area_ha,fruit_trees_nut_trees_plntn_berry_fruits_vol_app_ml,grapevines_app_rt_ml_ha,grapevines_area_wtrd_ha,grapevines_tot_area_ha,grapevines_vol_app_ml,groundwtr_eg_bores_springs_wells_tot_vol_used_ml,irrigate_expendure_yr_irrigate_wtr_vol_use_chrgs_tot_cst_aud,irrigate_expendure_pur_xtr_wtr_perm_basis_tot_cst_aud,irrigate_expendure_pur_xtr_wtr_perm_basis_tot_vol_pur_ml,irrigate_expendure_pur_xtr_wtr_tmp_basis_tot_cst_aud,irrigate_expendure_pur_xtr_wtr_tmp_basis_tot_vol_pur_ml,num_agri_bsns_num,num_agri_bsns_irrigating_num,nurseries_cut_floers_cultivated_turf_app_rt_ml_ha,nurseries_cut_floers_cultivated_turf_area_wtrd_ha,nurseries_cut_floers_cultivated_turf_tot_area_ha,nurseries_cut_floers_cultivated_turf_vol_app_ml,oth_agri_wtr_use_vol_used_ml_b,oth_broadacre_crp_app_rt_ml_ha,oth_broadacre_crp_area_wtrd_ha,oth_broadacre_crp_tot_area_ha,oth_broadacre_crp_vol_app_ml,oth_crls_grain_seed_eg_wheat_oats_maize_app_rt_ml_ha,oth_crls_grain_seed_eg_wheat_oats_maize_area_wtrd_ha,oth_crls_grain_seed_eg_wheat_oats_maize_tot_area_ha,oth_crls_grain_seed_eg_wheat_oats_maize_vol_app_ml,oth_crp_nec_app_rt_ml_ha,oth_crp_nec_area_wtrd_ha,oth_crp_nec_vol_app_ml,oth_srcs_wtr_excluding_rainfall_tot_vol_used_ml,pstrs_incl_lcrn_crl_crp_cut_hay_app_rt_ml_ha_c,pstrs_incl_lcrn_crl_crp_cut_hay_area_wtrd_ha_c,pstrs_incl_lcrn_crl_crp_cut_hay_vol_app_ml_c,pstrs_incl_lcrn_crl_crp_cut_silg_app_rt_ml_ha_d,pstrs_incl_lcrn_crl_crp_cut_silg_area_wtrd_ha_d,pstrs_incl_lcrn_crl_crp_cut_silg_vol_app_ml_d,pstrs_incl_lcrn_crl_crp_used_graze_fed_off_app_rt_ml_ha,pstrs_incl_lcrn_crl_crp_used_graze_fed_off_area_wtrd_ha,pstrs_incl_lcrn_crl_crp_used_graze_fed_off_tot_area_ha,pstrs_incl_lcrn_crl_crp_used_graze_fed_off_vol_app_ml,pstrs_incl_lcrn_crl_oth_crp_cut_hay_tot_area_ha,pstrs_incl_lcrn_crl_oth_crp_cut_silg_tot_area_ha,recyc_re_used_wtr_off_farm_srcs_tot_vol_used_ml,rice_app_rt_ml_ha,rice_area_wtrd_ha,rice_tot_area_ha,rice_vol_app_ml,sugar_cane_app_rt_ml_ha,sugar_cane_area_wtrd_ha,sugar_cane_tot_area_ha_f,sugar_cane_vol_app_ml,tot_app_rt_ml_ha,tot_area_wtrd_ha,tot_vol_app_ml,tot_vol_app_used_incl_oth_agri_wtr_ml,tot_vol_wtr_all_srcs_ml,town_reticulated_mns_supply_tot_vol_used_ml,vegetables_human_consumption_app_rt_ml_ha,vegetables_human_consumption_area_wtrd_ha,vegetables_human_consumption_tot_area_ha,vegetables_human_consumption_vol_app_ml,wtr_tkn_irrigate_channels_irrigate_pipelines_tot_vol_used_ml,wtr_tkn_on_farm_dams_tanks_tot_vol_used_ml,wtr_tkn_rivs_crks_lakes_etc_tot_vol_used_ml,wtr_tkn_rivs_crks_lakes_etc_vol_use_chrg_occurs_tot_vol_used_ml,wtr_tkn_rivs_crks_lakes_etc_no_vol_use_chrg_tot_vol_used_ml,sa4_name16
101,2544.52,,,,,,35.77,70.28,35.77,,13.16,17.06,13.16,824.03,57.71,,,4.67,4.67,2544.52,148.77,,26.34,27.95,26.34,2381.99,,,303.24,,,,463.8,,,,,,,18.68,18.68,,,,,31.07,2346.71,31.07,480.83,118.32,1.13,,,,,,,,,,148.77,148.77,2448.2,2448.2,103.66,,12.65,20.59,12.65,40.92,1976.84,983.34,168.74,816.95,Capital Region
102,228.81,,,,,,41.37,49.55,41.37,,,,,95.76,36.03,,,,,228.81,138.85,,39.73,41.16,39.73,119.35,,,,,,,,,,,,,,,,,,,,8.45,84.06,8.45,,,,,,,,,,,,,138.85,138.85,224.29,224.29,6.46,,59.51,59.51,59.51,,140.73,49.33,15.6,,Central Coast
103,3993.72,,,26.68,,,58.36,65.14,58.36,,39.28,48.82,39.28,1825.41,207.39,,,14.23,14.23,3993.72,363.2,,8.71,8.71,8.71,3622.46,,8.52,828.0,8.52,,12.41,1843.28,12.41,,1.09,1.09,4.8,,135.66,135.66,,,,,121.4,3519.07,121.4,1433.71,237.4,,,,,,,,,,,363.2,363.2,3726.03,3726.03,256.26,,32.77,43.02,32.77,43.58,2514.35,900.69,236.3,703.68,Central West
104,739.29,,,,,,90.34,134.97,90.34,,,,,95.91,,,,,,739.29,165.7,,15.39,19.52,15.39,492.32,,,34.44,,,,,,,,,,,,,,,,,,465.66,,,7.98,29.25,,,,,,9.34,119.05,9.34,,165.7,165.7,608.72,608.72,57.64,,43.88,60.44,43.88,8.88,337.35,211.71,12.38,199.33,Coffs Harbour - Grafton
105,2978.91,,91.26,104.08,91.26,,6.16,18.19,6.16,,,,,1662.48,127.23,,,41.66,41.66,2978.91,159.45,,6.19,7.22,6.19,2783.77,,,726.38,,,,1425.97,,,,,,,19.59,19.59,,,,,45.66,2661.63,45.66,581.13,89.26,,,,,,,,,,,159.45,159.45,2837.26,2837.26,17.2,,,31.94,,65.72,1714.57,682.76,198.05,497.14,Far West and Orana
106,1191.26,,,,,,,5.93,,,54.24,69.4,54.24,351.16,251.9,,,,,1191.26,357.39,,18.48,18.48,18.48,1110.13,,,18.06,,,,69.5,,,,,,,135.16,135.16,,,,,215.23,1016.76,215.23,276.71,107.13,,,,,,,,,,,357.39,357.39,1161.3,1161.3,111.32,,8.87,8.87,8.87,50.81,532.99,583.37,332.63,265.18,Hunter Valley exc Newcastle
107,78.82,,,,,,1.18,2.36,1.18,,,,,17.86,,,,,,78.82,5.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.67,5.67,,,,,4.49,4.49,4.49,,,1.18,1.18,,Illawarra
108,999.99,,,,,,40.38,76.78,40.38,,,,,193.44,116.46,,,5.19,5.19,999.99,198.25,,57.29,61.3,57.29,880.85,,,,,,,,,,,,,,1.06,1.06,,,,,72.0,781.81,72.0,113.37,133.49,,,,,,,,,,,198.25,198.25,957.47,957.47,148.95,,10.82,12.88,10.82,,577.7,369.44,137.46,243.79,Mid North Coast
109,2504.88,,14.98,14.98,14.98,,128.51,129.54,128.51,,151.09,167.33,151.09,490.07,856.94,23.38,23.38,369.76,369.76,2504.88,1179.68,,,,,1949.05,,85.88,848.5,85.88,,252.68,1421.12,252.68,,,,,,239.87,239.87,,53.83,53.83,,585.98,1889.71,585.98,1017.14,235.24,39.02,,314.39,314.39,314.39,,,,,,1179.68,1179.68,2340.78,2340.78,100.61,,61.32,72.55,61.32,1053.13,842.06,600.27,406.03,200.31,Murray
110,4495.24,,233.98,375.15,233.98,,14.93,30.96,14.93,,,,,2138.36,364.03,,,36.42,36.42,4495.24,543.12,,7.44,13.12,7.44,3984.99,,22.77,826.33,22.77,,58.13,1482.8,58.13,,2.02,2.02,,,172.54,172.54,,47.18,47.18,,93.18,3904.28,93.18,826.53,171.06,35.59,,1.05,1.05,1.05,,,,,,543.12,543.12,4137.21,4137.21,114.36,,12.45,40.66,12.45,59.05,2366.62,1715.44,440.23,1280.24,New England and North West
111,5.72,,,,,,,,,,,,,,,,,,,5.72,,,,,,2.05,,,,,,,,,,,,,,,,,,,,,2.05,,,,,,,,,,,,,,,,5.72,5.72,,,,,,,5.72,1.0,1.0,1.0,Newcastle and Lake Macquarie
112,1522.84,,,,,,126.82,449.41,126.82,,,,,257.16,194.04,,,,,1522.84,368.57,,65.94,97.7,65.94,950.05,,,140.86,,,,,,,,,,,,,,,,,82.16,940.82,82.16,82.24,72.05,11.88,,17.19,17.19,17.19,,26.83,230.78,26.83,,368.57,368.57,1150.41,1150.41,173.84,,68.33,87.81,68.33,,638.7,334.99,121.17,250.92,Richmond - Tweed
113,3545.93,,112.89,114.19,112.89,,332.98,344.66,332.98,,293.94,301.23,293.94,873.39,799.36,31.23,31.23,242.92,242.92,3545.93,1157.23,,17.93,19.96,17.93,2534.17,,63.83,1033.87,63.83,,246.44,1778.66,246.44,,5.9,5.9,,,82.07,82.07,,4.52,4.52,,225.6,2380.72,225.6,1123.71,188.8,13.26,,325.04,325.04,325.04,,,,,,1157.23,1157.23,3273.22,3273.22,515.97,,46.16,49.62,46.16,1018.63,1706.02,636.28,200.11,437.18,Riverina
114,314.83,,,,,,3.59,4.77,3.59,,8.76,8.76,8.76,99.87,19.97,,,,,314.83,76.17,,21.24,25.49,21.24,280.75,,,,,,,10.95,,,,,,,11.44,11.44,,,,,20.16,260.45,20.16,49.61,94.86,10.39,,,,,,,,,,76.17,76.17,310.58,310.58,67.52,,12.82,14.0,12.82,,153.14,74.82,7.68,67.13,Southern Highlands and Shoalhaven
115,342.43,,,,,,29.01,40.63,29.01,,,,,25.63,87.3,6.21,6.21,10.41,10.41,342.43,273.49,,140.83,150.66,140.83,62.32,,,,,,,,,,,,,,,,,,,,4.23,65.62,4.23,,,,,,,,,,,,,273.49,273.49,316.78,316.78,104.66,,114.46,124.46,114.46,,174.75,71.24,53.89,17.35,Sydney - Baulkham Hills and Hawkesbury
116,57.28,,,,,,,,,,,,,,,,,15.46,15.46,57.28,,,,,,22.7,,,,,,,,,,,,,,,,,,,,,6.19,,,,,,,,,,,,,,,,50.28,50.28,40.93,,,,,,,5.12,,5.12,Sydney - Blacktown
119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sydney - Inner South West
121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sydney - North Sydney and Hornsby
122,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,2.47,,1.0,Sydney - Northern Beaches
