SA4_MAIN11,M_1_299_DS_DS_Seprt_house,M_1_299_DS_DS_sd_row_tce_hs_t,M_1_299_DS_DS_Flat_unit_apart,M_1_299_DS_DS_Other_dwg,M_1_299_DS_ns,M_1_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_unit_apartm,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_unit_aptmnt,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_unit_aptmt,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_unit_aprtm,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_unt_aprt,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flt_unit_aprt,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_unt_aprt,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flt_unit_aprtm,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_unit_aprt,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_unit_aptm,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flt_unit_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_unit_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot,SA4_NAME11
101,1116,47,41,9,8,1221,707,30,26,7,0,770,624,26,18,5,4,677,1229,65,55,6,0,1355,1571,65,69,4,0,1709,3850,166,179,29,4,4228,3593,185,180,19,0,3977,4082,294,132,27,5,4540,2283,140,34,11,3,2471,2015,64,25,8,0,2112,1161,24,18,9,4,1216,1202,53,39,8,0,1302,23433,1159,816,142,28,25578,Capital Region
102,1334,125,68,8,0,1535,719,63,36,0,4,822,693,57,20,0,0,770,1263,88,40,7,0,1398,1699,129,43,5,3,1879,4787,345,164,14,6,5316,6075,463,189,4,3,6734,9554,464,168,6,3,10195,4541,182,49,8,3,4783,2914,111,32,0,3,3060,1524,48,18,8,3,1601,2003,103,42,3,3,2154,37106,2178,869,63,31,40247,Central Coast
103,1113,10,5,9,4,1141,686,14,4,5,0,709,728,16,10,0,0,754,1277,39,19,3,0,1338,1820,51,19,0,0,1890,4233,88,39,15,5,4380,3762,62,34,12,3,3873,3952,47,18,8,0,4025,1591,6,3,5,3,1608,1057,5,3,0,0,1065,624,10,3,13,0,650,1244,14,6,4,4,1272,22087,362,163,74,19,22705,Central West
104,677,30,20,10,4,741,527,13,12,5,0,557,425,13,9,6,0,453,854,26,22,6,0,908,1068,42,25,14,0,1149,2465,102,69,11,0,2647,2377,105,49,11,0,2542,2436,82,27,12,0,2557,923,25,6,0,0,954,559,15,9,4,0,587,364,6,13,5,0,388,662,27,22,5,0,716,13337,486,283,89,4,14199,Coffs Harbour - Grafton
105,787,4,8,5,4,808,524,3,12,3,3,545,545,5,11,4,0,565,1018,17,15,6,0,1056,1180,11,18,0,3,1212,2421,31,29,5,0,2486,1779,19,15,3,3,1819,1468,9,7,3,0,1487,527,0,3,3,0,533,316,3,3,3,3,328,271,4,0,9,3,287,767,3,8,5,0,783,11603,109,129,49,19,11909,Far West and Orana
106,1087,34,18,10,3,1152,665,29,7,3,0,704,619,23,6,3,0,651,1248,41,20,5,0,1314,1668,58,30,3,0,1759,4670,165,64,17,3,4919,5491,176,64,12,0,5743,6806,133,37,13,3,6992,2927,52,17,12,0,3008,2134,47,14,3,0,2198,1032,19,6,5,0,1062,1548,36,17,8,0,1609,29895,813,300,94,9,31111,Hunter Valley exc Newcastle
107,976,89,63,0,0,1128,574,43,36,0,0,653,481,44,34,3,0,562,936,91,73,5,3,1108,1319,114,94,3,0,1530,3507,368,312,6,0,4193,4152,438,392,6,0,4988,6815,624,380,7,0,7826,4100,250,143,3,0,4496,3145,152,111,3,3,3414,1375,74,70,0,0,1519,1370,87,54,5,0,1516,28750,2374,1762,41,6,32933,Illawarra
108,1001,62,33,10,0,1106,745,28,23,11,0,807,668,28,17,10,0,723,1263,55,46,8,0,1372,1575,53,54,9,0,1691,3646,153,121,13,0,3933,3267,162,87,12,4,3532,3405,144,54,7,3,3613,1460,40,18,3,3,1524,896,23,4,5,3,931,508,27,22,9,4,570,1028,45,20,10,0,1103,19462,820,499,107,17,20905,Mid North Coast
109,804,11,20,6,0,841,455,8,25,3,0,491,474,11,30,3,0,518,920,20,40,0,0,980,1176,27,80,3,0,1286,2761,48,127,11,0,2947,2293,45,51,5,3,2397,1962,16,22,6,4,2010,565,5,3,0,0,573,405,7,5,4,0,421,293,6,3,4,3,309,796,11,18,4,3,832,12904,215,424,49,13,13605,Murray
110,1124,11,11,10,3,1159,663,11,7,7,0,688,660,3,13,4,0,680,1367,12,19,11,0,1409,1747,16,28,12,3,1806,3922,30,50,12,3,4017,3205,34,23,8,0,3270,2566,22,16,8,3,2615,991,12,0,5,0,1008,600,11,0,4,3,618,461,6,0,9,7,483,1116,11,5,14,0,1146,18422,179,172,104,22,18899,New England and North West
111,1619,86,45,5,0,1755,849,34,27,3,0,913,800,47,31,7,0,885,1695,82,38,0,0,1815,2234,95,71,3,4,2407,5881,254,215,8,6,6364,6760,335,239,11,0,7345,9911,401,295,5,3,10615,4639,144,105,3,3,4894,3068,129,71,5,3,3276,1628,65,71,6,0,1770,1897,104,58,4,3,2066,40981,1776,1266,60,22,44105,Newcastle and Lake Macquarie
112,1174,90,55,6,3,1328,730,55,46,4,0,835,625,43,28,13,0,709,1229,104,49,15,0,1397,1537,110,73,22,0,1742,3694,292,192,36,0,4214,3343,348,171,12,0,3874,4200,495,172,9,0,4876,2155,202,51,3,3,2414,1605,113,34,8,3,1763,949,51,20,8,3,1031,1213,103,45,6,3,1370,22454,2006,936,142,15,25553,Richmond - Tweed
113,937,16,15,0,3,971,487,8,9,3,0,507,479,7,15,0,0,501,999,19,31,5,0,1054,1480,17,45,3,0,1545,3474,43,81,10,3,3611,3116,50,41,8,0,3215,2763,38,22,10,0,2833,899,12,10,3,0,924,632,6,9,0,0,647,386,3,9,3,0,401,970,15,10,4,0,999,16622,234,297,49,6,17208,Riverina
