SA4_MAIN11,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total,SA4_NAME11
101,0,21423,21423,27789,1676,29465,10631,191,10822,10135,48,10183,4656,13,4669,2078,3,2081,55289,23354,78643,Capital Region
102,0,31363,31363,37178,2824,40002,17056,316,17372,17276,76,17352,7584,16,7600,3508,7,3515,82602,34602,117204,Central Coast
103,0,20347,20347,24443,1612,26055,9747,249,9996,9244,92,9336,4970,23,4993,2369,6,2375,50773,22329,73102,Central West
104,0,13644,13644,17979,1357,19336,6770,175,6945,6142,48,6190,2801,9,2810,1416,0,1416,35108,15233,50341,Coffs Harbour - Grafton
105,0,12511,12511,13749,964,14713,5646,90,5736,5093,26,5119,2712,5,2717,1555,3,1558,28755,13599,42354,Far West and Orana
106,0,20661,20661,29327,1916,31243,13354,201,13555,13444,39,13483,6238,12,6250,2839,0,2839,65202,22829,88031,Hunter Valley exc Newcastle
107,0,24859,24859,31473,2515,33988,15647,621,16268,16252,258,16510,6888,98,6986,2953,34,2987,73213,28385,101598,Illawarra
108,0,22832,22832,30468,1937,32405,9863,157,10020,8508,21,8529,4067,7,4074,2062,3,2065,54968,24957,79925,Mid North Coast
109,0,12506,12506,14880,1097,15977,5389,172,5561,5168,48,5216,2456,10,2466,1112,6,1118,29005,13839,42844,Murray
110,0,18243,18243,22463,1564,24027,8915,209,9124,8258,54,8312,4135,21,4156,2012,6,2018,45783,20097,65880,New England and North West
111,0,34589,34589,42176,4025,46201,19319,1003,20322,18640,341,18981,7637,127,7764,2982,69,3051,90754,40154,130908,Newcastle and Lake Macquarie
112,0,24848,24848,30377,3011,33388,12017,518,12535,10741,173,10914,4830,44,4874,2282,17,2299,60247,28611,88858,Richmond - Tweed
113,0,14606,14606,18069,1331,19400,7446,243,7689,7217,77,7294,3922,23,3945,1900,5,1905,38554,16285,54839,Riverina
114,0,14273,14273,19714,1045,20759,6709,101,6810,6396,27,6423,2934,9,2943,1362,4,1366,37115,15459,52574,Southern Highlands and Shoalhaven
115,0,8312,8312,17643,756,18399,11880,121,12001,16098,41,16139,7296,34,7330,3271,26,3297,56188,9290,65478,Sydney - Baulkham Hills and Hawkesbury
