SA4_MAIN11,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_u_ap_I_1or2_sty_blk_Ds,OPDs_F_u_ap_I_1or2_sty_blk_Ps,OPDs_F_u_ap_I_3_sty_blk_Dwgs,OPDs_F_u_ap_I_3_sty_blk_Psns,OPDs_F_u_ap_I_4_m_sty_blk_Ds,OPDs_F_u_ap_I_4_m_sty_blk_Ps,OPDs_Flt_un_apt_Att_house_Ds,OPDs_Flt_un_apt_Att_house_Ps,OPDs_Flt_unit_apart_Tot_Dwgs,OPDs_Flt_unit_apart_Tot_Psns,OPDs_Oth_dw_Cvn_cab_hboat_Ds,OPDs_Oth_dw_Cvn_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons,SA4_NAME11
101,66237,167938,3930,6853,1659,3251,5589,10104,3994,6427,926,1517,423,703,128,196,5471,8843,813,1325,100,232,281,595,1194,2152,153,346,78644,189383,19802,0,98446,189383,Capital Region
102,93306,248870,8777,15495,5071,10685,13848,26180,5530,8535,1352,2321,1466,2668,228,354,8576,13878,1146,1682,6,16,187,417,1339,2115,137,255,117206,291298,17537,0,134743,291298,Central Coast
103,65791,167537,3072,5153,335,655,3407,5808,2906,4047,137,180,30,40,84,172,3157,4439,375,545,52,100,240,474,667,1119,79,156,73101,179059,11266,0,84367,179059,Central West
104,41163,105523,2272,3857,1502,2930,3774,6787,3164,5088,335,570,249,430,116,186,3864,6274,1282,1982,68,106,147,316,1497,2404,44,72,50342,121060,7071,0,57413,121060,Coffs Harbour - Grafton
105,38048,96072,1073,1797,51,125,1124,1922,2252,3306,19,25,86,172,15,34,2372,3537,421,667,69,115,214,426,704,1208,110,298,42358,103037,7868,0,50226,103037,Far West and Orana
106,77253,207402,4237,7754,1655,3513,5892,11267,3377,5443,164,278,153,268,76,135,3770,6124,827,1186,35,92,195,386,1057,1664,63,128,88035,226585,13266,0,101301,226585,Hunter Valley exc Newcastle
107,75579,211410,5587,10428,5821,12615,11408,23043,6976,11772,3137,5395,3095,5730,198,355,13406,23252,822,1247,11,6,316,678,1149,1931,55,106,101597,259742,9058,0,110655,259742,Illawarra
108,64619,160100,5501,9475,1484,2798,6985,12273,4316,6513,884,1424,1105,1879,101,189,6406,10005,1399,2165,68,147,393,727,1860,3039,55,120,79925,185537,14271,0,94196,185537,Mid North Coast
109,36346,90863,1493,2308,144,291,1637,2599,4109,6292,99,142,26,47,26,33,4260,6514,373,582,19,32,151,322,543,936,57,141,42843,101053,7173,0,50016,101053,Murray
110,58661,148596,1701,2804,321,577,2022,3381,4192,6414,80,130,21,37,69,104,4362,6685,473,761,66,114,208,462,747,1337,87,189,65879,160188,9788,0,75667,160188,New England and North West
111,105810,276547,7503,12818,4684,9804,12187,22622,7900,12204,2130,3447,1671,2917,187,326,11888,18894,609,936,11,30,285,572,905,1538,118,192,130908,319793,11395,0,142303,319793,Newcastle and Lake Macquarie
112,66653,171548,7019,13297,3825,7747,10844,21044,6466,10885,1345,2367,618,1103,254,416,8683,14771,2268,3450,71,117,251,499,2590,4066,90,180,88860,211609,11059,0,99919,211609,Richmond - Tweed
113,48604,126536,1561,2683,289,552,1850,3235,3626,5835,97,137,84,121,42,77,3849,6170,238,326,33,78,190,414,461,818,75,148,54839,136907,8019,0,62858,136907,Riverina
114,46876,115028,2539,4504,505,944,3044,5448,1693,2435,22,37,15,16,84,143,1814,2631,652,939,14,33,95,207,761,1179,79,145,52574,124431,16504,0,69078,124431,Southern Highlands and Shoalhaven
115,56803,181613,1727,3262,4198,10593,5925,13855,791,1229,667,1364,830,1643,109,241,2397,4477,269,427,16,44,17,39,302,510,51,113,65478,200568,3812,0,69290,200568,Sydney - Baulkham Hills and Hawkesbury
116,78129,247569,3999,10386,6931,21305,10930,31691,1313,1990,1568,3647,1915,4865,145,273,4941,10775,274,420,13,27,109,267,396,714,73,174,94469,290923,4410,0,98879,290923,Sydney - Blacktown
117,16176,45191,9393,21417,14818,35567,24211,56984,7321,12902,13991,26546,45776,83566,187,309,67275,123323,10,20,3,10,611,1485,624,1515,602,994,108888,228007,11639,0,120527,228007,Sydney - City and Inner South
118,24528,73182,6803,17157,10764,27600,17567,44757,9717,19184,20512,38966,21987,40867,101,212,52317,99229,8,19,3,0,408,955,419,974,172,381,95003,218523,10106,0,105109,218523,Sydney - Eastern Suburbs
119,101439,313820,10171,24310,12230,36150,22401,60460,17080,39934,19652,46001,12807,30472,292,655,49831,117062,130,199,14,37,746,1879,890,2115,286,766,174847,494223,10449,0,185296,494223,Sydney - Inner South West
