sla_code_2006_,sla_name_2006_,irsad_score,ranking_within_australia_rank_,ranking_within_australia_decile_,ranking_within_australia_percentile_,ranking_within_state_or_territory_state_,ranking_within_state_or_territory_rank_,ranking_within_state_or_territory_decile_,ranking_within_state_or_territory_percentile_,minimum_score_for_cds_in_area_percentile_,maximum_score_for_cds_in_area_percentile_,urp,per100_urp_without_a_cd_level_score_percentile_
235105431,Mount Alexander (S) - C'maine,945,507,4,37,VIC,67,4,33,865,1027,7148,5
235105434,Mount Alexander (S) Bal,962,627,5,45,VIC,88,5,43,912,1022,9918,0
235204131,Macedon Ranges (S) - Kyneton,962,630,5,46,VIC,90,5,44,876,1033,8239,0
235204134,Macedon Ranges (S) - Romsey,1029,962,7,69,VIC,156,8,77,953,1123,10861,0
235204135,Macedon Ranges (S) Bal,1063,1099,8,79,VIC,172,9,84,938,1151,19259,0
240101375,Campaspe (S) - Rochester,936,435,4,32,VIC,52,3,26,835,1006,8084,0
205652314,Glen Eira (C) - South,1072,1138,9,82,VIC,177,9,87,993,1158,47814,0
205653431,Kingston (C) - North,1029,960,7,69,VIC,155,8,76,896,1197,89420,0
205653434,Kingston (C) - South,1026,948,7,68,VIC,151,8,74,871,1143,45204,0
205656352,Stonnington (C) - Malvern,1142,1334,10,96,VIC,200,10,98,1031,1240,44728,0
205752671,Gr. Dandenong (C) - Dandenong,915,270,2,20,VIC,24,2,12,763,1055,54847,1
205752674,Gr. Dandenong (C) Bal,913,252,2,19,VIC,18,1,9,744,1106,70673,1
205801452,Cardinia (S) - North,1018,900,7,65,VIC,147,8,72,915,1108,24037,0
205801453,Cardinia (S) - Pakenham,989,792,6,57,VIC,123,7,61,794,1114,27790,0
205504975,Monash (C) - Waverley West,1075,1151,9,83,VIC,180,9,88,855,1169,62218,0
205506981,Whitehorse (C) - Box Hill,1077,1161,9,84,VIC,182,9,89,938,1172,51055,0
205506984,Whitehorse (C) - Nunawading E.,1066,1109,8,80,VIC,174,9,85,948,1139,44069,0
205506985,Whitehorse (C) - Nunawading W.,1056,1059,8,76,VIC,168,9,82,879,1172,49643,0
205553672,Knox (C) - North-East,994,815,6,59,VIC,132,7,65,880,1092,61924,0
205553673,Knox (C) - North-West,1051,1041,8,75,VIC,167,9,82,949,1155,44748,1
205553674,Knox (C) - South,1084,1182,9,85,VIC,184,9,90,978,1194,40067,0
205554411,Maroondah (C) - Croydon,1033,973,7,70,VIC,159,8,78,901,1154,57712,0
205554412,Maroondah (C) - Ringwood,1035,984,8,71,VIC,160,8,79,926,1155,41488,0
205652311,Glen Eira (C) - Caulfield,1098,1232,9,89,VIC,188,10,92,1016,1202,76270,0
240101371,Campaspe (S) - Echuca,944,502,4,36,VIC,63,4,31,781,1056,12361,0
240101374,Campaspe (S) - Kyabram,932,395,3,29,VIC,41,3,21,830,989,12074,0
240151014,Benalla (RC) Bal,970,679,5,49,VIC,107,6,53,934,1028,4395,0
240154250,Mansfield (S),966,653,5,47,VIC,98,5,48,839,1033,7189,4
240156430,Strathbogie (S),930,379,3,28,VIC,39,2,20,840,1063,9294,0
240158249,Mount Buller Alpine Resort,1073,1143,9,82,VIC,178,9,87,1073,1073,250,72
240204851,Mitchell (S) - North,935,429,4,31,VIC,50,3,25,795,1055,10618,0
240204854,Mitchell (S) - South,985,765,6,55,VIC,121,6,60,908,1145,20310,0
240205621,Murrindindi (S) - East,948,536,4,39,VIC,72,4,36,867,1072,6156,0
240205622,Murrindindi (S) - West,990,796,6,58,VIC,126,7,62,900,1053,7517,0
245053351,Indigo (S) - Pt A,995,821,6,59,VIC,135,7,66,908,1066,11165,0
245056671,Towong (S) - Pt A,984,761,6,55,VIC,119,6,59,933,1048,2393,0
245057170,Wodonga (RC),976,707,6,51,VIC,113,6,56,805,1119,33006,1
245103352,Indigo (S) - Pt B,957,599,5,43,VIC,81,4,40,925,1035,3635,0
245106701,Wangaratta (RC) - Central,931,392,3,29,VIC,40,2,20,752,1067,16055,0
245106704,Wangaratta (RC) - North,992,808,6,58,VIC,130,7,64,893,1078,4660,6
245106705,Wangaratta (RC) - South,969,672,5,49,VIC,103,6,51,873,1026,5678,0
245150111,Alpine (S) - East,974,701,6,51,VIC,112,6,55,858,1113,7434,1
245150112,Alpine (S) - West,917,281,3,21,VIC,25,2,13,827,975,4565,0
205801613,Casey (C) - Cranbourne,947,526,4,38,VIC,70,4,35,818,1130,63916,0
245156672,Towong (S) - Pt B,935,422,4,31,VIC,49,3,24,870,990,3624,0
309105758,Noosa (S) Bal,986,778,6,56,QLD,230,5,49,883,1096,15937,0
312053050,Esk (S),924,342,3,25,QLD,107,3,23,807,999,15164,0
312054250,Kilcoy (S),904,209,2,15,QLD,70,2,15,872,936,3433,0
305011227,Fortitude Valley,1092,1210,9,87,QLD,408,9,86,968,1173,5386,0
210052753,Geelong,984,763,6,55,VIC,120,6,59,831,1080,11366,0
705102806,Durack,1106,1261,10,91,NT ,88,10,97,1081,1137,2685,0
205801616,Casey (C) - Hallam,972,691,5,50,VIC,110,6,54,773,1155,49711,0
205801618,Casey (C) - South,1025,940,7,68,VIC,149,8,73,951,1147,13568,0
255050831,Baw Baw (S) - Pt A,950,550,4,40,VIC,75,4,37,876,993,4147,0
245158109,Falls Creek Alpine Resort,999,830,6,60,VIC,136,7,67,999,999,255,84
210052754,Geelong West,990,797,6,58,VIC,127,7,62,848,1094,13664,0
225053191,Horsham (RC) - Central,945,505,4,37,VIC,65,4,32,748,1047,13478,0
225053194,Horsham (RC) Bal,977,723,6,52,VIC,114,6,56,918,1037,5016,0
210052755,Newtown,1063,1100,8,79,VIC,173,9,85,981,1158,9580,0
210052756,South Barwon - Inner,1016,892,7,64,VIC,145,8,71,924,1144,48216,1
210102757,Greater Geelong (C) - Pt B,1007,858,7,62,VIC,141,7,69,858,1170,33529,0
215106261,S. Grampians (S) - Hamilton,938,458,4,33,VIC,55,3,27,870,1045,9114,0
215106264,S. Grampians (S) - Wannon,933,410,3,30,VIC,46,3,23,869,1020,2318,0
215106265,S. Grampians (S) Bal,989,793,6,57,VIC,124,7,61,834,1049,5205,0
350103840,Iama (IC),706,27,1,2,QLD,14,1,3,706,706,312,0
350103930,Injinoo (S),680,15,1,2,QLD,8,1,2,680,680,417,0
225055811,N. Grampians (S) - St Arnaud,899,172,2,13,VIC,8,1,4,859,990,3414,0
225055814,N. Grampians (S) - Stawell,914,259,2,19,VIC,22,2,11,844,1057,8497,0
210151751,Colac-Otway (S) - Colac,913,254,2,19,VIC,20,1,10,807,1038,10858,0
210151754,Colac-Otway (S) - North,947,533,4,39,VIC,71,4,35,810,1013,6063,0
210151755,Colac-Otway (S) - South,967,659,5,48,VIC,100,5,49,905,1032,3374,0
210152491,Golden Plains (S) - North-West,961,623,5,45,VIC,87,5,43,882,1013,7442,0
210152492,Golden Plains (S) - South-East,994,817,6,59,VIC,133,7,65,904,1158,9013,0
210152758,Greater Geelong (C) - Pt C,1010,876,7,63,VIC,144,8,71,975,1047,2956,19
215016730,Warrnambool (C),966,645,5,47,VIC,94,5,46,783,1135,30392,0
215051831,Corangamite (S) - North,928,369,3,27,VIC,37,2,19,813,1037,9205,0
215051832,Corangamite (S) - South,959,609,5,44,VIC,83,5,41,852,1039,7412,0
215055491,Moyne (S) - North-East,943,497,4,36,VIC,62,4,31,882,1002,2405,0
215055493,Moyne (S) - North-West,959,611,5,44,VIC,85,5,42,889,1002,2785,0
215055496,Moyne (S) - South,972,690,5,50,VIC,109,6,54,925,1112,10262,0
255053818,Latrobe (C) Bal,1025,944,7,68,VIC,150,8,74,971,1050,2563,0
255100834,Baw Baw (S) - Pt B East,955,587,5,43,VIC,80,4,40,816,1018,3836,0
255100835,Baw Baw (S) - Pt B West,970,677,5,49,VIC,105,6,52,815,1096,29196,0
255107458,Yarra Ranges (S) - Pt B,941,478,4,35,VIC,58,3,29,928,953,591,0
255200741,Bass Coast (S) - Phillip Is.,974,699,6,51,VIC,111,6,55,852,1071,8136,0
255200744,Bass Coast (S) Bal,932,397,3,29,VIC,42,3,21,847,1071,18408,0
255206171,South Gippsland (S) - Central,964,641,5,46,VIC,92,5,45,881,1023,12317,0
255206174,South Gippsland (S) - East,945,510,4,37,VIC,68,4,34,821,1030,5636,0
255206175,South Gippsland (S) - West,945,504,4,37,VIC,64,4,32,841,994,7784,0
255208529,French Island,966,647,5,47,VIC,95,5,47,966,966,92,0
215102411,Glenelg (S) - Heywood,946,523,4,38,VIC,69,4,34,841,1014,6057,0
215102412,Glenelg (S) - North,899,175,2,13,VIC,9,1,5,849,992,3330,0
215102413,Glenelg (S) - Portland,925,353,3,26,VIC,34,2,17,821,1014,10372,0
225056890,West Wimmera (S),927,360,3,26,VIC,36,2,18,792,1002,4475,0
255053811,Latrobe (C) - Moe,895,158,2,12,VIC,7,1,4,760,1051,17981,0
255053814,Latrobe (C) - Morwell,902,187,2,14,VIC,11,1,6,645,1104,21562,0
220050571,Ballarat (C) - Central,967,657,5,48,VIC,99,5,49,857,1126,32885,0
220050572,Ballarat (C) - Inner North,972,685,5,50,VIC,108,6,53,681,1112,28890,0
220050573,Ballarat (C) - North,961,621,5,45,VIC,86,5,42,921,990,984,0
220050574,Ballarat (C) - South,952,568,5,41,VIC,77,4,38,746,1084,22436,1
220102911,Hepburn (S) - East,966,651,5,47,VIC,97,5,48,885,1026,7225,0
220102912,Hepburn (S) - West,938,452,4,33,VIC,54,3,27,886,1011,6508,0
220105151,Moorabool (S) - Bacchus Marsh,983,755,6,55,VIC,118,6,58,849,1066,15972,0
220105154,Moorabool (S) - Ballan,964,642,5,46,VIC,93,5,46,913,1000,5986,0
220105155,Moorabool (S) - West,967,666,5,48,VIC,101,5,50,938,1031,3517,0
220150260,Ararat (RC),925,346,3,25,VIC,33,2,17,803,1085,11255,6
220155991,Pyrenees (S) - North,901,180,2,13,VIC,10,1,5,852,937,3294,0
220155994,Pyrenees (S) - South,910,241,2,18,VIC,16,1,8,848,1017,3263,0
710404650,Wallace Rockhole (CGC),716,38,1,3,NT ,18,2,20,716,716,88,0
255053815,Latrobe (C) - Traralgon,970,678,5,49,VIC,106,6,52,789,1110,27223,0
230156611,Swan Hill (RC) - Central,934,421,4,31,VIC,48,3,24,832,1002,9684,0
230156614,Swan Hill (RC) - Robinvale,892,142,2,11,VIC,5,1,3,797,967,3964,0
230156616,Swan Hill (RC) Bal,936,433,4,32,VIC,51,3,25,799,1004,6986,0
305011067,Bowen Hills,1072,1135,9,82,QLD,380,8,80,981,1109,1586,0
350104150,Johnstone (S),920,307,3,22,QLD,97,3,21,845,998,18253,4
350104420,Kowanyama (S),664,7,1,1,QLD,3,1,1,664,664,1020,0
309054905,Maroochy (S) - Coastal North,1018,903,7,65,QLD,276,6,58,908,1161,23089,0
610052410,Glamorgan/Spring Bay (M),905,215,2,16,TAS,17,4,39,837,969,4190,0
610053010,Huon Valley (M),917,283,3,21,TAS,21,5,48,827,975,14001,0
235052621,Gr. Bendigo (C) - Central,919,298,3,22,VIC,27,2,14,729,1052,17781,0
305011143,City - Inner,1167,1371,10,99,QLD,471,10,99,990,1194,2718,0
320055550,Murilla (S),920,305,3,22,QLD,96,3,21,855,1069,2687,0
320056050,Pittsworth (S),942,485,4,35,QLD,149,4,32,913,1008,4785,0
320056454,Rosalie (S) - Pt B,908,226,2,17,QLD,76,2,16,789,1017,4495,0
610053612,Kingborough (M) - Pt B,978,725,6,52,TAS,36,9,82,878,1065,2619,0
235052622,Gr. Bendigo (C) - Eaglehawk,877,111,1,8,VIC,3,1,2,778,980,8629,0
235052623,Gr. Bendigo (C) - Inner East,992,807,6,58,VIC,129,7,63,902,1083,23350,0
235052624,Gr. Bendigo (C) - Inner North,962,628,5,45,VIC,89,5,44,904,1024,9691,0
235052625,Gr. Bendigo (C) - Inner West,958,608,5,44,VIC,82,5,41,787,1058,15950,0
235052626,Gr. Bendigo (C) - S'saye,1059,1081,8,78,VIC,169,9,83,945,1110,6539,0
235101671,C. Goldfields (S) - M'borough,868,101,1,8,VIC,1,1,1,728,947,7366,0
235101674,C. Goldfields (S) Bal,888,128,1,10,VIC,4,1,2,809,925,4960,0
235102628,Gr. Bendigo (C) - Pt B,949,543,4,39,VIC,74,4,37,828,1052,11312,0
235103943,Loddon (S) - North,925,356,3,26,VIC,35,2,18,832,1022,3191,0
235103945,Loddon (S) - South,876,109,1,8,VIC,2,1,1,775,970,4647,0
309055752,Noosa (S) - Noosa-Noosaville,1054,1054,8,76,QLD,348,8,73,845,1190,9104,2
420056671,Renmark Paringa (DC) - Paringa,928,368,3,27,SA ,52,5,43,911,963,1792,0
420056674,Renmark Paringa (DC) - Renmark,893,145,2,11,SA ,20,2,17,815,959,7658,4
245158309,Mount Hotham Alpine Resort,1028,955,7,69,VIC,154,8,76,1028,1028,117,54
250052111,E. Gippsland (S) - Bairnsdale,933,407,3,30,VIC,45,3,22,774,1040,25366,0
250052113,E. Gippsland (S) - Orbost,911,242,2,18,VIC,17,1,9,803,998,8299,0
250052115,E. Gippsland (S) - South-West,978,727,6,53,VIC,115,6,57,912,1012,3804,0
250052117,E. Gippsland (S) Bal,928,371,3,27,VIC,38,2,19,884,1009,2567,0
250156811,Wellington (S) - Alberton,924,339,3,25,VIC,32,2,16,868,992,5474,0
250156812,Wellington (S) - Avon,969,669,5,48,VIC,102,5,50,863,1016,3892,2
250156813,Wellington (S) - Maffra,939,467,4,34,VIC,56,3,28,833,1063,10068,0
250156814,Wellington (S) - Rosedale,943,494,4,36,VIC,61,3,30,809,1028,7310,17
250156815,Wellington (S) - Sale,954,579,5,42,VIC,78,4,39,818,1105,13336,0
305011146,City - Remainder,1136,1324,10,95,QLD,457,10,96,1064,1189,4474,0
305011187,Dutton Park,1020,912,7,66,QLD,282,6,60,941,1115,1365,0
309104918,Maroochy (S) Bal,1017,894,7,65,QLD,270,6,57,841,1107,24763,0
305011274,Herston,1125,1303,10,94,QLD,443,10,93,1122,1132,1795,4
305011277,Highgate Hill,1076,1156,9,83,QLD,389,9,82,958,1141,5428,0
305011315,Kelvin Grove,1101,1244,9,90,QLD,420,9,89,1039,1123,4385,0
305011304,Kangaroo Point,1104,1253,9,90,QLD,424,9,89,1007,1189,6867,0
705102808,Gray,919,294,3,22,NT ,42,5,47,834,999,3294,0
305011378,Milton,1100,1241,9,89,QLD,418,9,88,1020,1136,1731,0
305011427,Newstead,1181,1381,10,99,QLD,473,10,100,1086,1208,4819,0
710405000,Yuendumu (CGC),731,45,1,4,NT ,21,3,24,731,731,693,1
305011421,New Farm,1090,1203,9,87,QLD,404,9,85,965,1243,10943,0
305031345,Lutwyche,1045,1021,8,74,QLD,331,7,70,984,1124,2674,0
305071435,Northgate,1016,888,7,64,QLD,267,6,56,921,1127,3840,0
305011454,Paddington,1135,1322,10,95,QLD,456,10,96,1081,1192,7623,0
305011631,Woolloongabba,1013,883,7,64,QLD,264,6,56,869,1083,3916,1
305011481,Red Hill,1116,1284,10,92,QLD,436,10,92,999,1171,5267,0
305031004,Albion,1072,1139,9,82,QLD,381,8,80,998,1115,2421,0
305011525,South Brisbane,1099,1235,9,89,QLD,414,9,87,1034,1185,4283,2
305011528,Spring Hill,1094,1219,9,88,QLD,411,9,87,1052,1137,5238,0
305011607,West End,1053,1048,8,76,QLD,344,8,73,891,1129,6207,0
305071556,Taigum-Fitzgibbon,1002,843,7,61,QLD,252,6,53,927,1055,7649,0
305031007,Alderley,1087,1194,9,86,QLD,403,9,85,910,1178,5070,12
305031536,Stafford Heights,1017,896,7,65,QLD,271,6,57,929,1078,6789,0
305031026,Ascot,1118,1287,10,93,QLD,437,10,92,992,1218,4845,0
305031031,Ashgrove,1125,1304,10,94,QLD,444,10,94,1011,1173,11903,0
305031255,Hamilton,1116,1280,10,92,QLD,434,10,91,1023,1216,4369,0
305031048,Bardon,1150,1347,10,97,QLD,464,10,98,1118,1204,9111,0
305031533,Stafford,986,775,6,56,QLD,229,5,49,834,1084,5513,0
305031151,Clayfield,1092,1213,9,87,QLD,410,9,86,1030,1164,9533,0
305031271,Hendra,1104,1255,9,90,QLD,425,9,90,1002,1160,4116,0
305031293,Indooroopilly,1134,1319,10,95,QLD,453,10,95,1052,1197,10733,0
305031132,Chelmer,1161,1363,10,98,QLD,469,10,99,1130,1204,2560,0
305031244,Grange,1116,1283,10,92,QLD,435,10,92,1093,1143,4043,0
305031162,Corinda,1064,1102,8,79,QLD,368,8,78,968,1146,4454,0
305031206,Enoggera,1018,898,7,65,QLD,272,6,58,956,1085,6338,6
305031241,Graceville,1135,1321,10,95,QLD,455,10,96,1098,1195,4096,0
305031312,Kedron,1045,1022,8,74,QLD,332,7,70,944,1127,11726,0
305111402,Mount Gravatt,1025,937,7,68,QLD,297,7,63,945,1086,3090,0
305031634,Wooloowin,1083,1178,9,85,QLD,398,9,84,978,1157,5486,0
305031424,Newmarket,1091,1208,9,87,QLD,407,9,86,1006,1167,4215,0
305111416,Nathan,1035,986,8,71,QLD,312,7,66,1031,1043,1383,39
305111154,Coopers Plains,978,724,6,52,QLD,207,5,44,845,1041,4093,0
305031446,Nundah,1008,865,7,62,QLD,258,6,55,930,1106,8284,0
305031506,St Lucia,1147,1341,10,97,QLD,462,10,97,1081,1219,10613,17
305031522,Sherwood,1118,1290,10,93,QLD,438,10,92,992,1188,4765,0
305031558,Taringa,1124,1302,10,94,QLD,442,10,93,1078,1179,7490,0
305111492,Robertson,1096,1223,9,88,QLD,412,9,87,977,1136,4751,0
305031623,Windsor,1072,1140,9,82,QLD,382,9,81,973,1155,6164,0
345057001,Aitkenvale,986,779,6,56,QLD,231,5,49,905,1044,4839,0
305071072,Bracken Ridge,1027,950,7,69,QLD,301,7,64,881,1101,14619,0
305091097,Camp Hill,1091,1207,9,87,QLD,406,9,86,1038,1152,9823,0
305071585,Upper Kedron,1125,1305,10,94,QLD,445,10,94,1102,1165,2709,0
320012551,Crow's Nest (S) - Pt A,1078,1163,9,84,QLD,392,9,83,954,1140,8720,1
305031574,Toowong,1128,1312,10,94,QLD,450,10,95,1042,1179,14959,0
305031618,Wilston,1126,1309,10,94,QLD,448,10,94,1073,1181,3654,0
325055800,Paroo (S),893,150,2,11,QLD,56,2,12,826,1072,1927,0
325056150,Quilpie (S),937,444,4,32,QLD,136,3,29,906,1030,984,0
305071018,Anstead,1159,1360,10,98,QLD,467,10,98,1137,1164,1102,0
805403819,Harrison,1172,1375,10,99,ACT,96,10,93,1020,1190,304,0
340105050,Mirani (S),930,381,3,28,QLD,118,3,25,865,976,5408,0
340105700,Nebo (S),991,806,6,58,QLD,241,6,51,948,1028,2523,15
305071034,Aspley,1059,1079,8,78,QLD,357,8,75,781,1166,11840,3
305071045,Banyo,972,688,5,50,QLD,197,5,42,943,1014,4867,0
305071037,Bald Hills,1018,902,7,65,QLD,275,6,58,976,1151,7076,0
305071053,Bellbowrie,1141,1333,10,96,QLD,460,10,97,1091,1193,5208,0
305071078,Brighton,978,726,6,53,QLD,208,5,44,941,1070,8599,0
305071084,Brookfield (incl. Brisbane Forest Park),1182,1382,10,99,QLD,474,10,100,1030,1241,4467,0
305071064,Boondall,1009,872,7,63,QLD,260,6,55,950,1079,8544,0
805208469,Waramanga,1079,1167,9,84,ACT,39,4,38,989,1118,2535,0
305071121,Carseldine,1077,1160,9,84,QLD,390,9,82,1040,1139,6670,0
305111405,Mount Gravatt East,1032,970,7,70,QLD,304,7,64,827,1136,10245,0
305071135,Chermside,949,548,4,40,QLD,167,4,36,883,1009,6347,0
805250609,Bonython,1083,1177,9,85,ACT,41,4,40,1028,1107,3361,0
305071075,Bridgeman Downs,1144,1335,10,96,QLD,461,10,97,1066,1192,6884,0
535105250,Meekatharra (S),897,164,2,12,WA ,11,1,8,880,997,1135,8
305071127,Chapel Hill,1181,1380,10,99,QLD,472,10,99,1086,1215,9983,0
345057051,Pimlico,958,605,5,44,QLD,181,4,38,939,1091,2287,0
305071138,Chermside West,1050,1040,8,75,QLD,339,8,72,1013,1152,5955,0
305071203,Ellen Grove,1044,1017,8,73,QLD,330,7,70,1001,1085,5233,0
305111642,Wynnum West,985,773,6,56,QLD,228,5,48,831,1085,10755,3
615054011,Launceston (C) - Inner,1044,1018,8,73,TAS,41,10,94,1031,1050,255,0
615054012,Launceston (C) - Pt B,934,416,3,30,TAS,31,8,71,690,1101,59193,0
615054211,Meander Valley (M) - Pt A,982,752,6,54,TAS,38,9,87,880,1075,8231,0
305071167,Darra-Sumner,930,387,3,28,QLD,121,3,26,889,1096,4051,0
305071173,Deagon,947,525,4,38,QLD,160,4,34,914,974,3109,0
615054611,Northern Midlands (M) - Pt A,930,380,3,28,TAS,28,7,64,872,1068,7579,0
615055811,West Tamar (M) - Pt A,988,790,6,57,TAS,39,9,89,788,1139,18916,0
305071176,Doolandella-Forest Lake,1033,977,7,70,QLD,307,7,65,954,1132,17508,0
615104212,Meander Valley (M) - Pt B,914,266,2,20,TAS,20,5,46,840,995,10121,0
305071184,Durack,928,370,3,27,QLD,116,3,25,878,978,6119,0
510031190,Bunbury (C),966,648,5,47,WA ,89,6,58,772,1112,29700,0
615104612,Northern Midlands (M) - Pt B,912,247,2,18,TAS,19,5,44,815,1015,4514,0
615105812,West Tamar (M) - Pt B,949,546,4,40,TAS,35,8,80,869,970,1897,0
615150210,Break O'Day (M),877,110,1,8,TAS,5,2,12,785,948,6068,0
615151810,Dorset (M),886,124,1,9,TAS,8,2,19,775,955,6999,0
615152010,Flinders (M),920,304,3,22,TAS,23,6,53,891,954,861,0
620050611,Burnie (C) - Pt A,904,208,2,15,TAS,16,4,37,655,1043,16996,0
305071211,Everton Park,1037,992,8,72,QLD,318,7,67,964,1122,7715,0
305071217,Ferny Grove,1085,1186,9,85,QLD,401,9,85,988,1137,5488,0
305071222,Fig Tree Pocket,1199,1390,10,100,QLD,475,10,100,1169,1215,3259,0
305071236,Geebung,1020,913,7,66,QLD,283,6,60,965,1051,4104,0
305071301,Jindalee,1107,1262,10,91,QLD,427,9,90,1061,1167,4990,0
305071306,Karana Downs-Lake Manchester,1104,1256,9,90,QLD,426,9,90,1045,1169,5712,0
305071318,Kenmore,1149,1344,10,97,QLD,463,10,98,1099,1207,8205,0
520056510,Narrogin (S),1013,885,7,64,WA ,123,8,79,1012,1015,832,0
305071288,Inala,798,69,1,5,QLD,31,1,7,744,854,13169,0
305071296,Jamboree Heights,1062,1096,8,79,QLD,365,8,77,1031,1089,3279,0
305150552,Beaudesert (S) - Pt A,1019,909,7,66,QLD,280,6,59,943,1102,41136,0
305202002,Bribie Island,934,414,3,30,QLD,127,3,27,788,1152,15914,0
435209529,Unincorp. Flinders Ranges,929,373,3,27,SA ,53,5,44,665,991,1099,0
305071323,Kenmore Hills,1158,1355,10,98,QLD,466,10,98,1107,1193,2517,0
305071375,Middle Park,1112,1271,10,92,QLD,431,10,91,1091,1132,4053,0
520102100,Corrigin (S),951,559,5,41,WA ,66,5,43,918,1013,1145,0
305071326,Keperra,985,766,6,55,QLD,223,5,47,872,1090,7026,0
305071353,McDowall,1125,1306,10,94,QLD,446,10,94,1085,1159,6904,0
520104620,Kondinin (S),962,629,5,46,WA ,83,6,54,905,1013,967,0
520104760,Kulin (S),977,721,6,52,WA ,102,7,66,917,1054,882,0
305071383,Mitchelton,1054,1053,8,76,QLD,347,8,73,994,1118,7033,11
305071408,Mount Ommaney,1163,1364,10,98,QLD,470,10,99,1142,1189,2199,0
305071386,Moggill,1138,1328,10,96,QLD,458,10,97,1120,1159,2147,0
525108190,Tammin (S),904,201,2,15,WA ,16,2,11,807,998,390,0
305071442,Nudgee,1015,887,7,64,QLD,266,6,56,998,1029,2467,0
505154174,Joondalup (C) - South,1085,1185,9,85,WA ,141,10,91,918,1217,99998,0
505157914,Stirling (C) - Central,985,764,6,55,WA ,111,8,72,794,1180,98737,0
505157915,Stirling (C) - Coastal,1087,1195,9,86,WA ,143,10,92,900,1208,62434,1
305071451,Oxley,1024,932,7,67,QLD,294,7,62,971,1067,6377,1
305071465,Pinjarra Hills,1160,1361,10,98,QLD,468,10,99,1160,1160,410,0
305071467,Pinkenba-Eagle Farm,924,336,3,25,QLD,105,3,23,912,926,341,0
305071473,Pullenvale,1202,1391,10,100,QLD,476,10,100,1137,1235,3153,0
305071653,Zillmere,923,326,3,24,QLD,102,3,22,718,1001,7467,6
705051074,Moil,1021,919,7,66,NT ,63,7,70,948,1106,2092,0
305071484,Richlands,916,278,2,20,QLD,90,2,19,900,949,829,0
305071487,Riverhills,1068,1118,9,81,QLD,373,8,79,1028,1110,3956,0
520053010,Dumbleyung (S),956,595,5,43,WA ,76,5,49,891,1004,631,0
305071517,Seventeen Mile Rocks,1127,1311,10,94,QLD,449,10,95,1012,1228,8646,0
305071567,The Gap,1134,1318,10,95,QLD,452,10,95,1077,1203,15663,0
305071514,Sandgate,1008,867,7,63,QLD,259,6,55,915,1079,6504,17
305091102,Cannon Hill,1062,1094,8,79,QLD,364,8,77,813,1181,5351,0
305071593,Virginia,1011,877,7,63,QLD,261,6,55,856,1060,1841,0
345057054,Railway Estate,979,733,6,53,QLD,211,5,45,959,1005,2811,0
305071604,Wavell Heights,1054,1052,8,76,QLD,346,8,73,1010,1103,8761,0
305111265,Hemmant-Lytton,983,756,6,55,QLD,220,5,47,919,1031,2698,0
305071612,Westlake,1157,1354,10,97,QLD,465,10,98,1136,1173,4680,0
350102900,Eacham (S),957,600,5,43,QLD,179,4,38,855,1019,6359,0
305071596,Wacol,801,70,1,6,QLD,32,1,7,731,982,4452,38
345152700,Dalrymple (S),929,376,3,27,QLD,117,3,25,737,1083,3504,0
305091015,Annerley,1036,987,8,71,QLD,313,7,66,950,1106,9568,0
305091108,Carindale,1131,1313,10,95,QLD,451,10,95,1007,1200,13278,0
307053471,Edens Landing-Holmview,977,717,6,52,QLD,205,5,43,926,1028,5731,0
307053473,Jacobs Well-Alberton,967,663,5,48,QLD,194,5,41,902,1004,2937,0
350107110,Umagico (S),673,11,1,1,QLD,5,1,2,673,673,229,0
305091113,Carina,1040,999,8,72,QLD,322,7,68,965,1110,9199,0
305091116,Carina Heights,1020,914,7,66,QLD,284,6,60,899,1103,5763,0
305091157,Coorparoo,1082,1175,9,85,QLD,397,9,84,1008,1161,13799,0
355054800,McKinlay (S),976,710,6,51,QLD,200,5,42,895,1088,896,0
305091195,East Brisbane,1071,1128,9,81,QLD,377,8,80,921,1148,5229,0
305111023,Archerfield,930,384,3,28,QLD,120,3,26,917,941,580,0
355055250,Mornington (S),706,26,1,2,QLD,13,1,3,705,725,1031,0
305091214,Fairfield,1067,1112,8,80,QLD,372,8,78,1005,1099,2581,0
305091247,Greenslopes,1053,1046,8,75,QLD,343,8,72,998,1148,8088,0
305091258,Hawthorne,1138,1329,10,96,QLD,459,10,97,1109,1187,4308,0
305091282,Holland Park,1042,1010,8,73,QLD,327,7,69,857,1129,7485,0
305091285,Holland Park West,1073,1141,9,82,QLD,383,9,81,994,1120,5520,0
305091391,Moorooka,1019,908,7,66,QLD,279,6,59,942,1099,9194,0
305111356,MacGregor,1062,1093,8,79,QLD,363,8,77,1018,1076,5314,0
305091397,Morningside,1060,1084,8,78,QLD,359,8,76,998,1122,8663,0
305091432,Norman Park,1110,1269,10,91,QLD,430,10,91,1042,1142,6753,0
305091563,Tarragindi,1090,1204,9,87,QLD,405,9,85,1031,1171,9439,0
305091645,Yeerongpilly,1066,1110,8,80,QLD,371,8,78,1005,1114,2416,0
305091648,Yeronga,1100,1239,9,89,QLD,416,9,88,1021,1151,5355,0
305111001,Acacia Ridge,888,129,1,10,QLD,53,2,12,768,961,6859,0
305111012,Algester,1019,906,7,65,QLD,278,6,59,938,1053,8166,0
305111057,Belmont-Mackenzie,1103,1250,9,90,QLD,422,9,89,959,1150,4708,0
