sla_code_2006_,sla_name_2006_,ier_score,ranking_within_australia_rank_,ranking_within_australia_decile_,ranking_within_australia_percentile_,ranking_within_state_or_territory_state_,ranking_within_state_or_territory_rank_,ranking_within_state_or_territory_decile_,ranking_within_state_or_territory_percentile_,minimum_score_for_cds_in_area_percentile_,maximum_score_for_cds_in_area_percentile_,urp,per100_urp_without_a_cd_level_score_percentile_
205553672,Knox (C) - North-East,1002,780,6,56,VIC,114,6,56,852,1117,61924,0
205553673,Knox (C) - North-West,1058,1136,9,82,VIC,180,9,88,892,1181,44748,1
205553674,Knox (C) - South,1106,1306,10,94,VIC,199,10,98,939,1249,40067,0
205554411,Maroondah (C) - Croydon,1034,1009,8,73,VIC,160,8,79,828,1188,57712,0
205554412,Maroondah (C) - Ringwood,1017,887,7,64,VIC,135,7,66,848,1165,41488,0
205652311,Glen Eira (C) - Caulfield,1030,987,8,71,VIC,154,8,76,853,1160,76270,0
240101371,Campaspe (S) - Echuca,962,395,3,29,VIC,48,3,24,756,1118,12361,0
240101374,Campaspe (S) - Kyabram,980,566,5,41,VIC,75,4,37,847,1073,12074,0
240151014,Benalla (RC) Bal,1025,945,7,68,VIC,148,8,73,992,1078,4395,0
240154250,Mansfield (S),995,701,6,51,VIC,104,6,51,877,1089,7189,4
240156430,Strathbogie (S),970,465,4,34,VIC,58,3,29,849,1081,9294,0
240158249,Mount Buller Alpine Resort,1002,777,6,56,VIC,113,6,56,1002,1002,250,72
240204851,Mitchell (S) - North,955,340,3,25,VIC,39,2,20,774,1052,10618,0
240204854,Mitchell (S) - South,1032,996,8,72,VIC,156,8,77,916,1178,20310,0
240205621,Murrindindi (S) - East,978,546,4,40,VIC,72,4,36,895,1070,6156,0
240205622,Murrindindi (S) - West,1024,938,7,68,VIC,145,8,71,924,1096,7517,0
245053351,Indigo (S) - Pt A,1015,878,7,63,VIC,132,7,65,937,1095,11165,0
245056671,Towong (S) - Pt A,1010,840,7,61,VIC,124,7,61,926,1114,2393,0
245057170,Wodonga (RC),979,558,4,40,VIC,73,4,36,764,1150,33006,1
245103352,Indigo (S) - Pt B,996,714,6,52,VIC,106,6,52,944,1078,3635,0
245106701,Wangaratta (RC) - Central,945,261,2,19,VIC,23,2,12,760,1114,16055,0
245106704,Wangaratta (RC) - North,1055,1122,9,81,VIC,177,9,87,963,1147,4660,6
245106705,Wangaratta (RC) - South,1020,913,7,66,VIC,143,7,70,914,1096,5678,0
245150111,Alpine (S) - East,985,600,5,43,VIC,85,5,42,870,1088,7434,1
245150112,Alpine (S) - West,956,345,3,25,VIC,42,3,21,854,1021,4565,0
205801613,Casey (C) - Cranbourne,989,643,5,47,VIC,95,5,47,815,1191,63916,0
245156672,Towong (S) - Pt B,974,511,4,37,VIC,67,4,33,873,1054,3624,0
309105758,Noosa (S) Bal,1013,856,7,62,QLD,265,6,56,899,1111,15937,0
312053050,Esk (S),993,680,5,49,QLD,201,5,43,862,1068,15164,0
312054250,Kilcoy (S),991,665,5,48,QLD,195,5,41,933,1049,3433,0
305011227,Fortitude Valley,961,384,3,28,QLD,118,3,25,888,1051,5386,0
210052753,Geelong,944,255,2,19,VIC,20,1,10,795,1016,11366,0
705102806,Durack,1093,1278,10,92,NT ,88,10,97,1067,1133,2685,0
205801616,Casey (C) - Hallam,1003,786,6,57,VIC,115,6,57,740,1234,49711,0
205801618,Casey (C) - South,1084,1250,9,90,VIC,194,10,95,998,1191,13568,0
