lga_name_2016,lga_code_2016,p_15_yrs_over_m,p_15_yrs_over_f,p_15_yrs_over_p,lfs_emplyed_wrked_full_time_m,lfs_emplyed_wrked_full_time_f,lfs_emplyed_wrked_full_time_p,lfs_emplyed_wrked_part_time_m,lfs_emplyed_wrked_part_time_f,lfs_emplyed_wrked_part_time_p,lfs_employed_away_from_work_m,lfs_employed_away_from_work_f,lfs_employed_away_from_work_p,lfs_unmplyed_lookng_for_wrk_m,lfs_unmplyed_lookng_for_wrk_f,lfs_unmplyed_lookng_for_wrk_p,lfs_tot_lf_m,lfs_tot_lf_f,lfs_tot_lf_p,lfs_n_the_labour_force_m,lfs_n_the_labour_force_f,lfs_n_the_labour_force_p,percent_unem_loyment_m,percent_unem_loyment_f,percent_unem_loyment_p,percnt_labforc_prticipation_m,percnt_labforc_prticipation_f,percnt_labforc_prticipation_p,percnt_employment_to_populn_m,percnt_employment_to_populn_f,percnt_employment_to_populn_p,non_sch_quals_postgrad_dgre_m,non_sch_quals_postgrad_dgre_f,non_sch_quals_postgrad_dgre_p,non_sch_quals_gr_dip_gr_crt_m,non_sch_quals_gr_dip_gr_crt_f,non_sch_quals_gr_dip_gr_crt_p,non_sch_quals_bchelr_degree_m,non_sch_quals_bchelr_degree_f,non_sch_quals_bchelr_degree_p,non_sch_quls_advncd_dip_dip_m,non_sch_quls_advncd_dip_dip_f,non_sch_quls_advncd_dip_dip_p,non_sch_quls_cert3a4_level_m,non_sch_quls_cert3a4_level_f,non_sch_quls_cert3a4_level_p,non_sch_quls_cert1a2_level_m,non_sch_quls_cert1a2_level_f,non_sch_quls_cert1a2_level_p,non_sch_quls_certnfd_level_m,non_sch_quls_certnfd_level_f,non_sch_quls_certnfd_level_p,non_sch_quls_certtot_level_m,non_sch_quls_certtot_level_f,non_sch_quls_certtot_level_p,migtn_lvd_same_add_1_yr_ago_m,migtn_lvd_same_add_1_yr_ago_f,migtn_lvd_same_add_1_yr_ago_p,migtn_lvd_diff_add_1_yr_ago_m,migtn_lvd_diff_add_1_yr_ago_f,migtn_lvd_diff_add_1_yr_ago_p,migtn_lvd_sme_add_5_yrs_ago_m,migtn_lvd_sme_add_5_yrs_ago_f,migtn_lvd_sme_add_5_yrs_ago_p,mign_lvd_diff_add_5_yrs_ago_m,mign_lvd_diff_add_5_yrs_ago_f,mign_lvd_diff_add_5_yrs_ago_p
Nannup (S),56300,576,547,1127,188,100,283,77,135,212,26,20,41,23,13,38,307,272,580,217,228,446,7.5,4.8,6.6,53.3,49.7,51.5,50.5,46.6,47.6,7,14,20,4,18,25,39,62,106,35,67,104,137,56,193,7,9,16,12,19,24,153,79,230,523,488,1014,80,83,166,386,344,737,202,208,415
West Arthur (S),58890,337,313,651,175,64,237,41,102,145,14,13,25,16,9,25,246,184,431,68,100,167,6.5,4.9,5.8,73.0,58.8,66.2,68.2,57.2,62.5,3,3,5,0,5,8,17,34,50,8,31,36,52,38,89,5,4,12,9,7,15,71,51,121,329,306,633,44,53,98,255,225,481,96,104,205
Narembeen (S),56370,338,327,667,205,83,288,16,79,94,14,18,26,6,8,14,241,183,419,76,117,193,2.5,4.4,3.3,71.3,56.0,62.8,69.5,55.0,61.2,3,0,0,0,6,6,16,44,57,5,21,32,49,21,68,0,3,8,0,5,10,49,35,86,338,312,649,36,41,80,235,207,441,114,135,243
Roper Gulf (R),73600,2383,2238,4626,494,392,887,157,173,331,107,107,217,187,110,299,950,781,1736,1162,1204,2363,19.7,14.1,17.2,39.9,34.9,37.5,31.8,30.0,31.0,13,18,32,14,23,29,75,101,177,38,78,113,247,114,364,63,60,126,34,30,60,345,203,548,2707,2619,5325,290,273,562,2251,2228,4478,499,452,947
Tiwi Islands (R),74050,914,926,1837,142,126,263,103,109,208,20,30,52,94,72,163,354,336,685,511,547,1055,26.6,21.4,23.8,38.7,36.3,37.3,29.0,28.6,28.5,3,10,13,4,7,13,28,37,64,10,13,19,68,41,115,12,12,23,7,10,16,85,68,155,1115,1104,2220,53,61,114,949,959,1905,154,151,304
Victoria Daly (R),74550,1044,1008,2052,297,212,510,74,99,172,31,24,57,96,59,150,497,406,899,345,429,769,19.3,14.5,16.7,47.6,40.3,43.8,38.5,33.2,36.0,3,16,17,4,8,12,29,58,83,52,43,99,159,78,233,30,40,63,14,12,26,200,124,319,1007,976,1985,170,148,313,773,768,1541,313,271,581
Narrogin (S),56460,1973,2110,4086,835,458,1290,178,456,626,103,71,176,67,46,114,1181,1031,2216,570,843,1411,5.7,4.5,5.1,59.9,48.9,54.2,56.6,46.7,51.2,18,22,43,21,42,63,136,203,336,87,194,282,463,227,687,36,53,90,35,52,90,531,332,865,1859,1934,3788,321,366,685,1252,1291,2541,791,875,1662
Nedlands (C),56580,8211,8723,16932,3656,1829,5483,1385,2510,3895,181,210,391,312,245,556,5535,4794,10326,2259,3532,5786,5.6,5.1,5.4,67.4,55.0,61.0,63.6,52.1,57.7,1387,991,2373,244,435,676,2758,2936,5692,495,836,1330,500,258,758,14,52,67,63,151,217,578,461,1044,8116,8498,16616,1523,1445,2974,5160,5617,10777,4261,4099,8362
West Arnhem (R),74660,2294,2256,4555,582,413,991,117,154,272,100,88,186,193,177,370,991,826,1820,932,1071,1998,19.5,21.4,20.3,43.2,36.6,40.0,34.8,29.0,31.8,25,36,54,14,17,34,82,117,196,63,90,148,280,98,383,29,30,61,78,55,132,389,194,578,2508,2458,4966,264,250,517,2040,1982,4025,489,480,976
West Daly (R),74680,992,1135,2128,151,168,317,47,54,100,16,21,37,187,149,337,398,394,789,465,600,1068,47.0,37.8,42.7,40.1,34.7,37.1,21.6,21.4,21.3,10,11,19,6,9,20,26,29,58,6,11,21,61,32,92,39,40,77,10,6,13,106,76,185,1316,1363,2681,99,98,201,1107,1178,2288,161,156,318
Northam (S),56730,4648,4374,9019,1710,969,2679,405,966,1371,150,132,285,241,164,405,2508,2230,4740,1729,1758,3484,9.6,7.4,8.5,54.0,51.0,52.6,48.7,47.3,48.1,53,57,105,28,46,72,186,353,537,224,351,571,1099,506,1606,64,125,191,59,121,179,1214,757,1977,4040,4125,8166,627,688,1314,2694,2728,5426,1681,1823,3505
Sandstone (S),57630,55,32,86,14,8,31,3,6,5,0,0,0,3,0,3,22,18,39,23,10,33,13.6,0.0,7.7,40.0,56.3,45.3,30.9,43.8,41.9,0,0,0,0,0,3,0,4,4,3,3,5,11,3,15,0,0,0,0,0,0,12,5,23,41,23,65,5,5,5,32,18,44,14,8,22
Serpentine-Jarrahdale (S),57700,10299,10132,20437,5563,2755,8321,1032,2842,3873,350,325,680,492,495,988,7436,6416,13855,2226,3183,5408,6.6,7.7,7.1,72.2,63.3,67.8,67.4,58.4,63.0,152,179,329,76,169,244,618,1101,1721,706,1087,1796,3367,1560,4927,90,227,320,139,301,439,3596,2090,5684,9921,9798,19712,2112,2284,4394,5430,5227,10658,5829,6155,11982
Shark Bay (S),57770,422,357,778,173,94,265,42,81,124,17,10,31,10,5,21,248,191,437,122,137,258,4.0,2.6,4.8,58.8,53.5,56.2,55.0,51.8,54.0,3,4,11,4,4,7,30,48,78,29,28,51,119,38,157,4,17,21,14,10,23,142,61,207,360,296,656,80,87,175,208,155,362,210,204,418
South Perth (C),57840,17343,18544,35887,7796,5001,12789,2520,4492,7006,452,508,959,891,723,1616,11653,10720,22372,4449,6451,10899,7.6,6.7,7.2,67.2,57.8,62.3,62.1,53.9,57.8,1728,1490,3219,479,749,1223,4412,4786,9191,1502,1811,3316,2190,1065,3258,91,181,271,226,374,594,2502,1620,4122,14660,15427,30084,3874,3944,7816,8603,9509,18113,9479,9502,18978
Stirling (C),57910,84532,90275,174807,39314,24231,63548,12149,22729,34873,2294,2711,5004,4494,3632,8126,58256,53297,111552,20482,30998,51482,7.7,6.8,7.3,68.9,59.0,63.8,63.6,55.0,59.2,4961,4636,9592,1721,2913,4639,16401,19958,36361,8032,9175,17205,15691,6909,22593,629,993,1623,1156,2184,3341,17471,10088,27553,75481,79816,155302,17104,17504,34611,46516,50229,96746,42520,43899,86421
Subiaco (C),57980,7983,8522,16509,3347,2268,5610,1210,1949,3156,188,249,439,415,356,774,5154,4819,9980,2236,3038,5279,8.1,7.4,7.8,64.6,56.5,60.5,59.4,52.4,55.8,1305,1076,2386,233,427,659,2491,2739,5228,575,720,1294,570,304,876,39,52,85,85,126,209,693,480,1175,6383,6727,13115,2108,2221,4332,3385,3695,7088,4888,5009,9900
Swan (C),58050,51468,53385,104850,25761,14441,40199,6123,13529,19658,1803,1684,3491,3081,2686,5763,36768,32342,69107,11110,17629,28743,8.4,8.3,8.3,71.4,60.6,65.9,65.5,55.5,60.4,1101,1169,2270,492,843,1336,4424,6604,11033,4009,5364,9375,13744,6637,20380,569,994,1564,733,1417,2157,15051,9044,24103,49903,50434,100345,10118,10449,20565,30368,30478,60853,26492,27388,53878
Tammin (S),58190,160,147,308,76,37,109,14,38,47,9,4,7,4,4,9,103,75,182,33,49,86,3.9,5.3,4.9,64.4,51.0,59.1,61.9,53.7,52.9,0,0,0,0,7,8,7,22,27,4,7,15,24,3,26,0,3,7,0,9,5,28,20,41,172,146,319,9,15,28,109,94,205,63,56,119
Three Springs (S),58260,225,224,452,127,65,189,17,48,59,7,11,16,6,7,14,157,126,276,53,83,137,3.8,5.6,5.1,69.8,56.3,61.1,67.1,55.4,58.4,0,4,3,0,0,0,16,22,37,10,19,30,55,19,78,3,4,4,3,9,16,63,36,100,244,215,460,29,47,79,155,137,289,101,110,212
Unincorporated NT,79399,3016,2412,5432,1697,1092,2786,202,379,578,142,135,274,73,36,111,2105,1642,3749,397,397,793,3.5,2.2,3.0,69.8,68.1,69.0,67.7,66.6,67.0,98,103,195,37,83,116,294,399,697,210,226,438,826,276,1096,33,60,91,43,61,105,908,394,1299,2228,1893,4115,780,722,1504,1074,796,1873,1753,1628,3384
No usual address (NT),79499,1240,1043,2281,254,149,399,36,66,103,34,41,70,48,33,76,369,280,647,465,427,889,13.0,11.8,11.7,29.8,26.8,28.4,26.1,24.5,25.1,19,32,52,9,21,34,65,122,184,51,68,121,251,67,322,14,11,29,19,32,45,279,112,392,370,269,639,588,591,1185,231,159,395,666,657,1326
Perenjori (S),57000,349,179,529,232,62,295,25,47,70,20,4,22,5,4,11,277,122,399,37,42,75,1.8,3.3,2.8,79.4,68.2,75.4,79.4,63.1,73.2,7,0,6,0,3,3,16,17,32,13,13,28,111,23,136,6,3,12,0,7,10,117,32,152,291,173,464,49,24,76,193,127,318,129,57,185
Perth (C),57080,10914,9741,20656,4761,3123,7886,1304,1666,2975,351,300,649,638,562,1197,7058,5651,12708,2053,2557,4612,9.0,9.9,9.4,64.7,58.0,61.5,58.8,52.2,55.7,1151,907,2060,180,261,442,2862,2757,5620,917,914,1830,1041,468,1507,54,63,115,112,138,253,1200,669,1875,5572,4950,10525,3732,3533,7264,2039,1759,3798,7173,6592,13766
Pingelly (S),57140,476,470,948,174,66,241,35,104,136,17,16,35,23,18,40,255,206,458,172,212,384,9.0,8.7,8.7,53.6,43.8,48.3,47.5,39.6,43.5,4,3,5,0,3,7,10,36,42,17,46,68,93,49,139,3,13,15,7,9,14,100,71,172,425,421,841,82,76,153,316,316,635,164,149,306
Toodyay (S),58330,1911,1872,3781,696,377,1074,206,414,622,92,64,152,98,64,161,1092,922,2010,628,773,1407,9.0,6.9,8.0,57.1,49.3,53.2,52.0,45.7,48.9,34,37,71,10,40,51,95,178,272,130,201,329,576,206,777,17,30,47,32,56,87,621,294,911,1777,1707,3488,218,227,447,1274,1245,2518,639,636,1279
Wyndham-East Kimberley (S),59340,2726,2784,5511,1331,1034,2362,219,415,637,110,122,233,132,98,235,1801,1674,3468,565,747,1312,7.3,5.9,6.8,66.1,60.1,62.9,60.9,56.4,58.6,46,47,94,22,72,97,189,403,594,149,222,370,674,257,927,30,67,97,48,61,108,756,378,1131,2337,2348,4687,689,758,1451,1314,1331,2643,1466,1544,3010
Yalgoo (S),59350,201,110,302,102,35,143,14,20,32,17,8,24,3,0,3,134,59,194,22,23,52,2.2,0.0,1.5,66.7,53.6,64.2,66.2,57.3,65.9,6,0,8,0,0,0,20,13,29,13,11,19,43,11,48,3,0,5,0,3,7,46,13,61,116,68,183,56,24,74,56,35,94,105,43,156
Trayning (S),58400,165,133,296,63,26,84,13,23,39,5,7,14,4,0,7,90,55,140,49,60,107,4.4,0.0,5.0,54.5,41.4,47.3,49.1,42.1,46.3,0,3,3,0,3,3,9,4,12,4,5,15,29,10,39,3,5,7,0,5,5,31,17,50,136,103,240,23,24,46,102,78,177,52,47,100
No usual address (Tas.),69499,481,350,835,86,48,139,50,44,91,12,10,18,57,38,95,204,136,345,158,168,329,27.9,27.9,27.5,42.4,38.9,41.3,30.8,29.1,29.7,12,17,31,3,5,6,36,38,77,18,38,59,91,31,120,10,8,16,7,11,13,103,40,152,112,66,176,279,258,540,89,45,133,284,258,541
Central Coast (M) (Tas.),60810,8523,9216,17742,3279,1645,4920,975,2341,3321,284,315,595,387,263,654,4926,4563,9486,3110,4104,7213,7.9,5.8,6.9,57.8,49.5,53.5,53.2,46.7,49.8,145,150,295,90,146,234,548,931,1473,488,807,1293,2486,1125,3612,112,196,304,123,268,389,2721,1589,4306,8304,8817,17123,1188,1259,2446,6151,6411,12564,3013,3311,6323
Central Highlands (M) (Tas.),61010,980,821,1802,349,134,481,97,178,277,35,28,67,48,26,72,528,367,894,370,395,763,9.1,7.1,8.1,53.9,44.7,49.6,49.1,41.4,45.8,16,20,31,10,10,14,51,69,124,49,51,106,198,87,289,15,25,37,20,15,37,227,131,363,952,815,1763,93,90,185,716,603,1315,289,262,556
Circular Head (M),61210,3199,3104,6304,1505,638,2146,318,874,1192,132,123,257,108,76,185,2068,1711,3781,881,1149,2036,5.2,4.4,4.9,64.6,55.1,60.0,61.1,52.7,57.0,9,27,38,10,29,41,100,201,296,138,215,353,803,409,1211,34,87,118,49,73,117,879,572,1454,3106,2974,6085,540,547,1089,2224,2074,4296,1238,1257,2496
Clarence (C),61410,21541,23432,44973,8841,5336,14176,2702,6311,9017,575,809,1385,764,569,1338,12889,13031,25916,7636,9296,16937,5.9,4.4,5.2,59.8,55.6,57.6,56.3,53.2,54.7,697,804,1498,390,669,1062,2397,3481,5882,1797,2160,3961,5443,2593,8033,201,388,588,341,661,998,5979,3638,9624,20904,22677,43584,3042,3260,6302,14869,16001,30869,8184,9124,17315
Derwent Valley (M),61510,4053,4096,8149,1462,713,2172,415,989,1402,143,144,287,219,140,356,2235,1981,4221,1549,1831,3385,9.8,7.1,8.4,55.1,48.4,51.8,49.8,45.1,47.4,46,43,92,29,55,80,136,234,364,205,291,489,1056,537,1592,51,99,151,62,113,172,1164,750,1917,4003,3969,7976,529,585,1114,3048,2910,5959,1302,1414,2717
Devonport (C),61610,9451,10755,20209,3447,1836,5290,1141,2620,3763,287,314,599,523,382,902,5396,5158,10555,3462,4963,8425,9.7,7.4,8.5,57.1,48.0,52.2,51.6,44.4,47.8,112,119,235,90,140,232,502,923,1425,541,907,1447,2606,1414,4028,143,258,402,146,285,431,2894,1957,4858,8980,10088,19066,1556,1742,3294,6462,7018,13482,3690,4341,8027
Dorset (M),61810,2723,2756,5480,1045,407,1453,262,653,913,109,85,193,121,98,211,1533,1241,2776,994,1299,2295,7.9,7.9,7.6,56.3,45.0,50.7,52.0,41.5,46.7,21,31,50,11,29,37,95,211,310,108,209,312,711,299,1008,31,64,92,31,70,100,778,425,1200,2626,2615,5241,373,378,746,2020,1987,4014,848,886,1740
Flinders (M) (Tas.),62010,410,358,775,156,71,226,72,97,165,14,19,35,15,20,34,261,204,464,126,134,261,5.7,9.8,7.3,63.7,57.0,59.9,59.0,52.2,55.0,14,13,27,3,8,14,22,48,76,33,48,74,117,40,154,3,10,12,9,8,18,128,55,184,395,347,736,40,42,90,287,243,534,135,128,257
George Town (M),62210,2752,2760,5511,873,375,1247,240,550,783,77,74,146,183,132,310,1371,1121,2494,1138,1417,2550,13.3,11.8,12.4,49.8,40.6,45.3,43.2,36.2,39.5,35,32,67,11,26,32,99,200,300,123,194,310,719,306,1021,40,55,98,39,71,104,796,433,1223,2660,2614,5272,326,408,736,1934,1869,3802,900,982,1881
Upper Gascoyne (S),58470,121,78,200,36,12,47,6,12,16,3,3,10,13,3,13,58,33,88,33,44,78,22.4,9.1,14.8,47.9,42.3,44.0,37.2,34.6,36.5,3,3,4,0,3,3,3,3,6,5,0,9,22,6,24,0,3,3,0,3,5,22,5,25,102,89,188,32,23,50,72,66,136,53,31,85
Victoria Park (T),58510,15096,15160,30255,6732,4352,11084,2172,3357,5527,393,493,882,932,723,1655,10221,8928,19143,3362,4806,8167,9.1,8.1,8.6,67.7,58.9,63.3,61.6,54.1,57.8,1051,1044,2093,306,486,790,2957,3537,6495,1367,1478,2843,2475,1071,3547,130,150,280,168,281,453,2776,1507,4277,11477,11724,23202,3794,3706,7501,6316,6473,12783,8399,8277,16672
Migratory - Offshore - Shipping (Tas.),69799,49,18,73,31,4,40,3,0,4,3,0,3,0,0,0,38,15,50,5,6,12,0.0,0.0,0.0,77.6,83.3,68.5,75.5,22.2,64.4,0,0,0,0,0,0,3,4,6,4,3,10,17,3,21,0,0,0,0,0,0,19,3,22,32,16,47,11,7,22,21,13,37,25,8,29
Alice Springs (T),70200,9458,10098,19560,5081,4223,9302,880,1663,2537,338,429,766,254,182,430,6553,6488,13035,1675,2334,4005,3.9,2.8,3.3,69.3,64.3,66.6,66.6,62.5,64.4,382,553,934,158,394,551,1023,1745,2766,758,878,1638,2167,1033,3207,91,153,241,132,210,341,2399,1391,3786,8075,8289,16367,2199,2470,4673,4626,4764,9382,5128,5489,10617
Victoria Plains (S),58540,417,328,746,222,85,306,39,82,117,18,10,26,8,3,17,286,185,468,88,118,204,2.8,1.6,3.6,68.6,56.4,62.7,66.9,54.0,60.2,7,4,9,0,3,11,21,43,67,21,30,52,71,30,100,0,6,4,10,5,17,79,40,119,379,336,719,44,40,83,278,230,509,122,134,256
Glamorgan/Spring Bay (M),62410,1964,1902,3860,539,286,816,256,419,670,85,79,162,67,33,93,935,806,1748,851,918,1767,7.2,4.1,5.3,47.6,42.4,45.3,44.8,41.2,42.7,26,33,57,17,24,42,128,175,302,145,186,335,502,191,689,19,45,58,46,45,85,562,275,836,1763,1669,3429,248,253,506,1269,1183,2448,671,666,1337
Glenorchy (C),62610,18089,19733,37831,6992,4125,11118,2341,4699,7036,471,628,1100,997,627,1623,10800,10081,20885,6044,8292,14337,9.2,6.2,7.8,59.7,51.1,55.2,54.2,47.9,50.9,308,386,696,159,320,475,1118,1640,2760,1014,1395,2404,4667,2585,7258,229,446,672,256,463,720,5150,3496,8650,17195,18344,35540,2880,3141,6025,11959,12751,24708,7341,7971,15312
Hobart (C),62810,20838,22374,43208,7987,5517,13507,3569,5951,9519,522,713,1234,979,764,1741,13059,12943,26002,6452,8140,14594,7.5,5.9,6.7,62.7,57.8,60.2,58.0,54.4,56.1,2250,2346,4603,663,1137,1801,4899,5881,10779,1568,1975,3543,2701,1344,4042,192,205,399,248,343,587,3137,1887,5026,17722,18823,36545,4550,4765,9320,11257,12246,23498,10512,10939,21453
Huon Valley (M),63010,6606,6691,13295,2268,1174,3445,871,1663,2536,197,202,404,253,203,458,3590,3246,6836,2581,2997,5577,7.0,6.3,6.7,54.3,48.5,51.4,50.5,45.4,48.0,183,208,397,96,157,251,541,900,1441,496,649,1144,1662,724,2389,90,135,227,125,197,326,1874,1060,2936,6441,6389,12825,935,1027,1961,4558,4397,8953,2519,2666,5184
Kentish (M),63210,2588,2521,5109,885,398,1284,334,625,959,101,103,205,95,80,180,1421,1205,2622,990,1135,2123,6.7,6.6,6.9,54.9,47.8,51.3,51.0,44.7,47.9,26,30,58,18,48,66,140,240,377,141,252,394,718,298,1014,26,61,84,40,74,115,781,424,1213,2568,2436,5002,283,287,570,1893,1759,3661,845,880,1731
King Island (M),63410,681,652,1336,332,174,506,85,147,230,27,38,65,12,6,27,458,366,826,177,216,387,2.6,1.6,3.3,67.3,56.1,61.8,65.2,55.1,60.0,10,11,21,4,14,14,38,80,119,45,52,98,210,71,282,10,3,14,7,18,32,225,92,324,627,591,1215,115,86,204,448,419,869,250,226,477
Kingborough (M),63610,13641,15086,28724,5695,3285,8976,2056,4410,6464,392,500,892,476,390,865,8617,8578,17198,4355,5839,10199,5.5,4.5,5.0,63.2,56.9,59.9,59.7,54.3,56.9,817,876,1693,270,547,825,2103,2957,5057,1192,1636,2826,3144,1527,4674,126,249,372,220,392,610,3493,2161,5650,13825,14761,28581,2135,2376,4507,9495,10116,19606,5881,6458,12337
Vincent (C),58570,14304,14617,28927,7319,4988,12303,2018,3593,5606,382,495,873,676,543,1218,10392,9613,20004,2653,3830,6483,6.5,5.6,6.1,72.7,65.8,69.2,67.9,62.1,64.9,1207,1263,2465,426,687,1115,3906,4312,8214,1231,1364,2591,1970,894,2864,97,128,222,167,262,427,2227,1285,3512,11358,11476,22832,3500,3596,7096,6591,6920,13508,7782,7709,15488
Wagin (S),58610,744,772,1517,290,147,437,71,184,256,22,29,50,32,20,51,416,382,796,250,308,565,7.7,5.2,6.4,55.9,49.5,52.5,51.5,46.6,49.0,3,3,5,3,14,15,25,67,87,27,43,77,167,82,249,10,20,27,10,23,31,187,120,306,701,704,1403,103,119,218,516,508,1021,246,280,527
Wandering (S),58680,193,167,354,92,47,136,18,36,52,9,5,15,5,4,11,131,87,221,36,61,95,3.8,4.6,5.0,67.9,52.1,62.4,61.7,52.7,57.3,0,4,5,0,3,3,4,17,21,5,12,21,46,21,68,3,9,10,3,4,13,57,33,84,182,169,349,18,23,39,121,114,240,71,63,133
Wanneroo (C),58760,70865,74141,145001,35768,19049,54825,8926,20262,29195,2548,2529,5078,4386,3904,8285,51626,45745,97374,14843,24117,38957,8.5,8.5,8.5,72.9,61.7,67.2,66.7,56.4,61.4,1632,1552,3183,656,1266,1924,6362,9887,16244,5703,8165,13866,19787,9388,29172,737,1309,2054,1109,2092,3207,21641,12791,34434,70266,71857,142123,14246,15097,29338,41224,41783,83011,38482,40565,79053
Waroona (S),58820,1684,1698,3375,674,279,953,145,375,517,86,73,160,86,71,155,992,793,1785,510,716,1230,8.7,9.0,8.7,58.9,46.7,52.9,53.7,42.8,48.3,5,15,21,3,16,19,51,114,165,88,132,216,502,214,717,8,38,48,27,44,66,537,293,830,1551,1542,3087,264,262,520,1074,992,2060,664,716,1377
Westonia (S),59030,156,106,259,90,35,126,11,16,32,6,6,9,4,0,4,112,62,176,14,26,45,3.6,0.0,2.3,71.8,58.5,68.0,68.6,53.8,64.5,0,0,0,0,3,3,14,20,27,4,7,15,39,7,44,0,3,3,4,0,3,43,10,51,113,83,196,37,23,62,83,58,143,60,38,98
Palmerston (C),72800,12604,12471,25072,7762,5181,12952,995,2240,3240,551,559,1110,471,449,925,9788,8432,18218,1686,2939,4628,4.8,5.3,5.1,77.7,67.6,72.7,73.8,64.0,69.0,263,290,556,118,324,436,857,1665,2523,1000,1274,2273,4015,2011,6026,189,291,477,179,291,471,4377,2593,6974,10751,10507,21259,4139,4143,8284,5126,4930,10049,8583,8628,17213
Wickepin (S),59100,305,278,576,154,56,213,30,82,115,16,13,26,12,9,16,211,156,368,60,99,160,5.7,5.8,4.3,69.2,56.1,63.9,65.6,54.3,61.5,0,0,0,0,6,6,10,25,39,14,32,40,50,30,83,11,6,13,4,7,14,68,43,106,294,283,576,37,35,75,227,215,441,90,78,164
Wagait (S),74560,200,193,392,76,78,153,23,30,55,12,12,19,14,9,19,120,131,254,65,55,116,11.7,6.9,7.5,60.0,67.9,64.8,55.5,62.2,57.9,6,14,22,0,4,5,23,39,60,16,19,35,59,15,72,0,4,3,4,3,8,63,23,86,185,179,368,28,31,59,116,112,232,83,95,176
Williams (S),59170,405,375,776,234,98,335,42,109,152,19,20,35,5,4,12,296,234,533,67,109,176,1.7,1.7,2.3,73.1,62.4,68.7,72.8,60.5,67.3,0,3,6,0,15,17,21,55,74,30,26,61,83,44,126,6,3,13,10,10,19,96,53,155,395,361,753,64,56,123,287,264,543,138,134,274
Wiluna (S),59250,466,198,660,246,64,307,27,18,37,15,5,24,13,15,25,297,99,401,61,70,130,4.4,15.2,6.2,63.7,50.0,60.8,61.8,43.9,55.8,4,0,5,3,0,3,25,31,57,22,6,24,127,15,139,7,6,15,9,4,11,143,23,166,320,162,483,86,49,130,194,108,304,180,85,270
Migratory - Offshore - Shipping (NT),79799,61,9,72,14,3,16,0,0,3,10,0,10,0,0,0,22,7,25,28,0,29,0.0,0.0,0.0,36.1,77.8,34.7,39.3,33.3,40.3,0,0,3,0,0,0,19,3,17,8,0,8,19,0,17,0,0,0,4,0,4,19,0,17,45,10,52,3,0,7,39,5,42,4,4,8
Unincorporated ACT,89399,156932,165485,322415,79559,57377,136935,20409,36593,57001,4650,6840,11485,5370,4797,10167,109984,105599,215586,37825,50604,88427,4.9,4.5,4.7,70.1,63.8,66.9,66.7,60.9,63.7,18761,16021,34782,5276,8125,13404,32304,39304,71604,13269,16462,29724,22667,12507,35174,1179,1804,2990,1760,3641,5398,25608,17952,43557,144451,150035,294482,32909,33952,66855,88330,93519,181846,81850,83884,165732
No usual address (ACT),89499,297,209,506,63,56,126,24,37,62,15,10,20,29,14,44,133,115,248,89,66,153,21.8,12.2,17.7,44.8,55.0,49.0,34.3,49.3,41.1,14,20,40,4,9,10,29,55,81,15,18,30,36,17,50,3,3,10,7,0,5,41,22,62,60,41,98,165,153,319,35,29,64,180,155,336
Migratory - Offshore - Shipping (ACT),89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unincorp. Other Territories,99399,2013,1702,3714,880,516,1397,203,361,563,92,92,185,26,30,53,1201,999,2200,584,501,1087,2.2,3.0,2.4,59.7,58.7,59.2,58.4,56.9,57.8,33,42,75,22,34,53,134,186,318,100,165,270,453,147,600,27,30,58,38,60,99,521,234,761,1597,1575,3171,294,258,550,1211,1194,2402,572,537,1109
No usual address (OT),99499,21,30,46,3,4,11,0,0,3,0,4,3,4,3,3,7,11,18,11,14,22,57.1,27.3,16.7,33.3,36.7,39.1,14.3,26.7,37.0,0,0,0,0,0,0,4,6,10,0,6,9,3,3,4,0,0,0,0,0,0,3,3,4,13,8,21,5,22,28,6,4,14,8,21,29
Migratory - Offshore - Shipping (OT),99799,3,0,6,3,0,4,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,66.7,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,5,0,5,4,0,4,0,0,3,4,0,4,3,0,4
Wongan-Ballidu (S),59310,570,485,1050,316,114,430,58,140,200,23,20,43,26,20,45,422,296,710,124,168,294,6.2,6.8,6.3,74.0,61.0,67.6,69.6,56.5,64.1,4,6,8,5,12,19,30,47,76,18,47,64,155,56,209,3,14,15,7,7,18,171,76,250,577,502,1080,92,82,174,402,352,758,221,201,420
Woodanilling (S),59320,172,151,318,91,39,133,11,42,47,8,10,24,9,5,9,122,98,218,41,46,87,7.4,5.1,4.1,70.9,64.9,68.6,64.0,60.3,64.2,0,3,4,0,8,9,10,21,39,4,17,20,38,14,53,0,6,6,4,5,7,39,30,64,185,149,332,11,20,36,135,114,247,42,49,97
