lga_name_2016,lga_code_2016,iad_hhs_with_ind_p,iad_oth_households,iad_tot_households,inad_hhs_with_ind_p,inad_oth_households,inad_tot_households,ia_ns_indig_per,ia_ns_oth_households,ia_ns_tot_households,tot_hholds_w_indig_per,tot_oth_households,tot_tot_households
Liverpool (C),14900,980,47440,48418,288,8109,8397,61,1914,1972,1325,57461,58786
Liverpool Plains (A),14920,256,1763,2024,142,674,814,15,55,73,418,2496,2916
Lockhart (A),14950,43,800,844,9,245,259,0,27,30,54,1080,1129
Maitland (C),15050,1457,21012,22467,313,3909,4219,63,622,685,1835,25540,27374
Mid-Coast (A),15240,1697,25122,26822,642,7616,8254,119,1046,1162,2449,33781,36233
Mid-Western Regional (A),15270,422,6095,6516,163,1794,1950,18,282,298,599,8168,8768
Moree Plains (A),15300,475,2536,3008,480,811,1287,68,171,244,1020,3522,4545
Mosman (A),15350,33,10001,10036,7,772,773,0,215,215,40,10986,11022
Murray River (A),15520,116,3151,3270,50,1000,1047,7,146,149,173,4293,4470
Murrumbidgee (A),15560,87,887,968,42,306,348,6,34,40,134,1227,1361
Muswellbrook (A),15650,423,3986,4412,145,1025,1165,24,166,187,589,5171,5764
Nambucca (A),15700,370,5194,5570,185,1667,1851,37,228,263,594,7083,7684
Narrabri (A),15750,401,2836,3234,231,989,1218,39,128,172,668,3958,4625
Narrandera (A),15800,160,1322,1486,80,510,587,9,67,72,248,1902,2148
Narromine (A),15850,342,1250,1591,159,482,639,24,71,93,524,1796,2318
Newcastle (C),15900,2219,46297,48509,506,9417,9925,101,1443,1542,2823,57151,59974
North Sydney (A),15950,119,27385,27506,15,1971,1987,6,570,573,141,29924,30068
Northern Beaches (A),15990,651,77709,78362,58,7503,7558,34,1980,2014,743,87197,87940
Oberon (A),16100,55,1304,1353,19,437,460,5,58,62,86,1793,1875
Orange (C),16150,737,10617,11355,286,2615,2897,42,445,485,1067,13670,14735
Parkes (A),16200,424,3317,3743,173,1192,1363,29,156,186,634,4666,5294
Parramatta (C),16260,587,65864,66452,122,7313,7434,24,1908,1937,734,75089,75819
Burwood (A),11300,58,9990,10054,16,1506,1521,0,384,384,75,11880,11957
Byron (A),11350,235,9425,9661,48,1282,1327,14,367,384,294,11080,11368
Cabonne (A),11400,169,3383,3549,50,954,1005,7,120,129,228,4464,4686
Camden (A),11450,738,20654,21394,74,2137,2218,21,454,472,837,23248,24084
Campbelltown (C) (NSW),11500,1988,39229,41220,507,6880,7383,101,1273,1376,2599,47384,49981
Canada Bay (A),11520,200,27900,28104,29,3278,3306,3,691,692,232,31868,32102
Canterbury-Bankstown (A),11570,970,84926,85893,235,18063,18291,52,3526,3582,1256,106513,107772
Carrathool (A),11600,66,632,698,40,207,250,5,33,40,110,871,986
Central Coast (C) (NSW),11650,4748,92870,97614,872,19025,19899,204,3328,3532,5823,115223,121048
Central Darling (A),11700,77,253,329,141,89,235,13,23,40,232,368,605
Cessnock (C),11720,1285,13419,14708,317,3769,4085,60,513,578,1662,17700,19368
Clarence Valley (A),11730,926,13545,14468,389,4128,4516,49,568,614,1363,18241,19605
Cobar (A),11750,172,981,1154,98,327,420,14,54,73,284,1362,1640
Coffs Harbour (C),11800,1182,20701,21878,349,3995,4346,72,747,814,1599,25442,27042
Coolamon (A),12000,48,1048,1097,11,335,349,0,45,46,58,1429,1491
Coonamble (A),12150,213,613,829,199,272,468,29,44,72,445,924,1370
Cowra (A),12350,297,3094,3390,120,1134,1254,23,155,176,438,4384,4823
Cumberland (A),12380,525,51794,52320,172,9552,9725,31,2432,2458,725,63781,64503
Dungog (A),12700,145,2366,2516,38,630,665,3,64,74,192,3065,3257
Edward River (A),12730,100,2335,2433,57,774,832,9,98,111,172,3206,3376
Eurobodalla (A),12750,572,10991,11563,262,2721,2982,39,442,481,874,14157,15032
Fairfield (C),12850,485,44123,44612,165,10375,10541,32,2010,2037,683,56501,57190
Federation (A),12870,76,3438,3513,23,1139,1158,8,158,168,106,4734,4843
Forbes (A),12900,309,2133,2444,121,801,925,18,107,128,454,3048,3496
Georges River (A),12930,350,41213,41561,61,5848,5907,8,1195,1203,421,48256,48676
Gilgandra (A),12950,130,899,1027,104,408,509,9,35,45,245,1339,1587
Glen Innes Severn (A),13010,135,2185,2324,87,894,981,12,103,118,240,3188,3427
Goulburn Mulwaree (A),13310,374,7723,8101,112,2393,2507,14,327,339,503,10439,10945
Greater Hume Shire (A),13340,109,2713,2820,24,739,765,4,109,112,134,3565,3699
Griffith (C),13450,329,5877,6208,183,1787,1969,25,281,312,536,7944,8487
Gundagai (A),13510,170,2848,3021,77,1110,1183,7,144,155,259,4101,4358
Gunnedah (A),13550,425,2778,3198,204,985,1186,28,113,143,661,3869,4527
Gwydir (A),13660,100,1177,1273,44,588,634,4,71,79,146,1839,1987
Hawkesbury (C),13800,888,17061,17949,161,2684,2843,32,489,520,1077,20231,21307
Hay (A),13850,51,644,696,27,322,350,6,50,52,79,1017,1097
Penrith (C),16350,2809,50846,53656,487,7823,8314,116,1578,1699,3415,60247,63667
Port Macquarie-Hastings (A),16380,1175,22899,24075,305,5571,5876,27,877,910,1512,29346,30855
Port Stephens (A),16400,1158,19254,20413,234,3983,4219,53,768,823,1452,24001,25452
Queanbeyan-Palerang Regional (A),16490,604,16297,16898,162,2457,2617,29,481,509,797,19231,20023
Randwick (C),16550,665,42415,43081,216,5517,5730,37,1525,1567,918,49455,50374
Richmond Valley (A),16610,388,5557,5940,241,2068,2303,31,270,296,652,7896,8549
Rockdale (C),16650,318,30931,31247,56,5444,5501,8,1197,1205,387,37571,37956
Ryde (C),16700,193,35871,36064,29,4233,4269,4,933,935,225,41039,41267
Shellharbour (C),16900,952,18138,19087,189,3754,3943,41,573,613,1182,22462,23643
Shoalhaven (C),16950,1848,27746,29592,488,6901,7395,92,1113,1205,2429,35760,38187
Singleton (A),17000,436,5864,6298,132,1133,1263,15,161,176,576,7161,7741
Snowy Monaro Regional (A),17040,172,5583,5757,45,1414,1462,12,292,302,227,7288,7518
Snowy Valleys (A),17080,198,3618,3815,79,1325,1401,14,154,167,290,5104,5388
The Hills Shire (A),17420,338,44228,44568,29,2452,2487,11,779,784,380,47457,47836
Tweed (A),17550,1284,26179,27462,305,6190,6492,62,1072,1131,1652,33438,35089
Upper Hunter Shire (A),17620,262,3548,3807,77,1124,1200,14,142,152,349,4820,5161
Upper Lachlan Shire (A),17640,71,2038,2106,16,704,721,0,84,82,87,2821,2912
Uralla (A),17650,129,1595,1726,44,440,488,8,61,67,184,2101,2281
Wagga Wagga (C),17750,1085,16750,17834,401,3513,3915,75,576,645,1556,20837,22397
Walcha (A),17850,42,763,803,33,304,337,6,34,45,91,1099,1187
Walgett (A),17900,270,1060,1331,340,481,822,45,94,135,657,1630,2286
Warren (A),17950,79,568,649,77,245,321,5,35,43,160,845,1007
Warrumbungle Shire (A),18020,238,2118,2357,138,909,1041,17,103,121,386,3130,3517
Waverley (A),18050,159,22101,22262,8,2172,2176,5,720,726,170,24994,25166
Weddin (A),18100,43,980,1020,13,357,370,3,51,61,59,1386,1449
Wentworth (A),18200,110,1646,1756,114,465,576,12,83,89,232,2191,2420
Western Plains Regional (A),18230,1976,11303,13278,825,2871,3695,117,386,500,2923,14555,17474
Willoughby (C),18250,67,23746,23815,14,1808,1818,0,518,519,79,26073,26155
Wingecarribee (A),18350,365,14606,14978,65,2297,2364,10,413,419,444,17322,17759
Wollondilly (A),18400,590,12384,12980,68,1687,1757,26,337,367,686,14412,15094
Wollongong (C),18450,2051,57060,59108,484,12262,12741,90,2009,2102,2619,71331,73953
Woollahra (A),18500,70,19086,19151,8,1350,1359,3,592,589,76,21027,21105
Yass Valley (A),18710,151,4502,4648,28,714,749,3,117,119,180,5333,5519
Unincorporated NSW,19399,7,263,273,5,43,46,3,14,16,20,320,336
No usual address (NSW),19499,0,0,0,0,0,0,0,0,0,0,0,0
Migratory - Offshore - Shipping (NSW),19799,0,0,0,0,0,0,0,0,0,0,0,0
Alpine (S),20110,38,3709,3744,8,920,930,3,147,154,56,4779,4832
Ararat (RC),20260,34,3066,3106,12,1032,1042,3,148,147,56,4245,4298
Ballarat (C),20570,558,30412,30971,154,6289,6443,25,1004,1032,738,37706,38449
Banyule (C),20660,289,37941,38233,70,5114,5177,11,1008,1022,374,44058,44431
Bass Coast (S),20740,135,10077,10209,25,2543,2569,6,387,397,166,13012,13175
Baw Baw (S),20830,178,14070,14252,47,2833,2880,10,460,474,239,17366,17605
Bayside (C),20910,95,31046,31142,11,3169,3181,7,699,711,117,34916,35037
Benalla (RC),21010,76,4086,4160,30,1228,1259,4,168,171,108,5485,5594
Boroondara (C),21110,168,53982,54151,16,4484,4503,4,1191,1201,193,59656,59849
Brimbank (C),21180,313,48339,48653,73,10578,10654,25,2232,2260,410,61149,61562
Buloke (S),21270,22,1664,1688,6,669,677,3,93,95,34,2421,2455
Campaspe (S),21370,283,10060,10337,118,2929,3048,19,454,469,418,13439,13855
Cardinia (S),21450,321,26557,26881,43,3358,3405,12,716,726,382,30630,31009
Casey (C),21610,669,79951,80628,108,8946,9053,34,2411,2449,808,91317,92127
Central Goldfields (S),21670,78,3637,3711,27,1506,1529,4,203,208,108,5340,5445
Colac-Otway (S),21750,103,5803,5908,28,1819,1847,7,249,254,134,7878,8005
Corangamite (S),21830,50,4362,4421,17,1381,1401,0,202,207,76,5947,6022
Darebin (C),21890,485,43404,43886,129,9099,9227,41,1581,1620,652,54083,54736
East Gippsland (S),22110,354,12771,13128,190,3623,3813,38,586,627,582,16980,17564
Frankston (C),22170,560,41265,41823,106,6399,6497,33,1334,1364,697,48987,49687
Gannawarra (S),22250,67,2879,2942,26,1108,1131,9,140,147,96,4122,4219
Greater Shepparton (C),22830,675,16810,17485,237,4086,4321,56,726,777,963,21619,22583
Hepburn (S),22910,60,4629,4691,20,1113,1133,3,210,214,83,5947,6029
Hindmarsh (S),22980,35,1602,1635,9,604,607,0,73,68,42,2272,2320
Hobsons Bay (C),23110,212,26311,26528,41,5090,5130,13,842,854,268,32242,32508
Horsham (RC),23190,100,5710,5810,43,1655,1694,12,209,221,150,7573,7721
Hume (C),23270,564,50172,50735,94,7487,7583,27,1783,1809,688,59441,60129
Indigo (S),23350,70,4691,4763,27,965,994,0,140,140,96,5800,5897
Kingston (C) (Vic.),23430,275,47180,47453,38,7166,7206,12,1366,1375,324,55709,56036
Knox (C),23670,339,46819,47156,40,5286,5327,19,1154,1174,389,53264,53657
Latrobe (C) (Vic.),23810,438,21356,21795,129,5375,5507,20,894,915,591,27619,28211
Loddon (S),23940,44,1981,2027,23,797,817,6,113,118,70,2893,2964
Macedon Ranges (S),24130,125,13534,13657,25,1698,1723,10,338,346,154,15571,15728
Manningham (C),24210,100,34772,34872,16,4236,4254,3,945,949,127,39952,40074
Mansfield (S),24250,28,2476,2501,10,565,577,0,128,128,40,3166,3207
Maribyrnong (C),24330,220,25225,25446,48,4106,4156,7,876,886,276,30202,30481
Maroondah (C),24410,257,34757,35005,38,4060,4097,12,841,857,310,39655,39962
Melbourne (C),24600,231,50819,51048,31,4223,4254,8,1695,1708,269,56744,57012
Melton (C),24650,475,35569,36043,71,4437,4511,13,1140,1153,557,41144,41704
Mildura (RC),24780,604,14053,14659,251,4179,4430,37,689,733,890,18921,19817
Mitchell (S),24850,249,11071,11323,45,1997,2037,15,350,369,306,13417,13725
Moira (S),24900,189,7771,7962,62,2481,2545,21,371,389,272,10625,10899
Monash (C),24970,170,53625,53796,25,6909,6937,11,1482,1492,211,62014,62221
Tenterfield (A),17400,103,1694,1797,72,716,794,0,94,97,176,2506,2682
Greater Geelong (C),22750,965,69458,70421,209,14068,14278,39,2255,2299,1207,85787,86995
Moonee Valley (C),25060,218,35713,35928,39,6357,6393,7,1187,1196,265,43254,43513
Moorabool (S),25150,149,9064,9207,28,1620,1641,5,293,294,181,10966,11145
Moreland (C),25250,440,49664,50099,57,9396,9454,22,1647,1661,519,60704,61218
Mornington Peninsula (S),25340,519,47617,48135,108,7910,8015,26,1616,1637,643,57149,57791
Mount Alexander (S),25430,71,5766,5832,22,1328,1350,3,185,189,93,7277,7374
Moyne (S),25490,68,4541,4608,16,1103,1118,0,169,167,87,5805,5897
Murrindindi (S),25620,81,3996,4071,17,950,960,3,229,230,96,5171,5263
Nillumbik (S),25710,112,18105,18221,9,1206,1213,5,322,324,128,19629,19759
Northern Grampians (S),25810,62,3316,3376,24,1145,1171,3,138,142,83,4604,4695
Port Phillip (C),25900,203,39261,39472,52,4420,4467,23,1147,1172,282,44830,45110
Pyrenees (S),25990,39,1892,1932,10,697,713,4,77,75,60,2664,2723
Queenscliffe (B),26080,8,983,986,0,163,164,0,24,29,10,1168,1181
South Gippsland (S),26170,101,8344,8449,27,2007,2034,3,314,314,132,10661,10796
Southern Grampians (S),26260,91,4670,4764,28,1359,1385,10,167,176,127,6201,6326
Stonnington (C),26350,169,38637,38805,17,3853,3874,7,1032,1044,194,43524,43724
Strathbogie (S),26430,38,3038,3079,22,924,945,0,150,151,64,4105,4174
Surf Coast (S),26490,78,8853,8923,14,1018,1025,6,210,213,92,10076,10163
Swan Hill (RC),26610,221,4905,5123,92,1696,1791,24,257,286,340,6855,7198
Towong (S),26670,28,1696,1726,15,504,518,3,81,81,49,2282,2333
Wangaratta (RC),26700,143,8155,8298,46,2270,2314,4,357,360,198,10779,10980
Warrnambool (C),26730,203,9661,9866,50,2350,2402,14,363,375,263,12370,12637
Wellington (S),26810,222,12280,12501,76,3055,3127,17,441,456,314,15774,16082
West Wimmera (S),26890,15,1116,1130,3,402,410,3,46,43,21,1569,1586
Whitehorse (C),26980,190,50227,50416,28,6556,6586,9,1299,1307,229,58082,58308
Whittlesea (C),27070,611,52804,53414,83,8556,8642,28,1598,1622,717,62954,63678
Wodonga (C),27170,346,11257,11606,78,2211,2287,23,347,367,448,13815,14260
Wyndham (C),27260,642,58573,59222,85,5995,6083,31,1614,1642,762,66187,66946
Yarra (C),27350,211,31492,31702,42,3487,3530,11,1018,1022,260,35993,36254
Yarra Ranges (S),27450,566,44612,45173,98,5521,5619,20,1099,1115,677,51225,51905
Yarriambiack (S),27630,29,1872,1902,10,674,682,3,90,92,47,2630,2679
Unincorporated Vic,29399,3,118,117,0,21,22,0,14,14,3,150,151
No usual address (Vic.),29499,0,0,0,0,0,0,0,0,0,0,0,0
Migratory - Offshore - Shipping (Vic.),29799,0,0,0,0,0,0,0,0,0,0,0,0
Aurukun (S),30250,144,24,164,69,14,85,4,4,7,221,39,259
Balonne (S),30300,154,922,1073,109,276,385,9,64,74,274,1261,1539
Banana (S),30370,189,3623,3814,79,896,980,11,168,178,281,4682,4965
Barcaldine (R),30410,50,756,810,16,228,248,0,34,34,72,1024,1096
Barcoo (S),30450,5,67,73,8,33,36,0,0,3,9,99,110
Blackall-Tambo (R),30760,31,498,530,14,185,201,0,34,34,48,715,761
Longreach (R),34710,59,982,1046,23,251,272,3,41,46,86,1275,1366
Mackay (R),34770,1847,31053,32900,586,5951,6538,112,1118,1228,2552,38119,40669
McKinlay (S),34800,4,195,207,4,56,58,0,10,5,13,258,270
Strathfield (A),17100,59,10914,10967,11,1211,1218,10,478,482,73,12598,12674
Sutherland Shire (A),17150,1080,65948,67031,132,7635,7768,34,1528,1562,1247,75111,76356
Sydney (C),17200,939,73474,74409,377,7801,8182,65,2775,2838,1379,84051,85423
Tamworth Regional (A),17310,1722,14558,16287,672,4057,4730,107,629,739,2502,19246,21752
Temora (A),17350,54,1587,1645,14,620,636,3,68,69,75,2272,2344
Glen Eira (C),22310,140,45586,45721,13,5409,5423,4,1141,1154,157,52138,52296
Glenelg (S),22410,154,5490,5643,70,1673,1742,9,251,255,231,7411,7644
Golden Plains (S),22490,85,6066,6153,9,872,884,3,141,148,98,7082,7184
Greater Bendigo (C),22620,705,32456,33165,169,6854,7022,46,1138,1178,920,40442,41361
Greater Dandenong (C),22670,187,38307,38497,68,8065,8137,19,1912,1928,276,48290,48563
Mapoon (S),34830,40,5,48,26,5,29,3,0,3,71,14,84
Maranoa (R),34860,248,3036,3293,133,869,998,19,132,150,403,4038,4439
Mareeba (S),34880,402,4989,5390,327,1424,1751,30,230,262,763,6645,7408
Moreton Bay (R),35010,4687,121970,126658,823,16981,17798,172,3028,3208,5686,141975,147666
Mornington (S),35250,87,39,129,107,10,124,5,3,8,203,58,261
Mount Isa (C),35300,705,4147,4853,357,641,1003,55,164,221,1125,4954,6078
Murweh (S),35600,139,994,1131,74,339,415,13,53,68,223,1387,1611
Napranum (S),35670,106,8,108,116,3,124,4,4,3,228,9,235
Noosa (S),35740,344,16928,17271,47,2301,2348,8,519,531,400,19749,20143
North Burnett (R),35760,188,2402,2589,99,1048,1143,22,162,180,301,3610,3916
Northern Peninsula Area (R),35780,430,76,511,115,14,129,13,26,41,559,114,676
Palm Island (S),35790,261,19,275,194,3,194,6,3,9,455,24,483
Paroo (S),35800,64,317,386,103,123,228,6,20,30,174,469,647
Pormpuraaw (S),36070,103,34,138,69,7,81,0,3,3,175,45,218
Quilpie (S),36150,34,181,223,13,65,83,7,13,20,54,263,319
Redland (C),36250,1342,44197,45540,237,5513,5745,46,1117,1165,1621,50830,52446
Richmond (S),36300,11,208,214,12,56,67,0,13,13,24,272,295
Rockhampton (R),36370,1651,20259,21905,616,4997,5614,93,760,853,2358,26015,28375
Scenic Rim (R),36510,391,10932,11327,117,2254,2369,20,333,349,527,13515,14043
Somerset (R),36580,309,6280,6590,79,1655,1732,18,238,260,413,8167,8579
South Burnett (R),36630,466,8604,9071,220,2587,2803,30,364,393,712,11552,12265
Southern Downs (R),36660,487,9407,9894,167,2905,3069,23,368,390,678,12678,13355
Sunshine Coast (R),36720,2401,90599,92997,374,12602,12982,86,2524,2613,2861,105730,108589
Tablelands (R),36820,441,6661,7105,235,1745,1982,21,289,309,706,8693,9397
Toowoomba (R),36910,2049,44834,46881,573,9254,9830,109,1384,1491,2729,55474,58204
Torres (S),36950,334,244,576,162,26,190,90,54,142,587,322,908
Torres Strait Island (R),36960,619,52,666,278,13,294,29,3,31,924,66,988
Townsville (C),37010,3425,51288,54707,1198,8031,9232,204,1453,1660,4834,60768,65599
Lockhart River (S),34570,49,14,64,75,6,77,7,4,11,130,23,155
Lockyer Valley (R),34580,500,9465,9969,125,2291,2415,24,466,493,645,12226,12872
Logan (C),34590,3468,78896,82364,669,11590,12256,173,2433,2601,4305,92916,97224
Adelaide (C),40070,59,7469,7528,21,855,878,7,269,278,85,8592,8678
Adelaide Hills (DC),40120,89,12159,12247,8,1305,1311,3,192,198,99,13656,13761
Alexandrina (DC),40220,159,8130,8291,39,1690,1730,9,196,208,207,10022,10229
Charles Sturt (C),41060,561,34094,34658,201,8392,8592,38,1077,1116,805,43560,44365
Boulia (S),30900,11,73,81,28,15,40,0,9,15,37,96,135
Brisbane (C),31000,6921,348724,355642,1314,37376,38683,339,9488,9835,8569,395591,404159
Elliston (DC),41750,11,312,320,3,89,91,0,4,4,18,401,416
Bulloo (S),31750,15,75,84,9,27,32,0,8,8,19,103,125
Bundaberg (R),31820,1232,25619,26857,375,6936,7309,57,1015,1077,1669,33568,35244
Burdekin (S),31900,233,4444,4672,153,1494,1647,22,186,211,410,6122,6530
Burke (S),31950,15,25,45,21,17,38,3,7,5,47,51,91
Cairns (R),32080,3366,42524,45890,1606,6525,8134,274,1490,1761,5246,50547,55790
Carpentaria (S),32250,97,305,397,122,101,222,12,21,33,231,424,655
Cassowary Coast (R),32260,696,7125,7819,328,2105,2432,51,314,369,1069,9556,10621
Central Highlands (R) (Qld),32270,355,6975,7336,129,1176,1303,27,245,276,511,8396,8906
Charters Towers (R),32310,211,2715,2921,149,937,1086,22,126,147,380,3777,4157
Tumby Bay (DC),47910,17,757,777,4,275,277,0,23,25,25,1052,1077
Cherbourg (S),32330,95,0,99,182,0,182,0,0,0,280,0,281
Cloncurry (S),32450,127,518,643,120,111,234,8,34,44,258,664,922
Cook (S),32500,154,768,919,96,277,375,16,84,104,268,1129,1400
Croydon (S),32600,7,44,55,8,19,23,0,8,8,19,70,85
Weipa (T),37300,177,821,998,45,67,107,9,29,37,231,920,1148
Western Downs (R),37310,548,7942,8497,216,2315,2528,35,294,323,798,10547,11350
