lga_name_2016,lga_code_2016,all_inc_ns_emp_aw,all_inc_ns_e_t,all_inc_ns_une_lfw_ftw,all_inc_ns_une_lfw_ptw,all_inc_ns_une_lfw_tot,all_inc_ns_t_lf,all_inc_ns_notin_lf,all_inc_ns_lf_sta_ns,all_inc_ns_tot,tot_emp_wft,tot_emp_wpt,tot_emp_aw,tot_e_t,tot_une_lfw_ftw,tot_une_lfw_ptw,tot_une_lfw_tot,tot_t_lf,tot_notin_lf,tot_lf_sta_ns,tot_tot
Albury (C),10050,0,10,0,3,3,13,20,17,55,603,535,80,1212,92,86,171,1381,862,21,2267
Armidale Regional (A),10130,8,10,3,0,4,11,17,10,46,336,287,27,649,40,38,76,720,499,19,1237
Ballina (A),10250,3,11,0,0,0,16,28,10,49,508,537,51,1093,35,54,89,1184,682,17,1884
Balranald (A),10300,0,0,0,0,0,0,3,0,3,18,21,5,35,3,7,6,44,34,0,77
Bathurst Regional (A),10470,3,10,0,0,0,8,24,10,45,537,418,42,1001,47,52,100,1101,697,20,1811
Bega Valley (A),10550,0,4,0,0,0,9,9,7,24,303,358,32,687,30,40,65,757,509,18,1283
Bellingen (A),10600,0,0,0,0,0,0,5,5,9,130,187,18,342,20,23,44,382,266,8,662
Berrigan (A),10650,0,3,0,0,0,3,7,5,7,80,60,12,158,7,9,17,177,108,7,283
Blacktown (C),10750,24,89,11,5,18,103,204,120,432,4702,2532,408,7638,481,466,951,8583,7165,225,15976
Bland (A),10800,0,4,0,0,0,4,6,0,12,70,45,8,120,5,3,11,128,95,5,227
Blayney (A),10850,0,3,0,0,0,4,8,0,10,78,62,7,148,15,8,22,173,125,6,297
Blue Mountains (C),10900,3,21,0,0,0,18,23,8,54,1014,851,70,1937,43,60,98,2038,1129,24,3182
Bogan (A),10950,0,0,0,0,0,0,0,0,5,22,22,3,47,5,3,7,57,47,0,107
Botany Bay (C),11100,4,14,3,0,3,12,21,17,49,650,330,59,1037,38,45,89,1125,740,34,1898
Bourke (A),11150,0,3,3,0,3,4,9,4,13,41,16,0,51,4,4,6,65,62,5,130
Brewarrina (A),11200,0,4,0,0,0,3,10,3,13,16,14,5,31,3,10,12,46,84,4,137
Broken Hill (C),11250,0,8,3,0,3,12,19,15,50,222,228,39,487,49,31,80,569,468,24,1059
Hilltops (A),13910,0,5,0,0,0,3,7,8,19,164,207,16,391,34,20,56,444,348,21,816
Hornsby (A),14000,7,25,0,0,0,25,17,17,49,1732,1008,104,2848,57,68,125,2978,1483,26,4486
Hunters Hill (A),14100,0,7,0,0,0,7,4,0,12,133,87,15,237,9,12,17,254,126,6,378
Inner West (A),14170,11,33,0,0,0,33,36,26,92,2183,1140,121,3443,112,137,256,3696,2358,60,6109
Inverell (A),14200,0,8,0,0,0,8,16,6,30,143,176,23,343,37,31,65,407,396,14,811
Junee (A),14300,0,0,0,0,0,0,3,0,3,71,58,7,131,8,0,9,136,107,0,243
Kempsey (A),14350,3,9,3,0,3,13,35,10,62,272,370,33,682,57,50,112,793,840,31,1661
Kiama (A),14400,0,0,0,0,0,0,3,0,9,204,196,14,424,18,13,28,453,239,5,694
Ku-ring-gai (A),14500,3,10,0,0,0,10,18,3,27,1233,676,69,1975,49,56,100,2076,1233,11,3323
Kyogle (A),14550,3,3,3,0,3,9,4,3,14,58,88,16,156,23,15,32,196,227,3,424
Lachlan (A),14600,0,0,0,0,3,3,4,3,9,51,57,11,120,17,11,26,145,128,7,273
Lake Macquarie (C),14650,13,44,9,3,9,53,83,38,182,2507,2254,248,5007,263,250,514,5525,3936,108,9566
Lane Cove (A),14700,0,4,0,0,0,4,4,3,14,443,221,17,678,23,11,32,712,292,4,1010
Leeton (A),14750,0,0,0,0,0,0,5,7,9,116,93,7,220,13,12,23,243,190,10,443
Lismore (C),14850,0,6,0,3,0,12,26,11,49,584,603,63,1256,71,77,151,1402,937,28,2366
Lithgow (C),14870,3,3,0,0,0,3,16,13,32,186,211,22,426,36,34,66,489,492,23,1003
Liverpool (C),14900,11,36,3,4,8,47,100,88,236,2545,1526,211,4288,203,278,476,4760,4523,147,9438
Liverpool Plains (A),14920,0,0,0,3,4,3,3,4,14,82,63,5,146,18,16,37,182,172,7,356
Lockhart (A),14950,0,0,0,0,0,0,3,0,4,26,18,6,47,0,0,3,50,58,0,107
Maitland (C),15050,8,23,0,6,6,23,35,20,75,1073,857,103,2033,141,128,265,2301,1505,33,3840
Mid-Coast (A),15240,7,31,3,4,12,37,76,25,137,760,962,99,1822,164,146,306,2125,2155,61,4340
Mid-Western Regional (A),15270,0,3,0,0,0,3,13,7,28,208,206,16,429,30,34,61,497,429,23,945
Moree Plains (A),15300,0,5,0,0,0,8,22,12,42,164,95,15,275,34,17,48,324,350,23,692
Mosman (A),15350,0,5,0,0,0,5,9,3,15,319,190,20,526,13,17,33,564,238,7,807
Murray River (A),15520,3,3,0,0,0,3,6,7,14,89,88,18,198,6,3,9,201,125,11,332
Murrumbidgee (A),15560,0,0,0,0,0,0,3,0,3,34,34,3,71,6,3,9,80,66,0,140
Muswellbrook (A),15650,0,8,0,0,0,8,16,8,34,185,140,15,343,52,27,77,426,354,9,793
Nambucca (A),15700,0,3,0,3,3,9,14,8,31,149,224,27,401,24,35,58,460,519,20,1000
Narrabri (A),15750,0,7,3,0,3,13,9,4,24,143,105,19,264,22,21,39,305,255,10,564
Narrandera (A),15800,0,0,0,0,0,0,3,3,8,48,60,3,116,5,4,11,128,110,8,249
Narromine (A),15850,0,0,0,0,0,0,10,0,11,78,50,6,135,11,12,23,158,160,3,321
Newcastle (C),15900,8,27,4,3,8,33,47,28,112,2066,1633,164,3867,214,183,402,4266,2872,60,7198
North Sydney (A),15950,6,15,0,0,0,11,4,0,18,833,357,33,1220,29,31,64,1279,474,6,1765
Northern Beaches (A),15990,18,58,0,3,5,68,53,20,136,3030,2000,177,5209,119,96,214,5428,2403,57,7884
Oberon (A),16100,4,3,0,0,0,7,8,3,11,50,42,8,96,13,3,19,114,83,3,206
Orange (C),16150,4,17,0,0,0,17,30,19,64,575,386,46,1005,70,69,135,1141,745,29,1919
Parkes (A),16200,0,3,0,3,7,10,12,5,20,162,127,19,299,27,27,50,357,317,14,687
Parramatta (C),16260,5,29,0,0,0,29,46,28,99,2592,1455,183,4230,162,192,355,4588,3071,74,7727
Burwood (A),11300,3,3,0,0,0,3,10,3,12,341,252,38,627,23,26,46,677,624,8,1310
Byron (A),11350,0,17,0,0,0,17,15,6,31,297,589,37,917,42,56,97,1012,535,16,1566
Cabonne (A),11400,0,0,0,0,0,0,9,3,16,119,73,12,199,13,11,25,219,195,5,420
Camden (A),11450,6,28,0,0,0,28,10,14,50,1185,677,86,1947,56,63,121,2068,900,16,2986
Campbelltown (C) (NSW),11500,16,43,5,3,9,56,96,82,237,2570,1569,204,4348,286,290,580,4923,4040,126,9087
Canada Bay (A),11520,8,13,0,0,0,15,11,7,34,1082,592,61,1734,47,54,101,1833,1114,20,2968
Canterbury-Bankstown (A),11570,20,67,7,7,14,80,151,99,328,3773,2706,370,6843,381,501,883,7723,8069,198,15988
Carrathool (A),11600,0,4,0,0,0,4,0,0,4,24,17,0,44,3,0,3,48,40,0,89
Central Coast (C) (NSW),11650,25,92,3,16,17,110,144,97,345,4518,3990,441,8944,471,483,954,9900,6788,177,16863
Central Darling (A),11700,0,0,0,0,0,0,6,0,4,23,6,5,29,3,0,3,35,67,0,107
Cessnock (C),11720,5,22,3,4,7,29,50,20,97,597,661,87,1344,121,113,241,1581,1440,34,3057
Clarence Valley (A),11730,0,8,3,0,7,9,35,15,60,471,501,44,1017,86,89,177,1194,1220,33,2449
Cobar (A),11750,0,3,0,0,0,0,3,6,14,49,28,11,88,6,3,9,102,66,6,172
Coffs Harbour (C),11800,3,18,3,3,4,27,53,25,98,877,985,95,1960,103,116,223,2178,1478,40,3699
Coolamon (A),12000,0,0,0,0,0,0,0,4,3,35,27,4,60,7,3,13,74,67,4,139
Coonamble (A),12150,0,5,0,0,0,5,7,8,13,30,28,10,67,15,7,18,91,122,12,224
Cowra (A),12350,0,3,0,0,0,4,6,0,13,109,112,10,240,22,14,34,272,264,3,541
Cumberland (A),12380,10,22,3,6,12,38,104,70,207,2060,1288,197,3547,202,223,427,3976,4504,111,8590
Dungog (A),12700,0,0,0,0,0,4,4,3,7,75,94,7,173,9,11,16,188,150,3,347
Edward River (A),12730,0,3,0,0,0,3,10,3,14,88,99,17,196,9,14,22,218,148,4,369
Eurobodalla (A),12750,3,13,0,0,5,20,29,8,53,320,431,63,820,45,38,78,899,729,14,1638
Fairfield (C),12850,13,38,0,10,12,51,138,93,276,2269,1775,211,4263,331,466,793,5057,6650,165,11870
Federation (A),12870,0,8,0,0,0,9,10,0,13,110,131,17,249,16,16,31,281,164,6,448
Forbes (A),12900,0,3,0,0,0,3,10,7,22,97,87,18,199,11,9,23,223,179,12,408
Georges River (A),12930,8,29,0,0,3,33,23,29,86,1755,1167,126,3052,120,173,298,3352,2369,63,5778
Gilgandra (A),12950,0,0,0,0,0,0,3,5,12,38,39,8,87,13,8,21,103,91,9,203
Glen Innes Severn (A),13010,0,3,0,3,3,5,6,4,18,76,76,9,161,14,5,22,181,184,3,375
Goulburn Mulwaree (A),13310,3,9,0,0,0,8,14,16,42,368,308,48,725,44,53,97,820,547,19,1387
Greater Hume Shire (A),13340,0,4,0,0,0,4,5,4,16,84,71,11,166,12,12,20,182,164,5,349
Griffith (C),13450,0,7,0,0,0,6,21,11,40,300,184,19,505,25,19,44,557,360,22,934
Gundagai (A),13510,0,0,0,0,0,0,9,3,10,105,93,7,202,19,11,27,237,199,9,440
Gunnedah (A),13550,0,3,0,0,0,9,12,9,27,130,112,11,255,19,19,43,298,216,11,526
Gwydir (A),13660,0,0,0,0,0,0,3,0,4,33,40,4,78,6,10,9,91,96,0,185
Hawkesbury (C),13800,8,25,0,3,6,24,21,7,58,1009,599,62,1673,61,60,114,1789,1011,23,2824
Hay (A),13850,0,0,0,0,0,0,3,0,3,30,41,0,72,0,6,5,77,49,3,130
Penrith (C),16350,21,63,3,0,3,68,78,54,210,3429,1964,283,5685,253,252,504,6187,3776,92,10063
Port Macquarie-Hastings (A),16380,10,32,0,4,4,33,41,19,94,862,900,96,1859,93,97,190,2049,1440,39,3534
Port Stephens (A),16400,5,11,3,0,5,17,28,13,56,776,716,94,1587,101,89,190,1772,1295,31,3095
Queanbeyan-Palerang Regional (A),16490,3,14,3,0,3,15,13,8,44,890,376,65,1338,34,36,68,1406,613,21,2044
Randwick (C),16550,8,30,0,0,0,29,34,21,80,1575,928,113,2622,75,83,159,2776,1762,42,4579
Richmond Valley (A),16610,0,3,3,0,9,7,26,10,39,213,245,27,481,51,24,78,556,608,15,1178
Rockdale (C),16650,6,25,0,0,0,23,26,12,62,1293,821,114,2228,83,69,150,2373,1857,36,4267
Ryde (C),16700,3,21,0,0,0,26,19,3,50,1322,745,65,2132,56,62,115,2247,1534,27,3804
Shellharbour (C),16900,4,22,3,0,7,27,34,12,68,975,864,102,1938,102,110,211,2154,1435,24,3614
Shoalhaven (C),16950,10,28,0,0,0,28,67,30,129,950,1115,112,2174,119,128,247,2420,2044,69,4531
Singleton (A),17000,0,4,0,0,0,4,13,0,16,257,215,33,508,29,27,58,565,302,6,878
Snowy Monaro Regional (A),17040,0,9,0,0,0,5,11,3,17,218,173,15,401,18,12,31,433,254,7,691
Snowy Valleys (A),17080,0,0,0,0,0,0,10,3,13,145,128,16,292,17,9,27,319,239,14,570
The Hills Shire (A),17420,3,29,0,0,0,24,13,19,61,1767,917,94,2774,80,76,158,2936,1354,36,4327
Tweed (A),17550,8,26,0,0,0,28,37,33,93,1009,1211,140,2362,114,131,239,2604,1807,54,4462
Upper Hunter Shire (A),17620,0,0,0,0,0,0,4,3,12,134,124,13,272,21,17,35,302,204,7,515
Upper Lachlan Shire (A),17640,0,0,0,0,0,0,3,0,8,53,59,4,116,9,3,8,121,118,4,242
Uralla (A),17650,0,0,0,0,0,7,0,0,4,58,58,9,126,11,8,18,143,89,3,234
Wagga Wagga (C),17750,7,18,4,0,4,21,48,33,96,879,562,73,1515,81,70,154,1671,1067,46,2783
Walcha (A),17850,0,0,0,0,0,0,0,0,3,24,22,3,47,3,0,5,56,39,0,95
Walgett (A),17900,0,3,0,0,0,3,8,11,28,56,59,4,114,18,8,28,146,206,12,365
Warren (A),17950,0,0,0,0,0,3,5,3,8,21,22,3,46,8,10,15,55,54,3,109
Warrumbungle Shire (A),18020,3,4,0,0,0,8,10,4,18,81,81,12,163,18,7,25,191,179,8,386
Waverley (A),18050,3,13,0,0,0,18,9,5,32,659,453,36,1144,26,32,61,1206,530,16,1749
Weddin (A),18100,0,0,0,0,0,0,3,0,3,25,19,3,40,4,3,9,48,65,0,113
Wentworth (A),18200,0,0,0,0,0,3,10,4,14,49,67,6,123,3,7,9,132,119,9,259
Western Plains Regional (A),18230,4,23,0,3,4,24,49,19,90,707,522,70,1298,95,78,175,1471,972,32,2477
