lga_name_2016,lga_code_2016,i_4000more_1aw_othnw,i_4000more_bnw,i_4000more_lfsta_ns,i_4000more_tot,part_inc_stated_be_wft,part_inc_stated_be_wpt,part_inc_stated_be_baw,part_inc_stated_1eft_othpt,part_inc_stated_1eft_othaw,part_inc_stated_1eft_othnw,part_inc_stated_1ept_othaw,part_inc_stated_1ept_othnw,part_inc_stated_1aw_othnw,part_inc_stated_bnw,part_inc_stated_lfsta_ns,part_inc_stated_tot,all_inc_ns_be_wft,all_inc_ns_be_wpt,all_inc_ns_be_baw,all_inc_ns_1eft_othpt,all_inc_ns_1eft_othaw,all_inc_ns_1eft_othnw,all_inc_ns_1ept_othaw,all_inc_ns_1ept_othnw,all_inc_ns_1aw_othnw,all_inc_ns_bnw,all_inc_ns_lfsta_ns,all_inc_ns_tot,tot_be_wft,tot_be_wpt,tot_be_baw,tot_1eft_othpt,tot_1eft_othaw,tot_1eft_othnw,tot_1ept_othaw,tot_1ept_othnw,tot_1aw_othnw,tot_bnw,tot_lfsta_ns,tot_tot
Albury (C),10050,0,3,0,346,87,13,0,102,9,43,3,25,4,24,272,583,7,0,0,18,3,4,0,0,8,9,9,62,1085,194,40,1837,202,793,68,254,39,347,295,5160
Armidale Regional (A),10130,0,0,0,197,67,5,0,64,3,27,9,5,3,21,175,377,0,0,0,0,0,0,0,0,0,3,6,15,638,120,27,798,75,414,30,132,29,239,179,2680
Ballina (A),10250,3,5,0,320,75,23,3,82,8,38,0,30,3,28,226,517,4,0,5,11,0,3,0,0,0,3,10,37,812,272,41,1327,116,560,51,282,48,336,246,4083
Balranald (A),10300,0,0,0,13,7,3,0,7,3,4,0,3,0,3,14,40,0,0,0,0,0,0,0,0,0,0,0,3,52,5,3,72,10,46,0,11,0,18,14,236
Bathurst Regional (A),10470,0,7,0,328,91,9,6,83,6,49,7,22,0,30,230,525,6,0,0,11,0,3,0,0,0,10,5,43,1134,148,36,1361,189,646,42,166,45,286,246,4308
Bega Valley (A),10550,3,7,0,122,54,18,6,71,7,32,3,28,0,37,205,458,3,0,0,0,0,0,0,3,0,4,10,21,539,190,35,879,84,407,38,186,33,274,223,2892
Bellingen (A),10600,0,3,0,47,12,7,0,24,0,10,4,13,3,10,67,157,0,0,0,0,0,3,0,0,0,0,3,11,185,119,6,303,33,172,13,110,10,127,81,1171
Berrigan (A),10650,0,0,0,31,16,0,0,17,0,12,5,3,3,8,37,98,3,0,0,5,0,0,0,0,0,3,0,13,162,26,11,246,29,102,12,29,17,53,38,722
Blacktown (C),10750,22,108,12,4532,776,79,49,489,66,551,43,170,82,476,1766,4535,46,10,33,49,6,28,7,14,20,72,170,456,13369,1408,398,10732,1471,11221,389,2580,648,4829,2073,49127
Bland (A),10800,0,0,0,33,20,3,0,23,0,5,0,0,0,6,30,101,3,0,0,0,0,0,0,0,0,0,0,3,148,18,15,181,17,73,4,26,3,39,36,558
Blayney (A),10850,0,0,0,65,14,5,0,23,0,8,0,3,0,7,45,104,0,0,0,0,0,0,0,0,0,0,0,5,191,28,7,269,29,131,11,31,12,50,44,805
Blue Mountains (C),10900,3,14,0,1209,157,33,11,209,14,104,7,23,14,74,440,1088,13,0,0,10,0,3,0,0,0,17,11,67,2020,438,60,3009,327,1623,98,437,99,580,460,9148
Bogan (A),10950,0,0,0,13,21,0,0,9,0,4,0,3,0,0,24,70,0,0,0,0,0,0,0,0,0,0,4,8,73,8,5,77,7,44,0,17,5,13,27,269
Botany Bay (C),11100,0,7,0,801,100,14,9,75,3,52,6,24,8,59,255,598,9,0,6,9,0,0,0,0,3,9,21,54,1478,220,44,1459,206,1009,42,317,51,530,294,5657
Bourke (A),11150,0,0,0,13,18,3,0,8,0,3,0,0,0,0,18,49,0,0,0,0,0,0,0,0,0,0,6,7,74,4,3,53,10,28,0,5,0,21,22,216
Brewarrina (A),11200,0,0,0,3,10,0,0,0,0,0,0,3,3,3,8,24,0,0,0,0,0,0,0,0,0,3,0,5,30,3,0,15,0,20,0,8,3,23,8,114
Broken Hill (C),11250,0,0,3,111,36,5,0,25,3,16,0,12,3,19,110,236,5,0,0,8,0,0,0,0,3,8,7,23,331,47,14,375,52,225,22,94,28,167,119,1484
