gcc_code16,solsewvw_min_96_00,solsewvw_min_01_05,solsewvw_min_06_10,solsewvw_min_11_15,solsewvw_min_2016,solsewvw_min_ns,solsewvw_min_tot,solsewvw_mnf_bf_91,solsewvw_mnf_91_95,solsewvw_mnf_96_00,solsewvw_mnf_01_05,solsewvw_mnf_06_10,solsewvw_mnf_11_15,solsewvw_mnf_2016,solsewvw_mnf_ns,solsewvw_mnf_tot,solsewvw_egwws_bf_91,solsewvw_egwws_91_95,solsewvw_egwws_96_00,solsewvw_egwws_01_05,solsewvw_egwws_06_10,solsewvw_egwws_11_15,solsewvw_egwws_2016,solsewvw_egwws_ns,solsewvw_egwws_tot,solsewvw_const_bf_91,solsewvw_const_91_95,solsewvw_const_96_00,solsewvw_const_01_05,solsewvw_const_06_10,solsewvw_const_11_15,solsewvw_const_2016,solsewvw_const_ns,solsewvw_const_tot,solsewvw_wst_bf_91,solsewvw_wst_91_95,solsewvw_wst_96_00,solsewvw_wst_01_05,solsewvw_wst_06_10,solsewvw_wst_11_15,solsewvw_wst_2016,solsewvw_wst_ns,solsewvw_wst_tot,solsewvw_rett_bf_91,solsewvw_rett_91_95,solsewvw_rett_96_00,solsewvw_rett_01_05,solsewvw_rett_06_10,solsewvw_rett_11_15,solsewvw_rett_2016,solsewvw_rett_ns,solsewvw_rett_tot,solsewvw_acfd_bf_91,solsewvw_acfd_91_95,solsewvw_acfd_96_00,solsewvw_acfd_01_05,solsewvw_acfd_06_10,solsewvw_acfd_11_15,solsewvw_acfd_2016,solsewvw_acfd_ns,solsewvw_acfd_tot,solsewvw_tpw_bf_91,solsewvw_tpw_91_95,solsewvw_tpw_96_00,solsewvw_tpw_01_05,solsewvw_tpw_06_10,solsewvw_tpw_11_15,solsewvw_tpw_2016,solsewvw_tpw_ns,solsewvw_tpw_tot,solsewvw_imt_bf_91,solsewvw_imt_91_95,solsewvw_imt_96_00,solsewvw_imt_01_05,solsewvw_imt_06_10,solsewvw_imt_11_15,solsewvw_imt_2016,solsewvw_imt_ns,solsewvw_imt_tot,solsewvw_finins_bf_91,solsewvw_finins_91_95,solsewvw_finins_96_00,solsewvw_finins_01_05,solsewvw_finins_06_10,solsewvw_finins_11_15,solsewvw_finins_2016,solsewvw_finins_ns,solsewvw_finins_tot,solsewvw_rhre_bf_91,solsewvw_rhre_91_95,solsewvw_rhre_96_00,solsewvw_rhre_01_05,solsewvw_rhre_06_10,solsewvw_rhre_11_15,solsewvw_rhre_2016,solsewvw_rhre_ns,solsewvw_rhre_tot,solsewvw_prosts_bf_91,solsewvw_prosts_91_95,solsewvw_prosts_96_00,solsewvw_prosts_01_05,solsewvw_prosts_06_10,solsewvw_prosts_11_15,solsewvw_prosts_2016,solsewvw_prosts_ns,solsewvw_prosts_tot,solsewvw_adsup_bf_91,solsewvw_adsup_91_95,solsewvw_adsup_96_00,solsewvw_adsup_01_05,solsewvw_adsup_06_10,solsewvw_adsup_11_15,solsewvw_adsup_2016,solsewvw_adsup_ns,solsewvw_adsup_tot,solsewvw_pubas_bf_91,solsewvw_pubas_91_95,solsewvw_pubas_96_00,solsewvw_pubas_01_05,solsewvw_pubas_06_10,solsewvw_pubas_11_15,solsewvw_pubas_2016,solsewvw_pubas_ns,solsewvw_pubas_tot,solsewvw_edtrn_bf_91,solsewvw_edtrn_91_95,solsewvw_edtrn_96_00,solsewvw_edtrn_01_05,solsewvw_edtrn_06_10,solsewvw_edtrn_11_15,solsewvw_edtrn_2016,solsewvw_edtrn_ns,solsewvw_edtrn_tot,solsewvw_hc_sa_bf_91,solsewvw_hc_sa_91_95,solsewvw_hc_sa_96_00,solsewvw_hc_sa_01_05,solsewvw_hc_sa_06_10,solsewvw_hc_sa_11_15,solsewvw_hc_sa_2016,solsewvw_hc_sa_ns,solsewvw_hc_sa_tot,solsewvw_artsr_bf_91,solsewvw_artsr_91_95,solsewvw_artsr_96_00,solsewvw_artsr_01_05,solsewvw_artsr_06_10,solsewvw_artsr_11_15,solsewvw_artsr_2016,solsewvw_artsr_ns,solsewvw_artsr_tot,solsewvw_othsvs_bf_91,solsewvw_othsvs_91_95,solsewvw_othsvs_96_00,solsewvw_othsvs_01_05,solsewvw_othsvs_06_10,solsewvw_othsvs_11_15,solsewvw_othsvs_2016,solsewvw_othsvs_ns,solsewvw_othsvs_tot,solsewvw_idns_bf_91,solsewvw_idns_91_95,solsewvw_idns_96_00,solsewvw_idns_01_05,solsewvw_idns_06_10,solsewvw_idns_11_15,solsewvw_idns_2016,solsewvw_idns_ns,solsewvw_idns_tot,solsewvw_tot_bf_91,solsewvw_tot_91_95,solsewvw_tot_96_00,solsewvw_tot_01_05,solsewvw_tot_06_10,solsewvw_tot_11_15,solsewvw_tot_2016,solsewvw_tot_ns,solsewvw_tot_tot,solse_nwna_agff_bf_91,solse_nwna_agff_91_95,solse_nwna_agff_96_00,solse_nwna_agff_01_05,solse_nwna_agff_06_10,solse_nwna_agff_11_15,solse_nwna_agff_2016,solse_nwna_agff_ns,solse_nwna_agff_tot,solse_nwna_min_bf_91,solse_nwna_min_91_95,solse_nwna_min_96_00,solse_nwna_min_01_05,solse_nwna_min_06_10,solse_nwna_min_11_15,solse_nwna_min_2016,solse_nwna_min_ns,solse_nwna_min_tot,solse_nwna_mnf_bf_91,solse_nwna_mnf_91_95,solse_nwna_mnf_96_00,solse_nwna_mnf_01_05,gcc_name16
1RNSW,32,70,158,97,3,7,473,845,190,235,361,897,1157,100,102,3896,64,15,27,44,71,42,3,6,264,612,125,149,177,284,311,23,36,1710,128,39,44,61,148,179,19,5,633,847,186,262,425,1116,882,54,63,3831,1109,336,397,587,1636,1544,159,173,5934,389,56,96,83,265,137,12,21,1064,50,13,16,30,57,59,9,6,234,170,37,59,77,87,67,3,7,509,119,11,24,20,42,45,4,5,262,410,120,196,254,409,352,19,31,1789,429,73,121,119,293,324,23,32,1420,485,171,168,218,372,151,3,34,1595,752,257,309,451,619,604,46,41,3086,1857,586,802,1450,3139,2828,84,163,10910,77,7,16,37,46,60,6,5,256,343,81,92,123,353,285,19,32,1315,399,84,114,173,403,423,32,89,1715,9595,2500,3279,4923,10791,10183,713,936,42912,23,12,15,22,78,257,63,102,572,3,0,0,4,0,6,0,0,13,58,25,27,47,Rest of NSW
1GSYD,100,140,173,148,10,10,820,12462,4447,4238,4569,6662,5494,487,546,38906,965,385,401,556,600,413,31,27,3380,8347,2813,3589,3406,4800,4736,410,536,28635,6197,2176,2873,3550,4635,3789,271,289,23788,11800,4308,6185,7232,11580,10868,861,877,53707,6637,2319,3613,5109,11563,17008,2319,1219,49781,10663,3550,4161,4434,6341,3804,322,523,33805,2989,1430,1765,2321,3192,3012,305,159,15175,9891,4652,5753,6804,7391,5721,521,435,41173,2756,829,1158,1494,1988,1392,76,120,9809,11009,5195,6515,8598,12232,14535,1893,817,60779,4721,1695,2117,2279,4199,5333,685,421,21441,8033,3253,3198,3349,3020,1682,92,258,22886,7917,3546,3986,4547,5097,4650,332,392,30476,19644,8025,9179,11336,17775,12826,632,1012,80421,1126,486,590,747,961,925,88,78,4994,5108,1692,1972,1918,3031,2702,227,296,16952,7209,2579,3333,3917,6214,6334,713,1528,31827,138315,53625,64880,76460,111723,105627,10295,9584,570509,272,126,105,73,149,143,13,26,913,18,0,8,3,9,11,3,0,49,2956,1039,994,785,Greater Sydney
2RVIC,9,9,19,14,0,7,66,455,113,167,271,683,645,62,64,2468,52,14,11,45,91,63,0,0,272,235,30,50,56,148,97,3,16,637,67,23,33,53,162,132,8,12,497,391,85,132,289,776,509,35,39,2242,485,118,180,312,1276,810,75,74,3328,122,35,40,55,383,112,4,13,770,26,9,8,20,28,31,0,0,116,52,7,20,35,63,43,0,5,236,49,4,7,5,20,8,0,0,96,172,55,76,131,281,169,8,20,924,146,35,50,49,175,220,22,36,743,245,59,68,137,221,103,3,9,848,310,77,150,264,452,291,33,16,1598,750,276,459,840,2136,1522,59,91,6130,32,15,7,15,35,45,3,4,161,134,23,35,61,291,145,32,22,748,218,40,64,120,299,222,17,82,1072,4420,1092,1678,2951,8051,5735,453,605,24983,52,28,34,38,130,274,35,76,671,0,0,0,0,0,0,0,0,0,27,6,21,26,Rest of Vic.
2GMEL,64,94,125,92,9,11,618,12916,4218,3547,4838,9346,6567,471,594,42486,788,275,372,737,1208,714,49,50,4197,5258,1424,1801,2281,4077,3171,157,272,18443,4035,1204,1511,2319,3848,2890,190,186,16183,8404,2824,3620,5108,10011,8681,550,611,39805,5132,1562,2324,4052,11106,14494,1645,900,41215,7135,2149,2338,3509,7982,4159,257,423,27957,1788,628,848,1800,2440,1985,189,100,9775,4789,1837,2539,4234,5124,3080,202,233,22040,1708,445,624,1131,1755,1153,58,94,6975,7325,3038,3829,6420,10153,10715,1146,525,43153,3410,992,1150,1779,4197,5619,627,392,18159,5062,1463,1515,2107,2813,1487,56,162,14665,6164,2284,2874,4070,6152,5413,357,307,27622,13472,5293,5730,9173,17831,11758,491,784,64526,944,327,570,791,1185,907,56,59,4837,3762,1147,1155,1547,3812,2702,251,274,14655,5388,1624,2011,2963,5914,5420,475,1093,24886,98185,32902,38584,59183,109591,91459,7262,7111,444280,156,82,60,93,190,296,10,34,922,3,3,0,3,5,6,0,0,29,2591,1069,730,786,Greater Melbourne
3GBRI,113,242,448,353,21,13,1434,2073,813,936,1278,2822,1968,151,193,10240,161,84,128,218,326,144,3,16,1077,1168,405,557,721,1199,931,47,73,5112,633,295,390,561,995,814,45,46,3778,1681,699,1020,1383,2719,2397,131,139,10171,1349,561,803,1421,3668,5014,614,342,13780,1294,573,742,993,2715,1490,70,91,7964,250,123,160,248,417,388,34,10,1632,677,317,450,706,1024,684,37,27,3919,505,219,314,415,610,425,17,35,2538,1630,822,1112,1916,3239,2592,224,124,11655,689,315,381,587,1405,2149,266,141,5935,1450,659,849,1013,1262,544,36,57,5871,1644,871,1113,1533,2364,2082,113,118,9837,3662,1804,2179,3401,7547,4333,168,253,23351,236,92,89,175,307,261,16,22,1200,751,304,380,515,1161,1063,79,95,4340,960,362,545,828,1641,1601,189,321,6448,21183,9458,12344,18240,36090,29542,2345,2189,131398,89,32,26,39,75,264,146,140,819,3,3,0,0,7,12,0,3,34,398,158,141,195,Greater Brisbane
3RQLD,84,166,488,277,5,17,1221,533,166,280,443,1216,1067,47,65,3815,62,17,31,63,144,55,3,3,377,512,176,233,302,627,533,31,45,2450,175,59,77,146,357,250,14,17,1100,811,312,506,664,1556,1235,82,98,5260,1219,462,699,1113,3364,3952,398,286,11487,384,159,185,268,905,402,18,38,2368,73,19,54,60,101,103,6,13,432,156,44,79,131,220,148,9,4,788,299,86,113,194,242,207,10,16,1160,493,172,296,503,904,617,45,17,3047,443,173,244,323,737,980,112,82,3103,415,139,228,277,561,227,8,30,1889,727,336,449,671,1035,817,59,57,4141,1653,723,1024,1804,4283,2952,154,172,12769,217,85,111,163,251,253,23,26,1121,363,119,163,255,686,563,34,53,2226,450,122,263,326,746,764,88,156,2918,9552,3502,5230,8027,19073,16496,1408,1455,64751,57,27,25,33,102,545,151,302,1236,4,3,0,0,11,10,0,4,30,31,13,27,96,Rest of Qld
4RSAU,12,31,80,50,3,0,223,85,27,27,61,239,337,22,42,827,3,0,0,3,7,3,0,0,19,47,9,10,18,39,36,0,3,158,11,0,5,25,68,97,10,11,229,62,5,32,44,141,106,0,5,398,80,17,24,43,160,146,13,16,509,24,3,3,10,28,15,0,3,90,3,0,0,0,5,0,0,0,11,3,0,4,0,9,10,0,0,27,15,0,0,0,3,0,0,0,19,23,9,4,13,24,12,0,0,88,20,9,7,7,52,83,4,10,190,28,10,9,17,32,21,0,3,125,58,9,22,43,64,56,3,7,261,109,41,59,129,386,260,0,17,1002,5,0,4,3,4,4,0,0,17,22,0,5,8,32,38,3,3,109,36,6,12,16,57,57,4,16,202,837,173,261,520,1622,1597,121,173,5303,30,7,5,16,49,154,29,28,317,3,0,0,0,0,0,0,0,3,3,0,3,14,Rest of SA
4GADE,17,46,76,60,3,3,272,1627,469,386,625,1684,1308,83,91,6271,133,44,48,113,223,119,6,11,706,837,196,234,341,663,407,16,38,2739,456,122,97,193,500,416,25,22,1833,1253,287,423,658,1801,1243,80,74,5813,957,207,391,715,2469,2390,215,120,7469,581,174,185,286,1374,499,25,52,3166,148,52,52,94,255,265,26,13,898,389,110,129,232,421,294,12,19,1605,236,30,46,78,182,104,6,8,691,841,279,378,645,1271,1085,104,39,4646,439,134,177,248,805,1026,97,56,2974,872,297,291,442,732,329,10,41,3012,1036,371,442,661,1292,991,60,51,4892,2503,866,907,1948,5871,3379,137,146,15763,105,36,48,73,139,104,13,10,532,598,179,167,235,712,551,50,36,2524,533,120,151,342,746,614,61,112,2680,13949,4043,4622,8042,21433,15421,1041,975,69522,235,90,49,41,129,163,6,24,746,0,0,0,0,0,0,0,0,3,278,99,78,78,Greater Adelaide
5GPER,350,647,1464,968,44,36,4306,1629,570,586,954,3156,2638,97,124,9754,225,73,120,241,535,285,14,17,1508,1472,389,609,900,2222,2082,73,112,7857,674,198,279,418,1183,1035,39,43,3871,1987,672,1071,1472,3959,3894,238,178,13468,1586,559,816,1456,5198,6916,571,322,17420,1085,453,677,899,2761,1496,60,103,7527,194,70,108,164,380,349,25,18,1298,650,235,378,584,836,569,16,37,3304,473,129,135,252,468,406,21,24,1899,1643,756,1053,1861,3390,2561,157,88,11501,691,260,358,508,1366,2472,276,113,6047,1557,540,642,981,1651,920,31,72,6391,1803,760,956,1302,2312,1813,91,104,9148,3576,1387,1697,2925,7555,5904,216,237,23493,371,134,172,269,537,405,24,38,1946,834,289,346,490,1614,1607,108,61,5348,1106,371,512,776,1972,1911,146,326,7115,22342,8160,10914,17181,42746,38461,2285,2070,144154,128,50,25,22,110,125,60,39,556,10,3,8,5,36,33,3,3,97,296,122,85,127,Greater Perth
5RWAU,225,439,1228,634,9,39,3134,97,42,58,131,429,530,41,39,1366,26,6,10,33,107,43,3,4,232,242,65,93,214,511,351,4,19,1499,16,5,10,19,112,113,6,11,290,109,39,63,99,417,489,34,42,1290,165,67,85,157,801,934,88,79,2383,84,23,30,64,201,171,4,11,604,9,0,4,8,24,31,3,3,75,13,0,5,18,21,30,0,3,86,18,0,11,12,48,74,0,0,170,84,22,43,96,255,231,6,10,743,75,25,33,56,160,246,33,19,655,108,30,46,78,218,126,3,17,633,137,45,76,132,245,160,3,18,825,213,57,123,276,933,786,27,36,2461,16,4,7,11,21,28,0,0,84,51,13,26,48,182,147,3,14,482,106,27,46,84,276,256,23,50,870,2155,640,1036,2023,6376,5741,389,500,18858,53,10,16,8,23,115,56,87,367,9,0,6,8,16,29,4,0,68,4,0,3,6,Rest of WA
