gcc_name16,gcc_code16,m_y12_equivalent_indigenous,m_y12_equivalent_non_indig,m_y12_equiv_indigstat_ns,m_y12_equivalent_tot,m_y11_equivalent_indigenous,m_y11_equiv_non_indig,m_y11_equiv_indigstat_ns,m_y11_equivalent_tot,m_y10_equivalent_indigenous,m_y10_equiv_non_indig,m_y10_equiv_indigstat_ns,m_y10_equivalent_tot,m_y9_equivalent_indigenous,m_y9_equiv_non_indig,m_y9_equiv_indigstat_ns,m_y9_equivalent_tot,m_y8_below_indigenous,m_y8_below_non_indig,m_y8_below_indigstat_ns,m_y8_below_tot,m_did_not_go_to_school_indig,m_did_not_go_to_sch_non_indig,m_di_no_go_to_sch_indst_ns,m_did_not_go_to_school_tot,m_highest_yr_school_ns_indig,m_highest_yr_sch_ns_non_indig,m_highe_yr_sch_ns_indst_ns,m_highest_yr_school_ns_tot,m_tot_indigenous,m_tot_non_indigenous,m_tot_indigstat_ns,m_tot_tot,f_y12_equivalent_indigenous,f_y12_equivalent_non_indig,f_y12_equiv_indigstat_ns,f_y12_equivalent_tot,f_y11_equivalent_indigenous,f_y11_equiv_non_indig,f_y11_equiv_indigstat_ns,f_y11_equivalent_tot,f_y10_equivalent_indigenous,f_y10_equiv_non_indig,f_y10_equiv_indigstat_ns,f_y10_equivalent_tot,f_y9_equivalent_indigenous,f_y9_equiv_non_indig,f_y9_equiv_indigstat_ns,f_y9_equivalent_tot,f_y8_below_indigenous,f_y8_below_non_indig,f_y8_below_indigstat_ns,f_y8_below_tot,f_did_not_go_to_school_indig,f_did_not_go_to_sch_non_indig,f_di_no_go_to_sch_indst_ns,f_did_not_go_to_school_tot,f_highest_yr_school_ns_indig,f_highest_yr_sch_ns_non_indig,f_highe_yr_sch_ns_indst_ns,f_highest_yr_school_ns_tot,f_tot_indigenous,f_tot_non_indigenous,f_tot_indigstat_ns,f_tot_tot,p_y12_equivalent_indigenous,p_y12_equivalent_non_indig,p_y12_equiv_indigstat_ns,p_y12_equivalent_tot,p_y11_equivalent_indigenous,p_y11_equiv_non_indig,p_y11_equiv_indigstat_ns,p_y11_equivalent_tot,p_y10_equivalent_indigenous,p_y10_equiv_non_indig,p_y10_equiv_indigstat_ns,p_y10_equivalent_tot,p_y9_equivalent_indigenous,p_y9_equiv_non_indig,p_y9_equiv_indigstat_ns,p_y9_equivalent_tot,p_y8_below_indigenous,p_y8_below_non_indig,p_y8_below_indigstat_ns,p_y8_below_tot,p_did_not_go_to_school_indig,p_did_not_go_to_sch_non_indig,p_di_no_go_to_sch_indst_ns,p_did_not_go_to_school_tot,p_highest_yr_school_ns_indig,p_highest_yr_sch_ns_non_indig,p_highe_yr_sch_ns_indst_ns,p_highest_yr_school_ns_tot,p_tot_indigenous,p_tot_non_indigenous,p_tot_indigstat_ns,p_tot_tot
Rest of NSW,1RNSW,9998,363443,2514,375958,3805,63601,659,68062,13716,293540,3025,310286,5582,78385,967,84931,4272,53552,840,58661,352,3867,99,4317,4283,37300,64466,106043,42011,893682,72566,1008256,13013,419874,3001,435887,4256,60564,580,65404,14487,291825,3078,309392,5924,79938,1023,86891,3549,49598,871,54015,268,3781,84,4140,2859,38830,63946,105635,44365,944409,72584,1061355,23018,783315,5517,811849,8057,124164,1239,133469,28207,585361,6101,619671,11510,158322,1992,171815,7823,103147,1705,112675,620,7649,180,8455,7141,76129,128407,211681,86379,1838089,145148,2069613
Greater Sydney,1GSYD,7238,1124566,4751,1136550,1680,77035,536,79250,6342,297848,2144,306335,2253,67438,631,70329,1345,66387,633,68361,192,21924,186,22298,1773,44712,100538,147021,20825,1699904,109417,1830152,8777,1183956,5033,1197767,1883,69096,494,71473,6662,307770,2272,316705,2378,75767,711,78859,1423,80698,826,82947,138,30215,236,30588,1233,48846,99650,149725,22488,1796352,109225,1928068,16012,2308515,9789,2334316,3568,146130,1032,150728,13000,605623,4416,623040,4638,143207,1347,149183,2770,147087,1457,151314,325,52137,423,52886,3003,93556,200179,296744,43317,3496258,218643,3758218
Rest of Vic.,2RVIC,1665,197060,1523,200245,931,86016,789,87735,1598,107747,1199,110547,872,44975,547,46399,709,35443,640,36789,81,2956,61,3098,713,22490,35993,59194,6564,496682,40743,543992,2231,248530,1902,252670,1102,85130,768,86999,1637,95082,1105,97826,870,39275,577,40722,652,35582,683,36910,61,2783,52,2901,481,21839,37077,59403,7033,528225,42172,577429,3892,445595,3423,452911,2035,171149,1552,174731,3236,202822,2305,208368,1742,84254,1122,87119,1355,71023,1323,73704,146,5737,115,5991,1190,44332,73069,118593,13603,1024906,82912,1121426
Greater Melbourne,2GMEL,3038,1025123,5088,1033244,1070,168021,1228,170323,1643,191468,1670,194786,623,70073,741,71435,541,75868,984,77395,107,20133,224,20465,582,40013,90964,131558,7600,1590695,100897,1699202,3730,1120840,5610,1130177,1020,158759,1297,161079,1518,174735,1577,177827,624,68025,758,69406,473,100386,1303,102165,65,27607,295,27968,413,45865,93104,139387,7845,1696204,103949,1808002,6766,2145959,10697,2163419,2098,326772,2534,331399,3158,366202,3251,372611,1245,138097,1500,140839,1017,176254,2286,179553,177,47738,518,48435,996,85877,184065,270941,15451,3286902,204849,3507205
Greater Brisbane,3GBRI,6639,488921,2260,497821,1356,51613,385,53351,3904,156231,1145,161275,1301,29592,289,31174,1044,33275,438,34756,131,4769,48,4949,1421,21451,46483,69350,15791,785842,51046,852677,7830,525270,2361,535460,1573,47886,337,49796,4254,166966,1283,172510,1219,28082,302,29604,965,38908,501,40372,111,5663,91,5863,766,21944,45688,68391,16716,834730,50556,902000,14469,1014190,4621,1033276,2928,99500,724,103150,8156,323200,2431,333784,2519,57675,582,60779,2012,72185,939,75128,239,10434,137,10814,2181,43388,92171,137746,32502,1620570,101601,1754671
Rest of Qld,3RQLD,12477,388411,2444,403327,3810,68066,547,72421,10448,224928,2019,237397,3359,44939,497,48794,3555,48709,700,52960,444,3359,92,3899,3612,25197,71602,100415,37701,803619,77897,919216,15112,441532,2775,459407,4877,64653,568,70103,11166,224596,2059,237819,3152,39292,492,42941,3237,45538,731,49502,371,3145,61,3574,2530,27223,65071,94822,40448,845972,71752,958174,27582,829938,5216,862739,8689,132722,1114,142527,21613,449520,4079,475213,6515,84234,988,91730,6790,94251,1425,102465,815,6508,154,7481,6142,52418,136673,195243,78148,1649591,149649,1877391
Rest of SA,4RSAU,798,44937,426,46159,879,31661,328,32873,1069,29809,359,31232,503,10095,137,10726,487,10623,197,11315,80,688,18,785,928,6497,8971,16391,4744,134310,10434,149491,1191,55015,508,56711,1041,28593,300,29935,1098,26646,320,28064,447,8336,130,8911,440,9521,196,10152,59,489,12,558,599,5540,8418,14556,4867,134151,9878,148897,1991,99951,936,102877,1918,60260,632,62810,2169,56456,679,59297,948,18433,262,19644,925,20149,389,21464,142,1175,27,1337,1521,12037,17387,30947,9611,268459,20308,298385
Greater Adelaide,4GADE,1712,258309,1447,261473,1016,81217,606,82839,1155,66795,566,68517,415,19065,215,19693,356,21411,290,22052,54,4555,57,4663,461,12332,22037,34830,5175,463671,25224,494066,2180,282579,1469,286231,1263,76045,569,77875,1217,71062,669,72943,394,20364,267,21019,327,27177,406,27915,46,5889,82,6014,360,14205,22178,36738,5783,497327,25631,528740,3897,540885,2916,547701,2277,157256,1179,160715,2365,137860,1237,141465,803,39424,484,40708,686,48587,696,49964,98,10444,143,10680,820,26536,44215,71571,10950,960996,50861,1022803
Greater Perth,5GPER,2861,411808,1818,416486,1218,63804,410,65426,2503,137246,954,140699,665,24692,205,25568,427,20468,271,21165,113,4529,55,4709,1716,20085,44934,66741,9509,682631,48638,740783,3420,442059,1889,447371,1289,62024,414,63727,2780,135380,1040,139202,641,23742,247,24636,450,23967,272,24681,81,5493,36,5608,791,21174,40928,62899,9457,713843,44825,768123,6284,853869,3706,863861,2508,125825,818,129154,5281,272629,1989,279897,1309,48436,458,50200,878,44434,540,45845,195,10025,95,10313,2510,41261,85860,129637,18964,1396477,93467,1508901
Rest of WA,5RWAU,2888,72786,559,76226,1764,21608,203,23574,3911,53425,536,57873,1191,10196,117,11510,1216,7333,121,8669,285,737,14,1038,2312,6645,20900,29859,13573,172730,22447,208747,3429,80471,613,84512,2218,19860,196,22280,4283,43148,467,47899,1138,7351,112,8599,1134,5646,113,6888,331,526,12,869,1629,5540,15958,23128,14160,162543,17471,194174,6312,153256,1172,160740,3985,41473,398,45852,8196,96573,1001,105774,2331,17547,231,20105,2348,12975,232,15560,616,1266,28,1908,3947,12178,36856,52985,27739,335266,39920,402921
Greater Hobart,6GHOB,794,38618,261,39665,255,6119,59,6425,899,20863,196,21961,244,4523,74,4839,146,2824,62,3035,15,381,10,405,177,2558,4387,7121,2531,75880,5051,83457,1009,43194,265,44468,338,6708,62,7115,895,22040,238,23174,232,4926,86,5246,128,3301,68,3493,13,406,3,422,123,2660,4510,7293,2744,83226,5245,91215,1797,81807,522,84135,593,12824,125,13543,1800,42906,434,45137,479,9446,163,10082,277,6123,131,6533,34,791,15,836,304,5210,8898,14411,5275,159106,10292,174672
Rest of Tas.,6RTAS,917,32815,279,34009,482,8403,85,8975,1877,37698,446,40029,519,9577,153,10249,352,5805,106,6263,24,473,9,503,245,3790,6761,10800,4419,98559,7848,110823,1406,39767,340,41518,607,9796,96,10495,1892,35651,387,37936,469,8855,176,9500,244,5212,115,5567,14,480,8,498,228,4342,6742,11315,4856,104110,7864,116831,2327,72589,618,75529,1090,18198,175,19466,3771,73348,836,77965,986,18431,327,19746,594,11020,220,11830,38,951,20,1005,474,8131,13506,22115,9276,202665,15712,227660
Rest of NT,7RNTE,2112,7597,81,9783,1666,1887,22,3573,2985,3170,69,6219,1704,743,18,2467,2843,561,17,3417,696,62,3,764,2543,575,3253,6372,14551,14586,3467,32600,2553,8805,84,11442,2151,1467,30,3646,3322,2254,51,5626,1787,412,10,2207,2979,316,14,3307,712,37,5,754,2153,422,2905,5477,15663,13709,3092,32472,4665,16398,166,21230,3815,3352,51,7216,6305,5419,124,11851,3492,1156,29,4676,5822,874,34,6727,1410,102,9,1521,4697,994,6155,11848,30213,28297,6560,65071
Greater Darwin,7GDAR,1016,25442,189,26646,592,5920,63,6580,818,8772,102,9689,227,1595,20,1839,247,1345,28,1616,42,267,3,316,955,1401,6674,9041,3898,44740,7084,55716,1238,26423,191,27853,640,4285,50,4975,866,6206,75,7148,275,1176,17,1468,250,1294,25,1569,38,315,9,359,345,950,4799,6095,3651,40644,5164,49466,2254,51862,380,54495,1234,10205,117,11558,1684,14980,176,16842,497,2770,37,3308,497,2636,53,3182,84,581,13,673,1298,2355,11476,15129,7548,85388,12246,105186
Australian Capital Territory,8ACTE,1057,107993,428,109476,147,5779,43,5962,452,16569,128,17148,119,3110,27,3259,77,2734,24,2839,16,591,6,612,140,2630,7976,10750,2013,139400,8631,150042,1134,111967,463,113565,167,5642,48,5853,475,19512,133,20124,134,3842,36,4015,77,3706,37,3824,14,762,6,775,86,2911,7716,10709,2088,148342,8440,158864,2194,219962,889,223040,314,11417,84,11813,934,36079,263,37267,258,6954,62,7270,154,6438,65,6659,24,1352,11,1391,228,5538,15692,21463,4097,287742,17070,308907
Other Territories,9OTER,11,653,7,680,8,104,3,117,16,356,0,374,9,76,0,86,7,108,0,115,0,61,3,67,14,305,192,514,75,1665,210,1955,24,715,10,751,6,100,0,105,20,310,4,331,10,37,0,48,4,68,0,75,0,74,0,74,22,59,163,241,85,1363,182,1630,40,1373,15,1425,12,204,3,219,35,664,10,708,15,116,0,135,10,178,3,186,0,136,3,144,33,363,356,751,158,3031,392,3579
