gcc_name16,gcc_code16,m_natphysci_occ_mng,m_natphysci_occ_pro,m_natphysci_occ_ttw,m_natphysci_occ_cps,m_natphysci_occ_ca,m_natphysci_occ_sal,m_natphysci_occ_mod,m_natphysci_occ_lab,m_natphysci_occ_idns,m_natphysci_total,m_infotechn_occ_mng,m_infotechn_occ_pro,m_infotechn_occ_ttw,m_infotechn_occ_cps,m_infotechn_occ_ca,m_infotechn_occ_sal,m_infotechn_occ_mod,m_infotechn_occ_lab,m_infotechn_occ_idns,m_infotechn_total,m_engreltech_occ_mng,m_engreltech_occ_pro,m_engreltech_occ_ttw,m_engreltech_occ_cps,m_engreltech_occ_ca,m_engreltech_occ_sal,m_engreltech_occ_mod,m_engreltech_occ_lab,m_engreltech_occ_idns,m_engreltech_total,m_architbuild_occ_mng,m_architbuild_occ_pro,m_architbuild_occ_ttw,m_architbuild_occ_cps,m_architbuild_occ_ca,m_architbuild_occ_sal,m_architbuild_occ_mod,m_architbuild_occ_lab,m_architbuild_occ_idns,m_architbuild_total,m_agrienvirelstu_occ_mng,m_agrienvirelstu_occ_pro,m_agrienvirelstu_occ_ttw,m_agrienvirelstu_occ_cps,m_agrienvirelstu_occ_ca,m_agrienvirelstu_occ_sal,m_agrienvirelstu_occ_mod,m_agrienvirelstu_occ_lab,m_agrienvirelstu_occ_idns,m_agrienvirelstu_total,m_health_occ_mng,m_health_occ_pro,m_health_occ_ttw,m_health_occ_cps,m_health_occ_ca,m_health_occ_sal,m_health_occ_mod,m_health_occ_lab,m_health_occ_idns,m_health_total,m_educat_occ_mng,m_educat_occ_pro,m_educat_occ_ttw,m_educat_occ_cps,m_educat_occ_ca,m_educat_occ_sal,m_educat_occ_mod,m_educat_occ_lab,m_educat_occ_idns,m_educat_total,m_managcom_occ_mng,m_managcom_occ_pro,m_managcom_occ_ttw,m_managcom_occ_cps,m_managcom_occ_ca,m_managcom_occ_sal,m_managcom_occ_mod,m_managcom_occ_lab,m_managcom_occ_idns,m_managcom_total,m_societcultu_occ_mng,m_societcultu_occ_pro,m_societcultu_occ_ttw,m_societcultu_occ_cps,m_societcultu_occ_ca,m_societcultu_occ_sal,m_societcultu_occ_mod,m_societcultu_occ_lab,m_societcultu_occ_idns,m_societcultu_total,m_creatart_occ_mng,m_creatart_occ_pro,m_creatart_occ_ttw,m_creatart_occ_cps,m_creatart_occ_ca,m_creatart_occ_sal,m_creatart_occ_mod,m_creatart_occ_lab,m_creatart_occ_idns,m_creatart_total,m_foodhosppersserv_occ_mng,m_foodhosppersserv_occ_pro,m_foodhosppersserv_occ_ttw,m_foodhosppersserv_occ_cps,m_foodhosppersserv_occ_ca,m_foodhosppersserv_occ_sal,m_foodhosppersserv_occ_mod,m_foodhosppersserv_occ_lab,m_foodhosppersserv_occ_idns,m_foodhosppersserv_total,m_mixfieldprog_occ_mng,m_mixfieldprog_occ_pro,m_mixfieldprog_occ_ttw,m_mixfieldprog_occ_cps,m_mixfieldprog_occ_ca,m_mixfieldprog_occ_sal,m_mixfieldprog_occ_mod,m_mixfieldprog_occ_lab,m_mixfieldprog_occ_idns,m_mixfieldprog_total,m_fs_id_occ_mng,m_fs_id_occ_pro,m_fs_id_occ_ttw,m_fs_id_occ_cps,m_fs_id_occ_ca,m_fs_id_occ_sal,m_fs_id_occ_mod,m_fs_id_occ_lab,m_fs_id_occ_idns,m_fs_id_total,m_fs_ns_occ_mng,m_fs_ns_occ_pro,m_fs_ns_occ_ttw,m_fs_ns_occ_cps,m_fs_ns_occ_ca,m_fs_ns_occ_sal,m_fs_ns_occ_mod,m_fs_ns_occ_lab,m_fs_ns_occ_idns,m_fs_ns_total,m_tot_occ_mng,m_tot_occ_pro,m_tot_occ_ttw,m_tot_occ_cps,m_tot_occ_ca,m_tot_occ_sal,m_tot_occ_mod,m_tot_occ_lab,m_tot_occ_idns,m_total_total,f_natphysci_occ_mng,f_natphysci_occ_pro,f_natphysci_occ_ttw,f_natphysci_occ_cps,f_natphysci_occ_ca,f_natphysci_occ_sal,f_natphysci_occ_mod,f_natphysci_occ_lab,f_natphysci_occ_idns,f_natphysci_total,f_infotechn_occ_mng,f_infotechn_occ_pro,f_infotechn_occ_ttw,f_infotechn_occ_cps,f_infotechn_occ_ca,f_infotechn_occ_sal,f_infotechn_occ_mod,f_infotechn_occ_lab,f_infotechn_occ_idns,f_infotechn_total,f_engreltech_occ_mng,f_engreltech_occ_pro,f_engreltech_occ_ttw,f_engreltech_occ_cps,f_engreltech_occ_ca,f_engreltech_occ_sal,f_engreltech_occ_mod,f_engreltech_occ_lab,f_engreltech_occ_idns,f_engreltech_total,f_architbuild_occ_mng,f_architbuild_occ_pro,f_architbuild_occ_ttw,f_architbuild_occ_cps,f_architbuild_occ_ca,f_architbuild_occ_sal,f_architbuild_occ_mod,f_architbuild_occ_lab,f_architbuild_occ_idns,f_architbuild_total,f_agrienvirelstu_occ_mng,f_agrienvirelstu_occ_pro,f_agrienvirelstu_occ_ttw,f_agrienvirelstu_occ_cps,f_agrienvirelstu_occ_ca,f_agrienvirelstu_occ_sal,f_agrienvirelstu_occ_mod,f_agrienvirelstu_occ_lab,f_agrienvirelstu_occ_idns,f_agrienvirelstu_total
Rest of NSW,1RNSW,1537,3829,853,454,429,271,216,423,108,8117,1519,3489,1675,354,625,535,305,666,141,9306,15662,12910,57876,3444,4017,3790,15999,10939,1818,126460,9080,1776,26469,1126,1056,1199,4109,5931,628,51376,7664,2475,4659,596,718,858,2013,3793,334,23093,1583,12413,763,3296,384,323,483,611,175,20034,2526,11028,774,1181,465,301,592,475,116,17464,13649,10148,2531,2159,5130,5311,2619,2539,624,44717,3334,7534,1066,8670,1569,864,941,1343,373,25684,929,2754,1199,592,415,571,350,631,87,7530,2167,292,7679,1135,472,993,1893,2279,175,17085,61,57,69,34,16,41,69,136,24,514,798,655,840,413,290,187,798,552,220,4753,1814,700,3131,747,430,846,2240,2587,1627,14129,62327,70056,109583,24189,16020,16091,32629,32904,6454,370250,977,3061,1090,653,1081,367,49,285,73,7644,370,754,223,224,793,220,25,184,37,2834,685,1129,873,405,822,444,463,843,74,5740,287,846,458,180,417,232,41,107,23,2593,1419,1464,916,678,1263,598,155,1039,76,7609
Greater Sydney,1GSYD,5526,13013,2368,1224,1899,1324,1096,1153,406,28016,11751,33621,7829,1696,4135,2994,2890,2515,1152,68587,30219,40811,72295,4901,10403,7532,18015,13594,2895,200663,15320,7597,41795,1322,2797,1746,3875,7313,1053,82812,2103,1786,5475,546,798,627,1225,2358,224,15136,3040,27615,1484,5007,1154,920,971,1054,417,41667,3335,15751,988,1777,972,661,891,721,217,25315,56436,62786,8630,8154,25792,20283,10168,8773,3392,204414,12327,31817,3042,14241,6773,3517,2904,3065,1242,78936,4353,16086,4157,1960,2274,2606,1336,1703,423,34900,4114,825,13445,2384,1285,1760,2753,2518,316,29394,131,112,258,111,73,99,215,331,55,1385,1936,2468,1659,805,994,642,1537,953,494,11486,2203,2009,4056,1136,1109,1250,2764,2662,3828,21030,152804,256303,167490,45277,60459,45958,50636,48715,16108,843750,3634,11394,2685,2134,4501,1738,191,758,334,27375,2639,8580,1073,1034,3679,1126,193,579,353,19266,2458,6275,1952,1181,2961,1386,659,1395,279,18544,1109,5095,1232,480,1226,850,64,206,92,10350,733,1426,913,529,1051,506,91,532,64,5846
Rest of Vic.,2RVIC,964,1822,404,217,215,165,148,325,66,4328,911,2024,938,182,336,270,215,318,88,5275,8605,5597,28787,1582,1786,1949,7298,6382,906,62893,5247,891,16569,610,490,681,2074,3481,399,30448,6678,1468,2763,372,444,579,1388,2296,201,16173,857,6433,448,1978,247,183,221,363,93,10830,1639,6519,515,852,329,225,372,357,108,10915,7442,5824,1413,1163,2592,2492,1338,1523,317,24098,1577,3429,637,4271,763,511,473,978,162,12790,533,1595,668,327,227,378,226,457,54,4455,1325,184,4221,589,277,554,896,1429,89,9559,44,33,32,15,12,15,41,79,14,279,580,478,477,389,177,152,390,337,115,3088,1443,414,1949,409,268,506,1284,1595,1007,8867,37828,36699,59814,12946,8164,8662,16351,19922,3609,204000,642,1667,574,408,570,252,17,179,35,4343,177,355,111,103,388,103,7,73,15,1335,365,550,435,205,415,255,182,535,44,2990,172,482,339,118,229,193,13,63,13,1615,1158,792,610,399,701,402,93,766,55,4978
Greater Melbourne,2GMEL,5489,12957,2133,1305,1717,1359,930,1204,353,27449,10862,29777,6556,1649,3951,2973,2552,2763,985,62066,28778,37623,71419,4439,9098,7141,17107,14885,2549,193044,11988,6696,47023,1187,2224,1833,3745,6979,940,82610,2432,1662,5525,544,752,666,1153,2001,221,14955,2802,24900,1524,5357,1090,967,894,1160,357,39041,3473,16342,1071,1946,991,721,806,797,205,26361,46267,48778,7209,7116,22129,15934,9215,7737,2357,166740,9540,24038,2840,12438,5815,3345,2803,3286,1004,65114,4035,14475,4112,2284,2389,3021,1377,1972,364,34022,4110,822,13747,2536,1387,1950,3016,2970,276,30815,98,80,174,81,64,88,177,270,50,1088,2110,2613,1757,1188,1099,738,1431,970,461,12364,2190,1843,4661,1075,1027,1279,2698,2613,3198,20587,134179,222590,169762,43138,53730,42007,47897,49613,13329,776254,3740,12403,2747,2393,4204,2062,182,867,346,28938,2362,7491,1013,1135,3237,1079,156,701,261,17442,2305,5772,1793,1206,2340,1297,681,1506,218,17107,1106,4819,1470,458,1311,968,52,224,76,10484,867,1402,1293,596,1149,651,100,629,98,6789
Greater Brisbane,3GBRI,1937,5964,1106,547,632,458,341,512,137,11643,3475,10871,2833,556,1282,913,786,1015,356,22096,14053,19992,45414,2570,4662,3666,9155,8169,1295,108967,6388,3466,22746,783,1456,1010,2447,4938,511,43747,1197,1224,2243,293,512,341,734,1569,111,8225,1599,14044,762,2808,555,408,437,617,207,21430,1737,7870,526,894,547,301,468,402,130,12879,19567,18890,3641,3147,9596,6734,5088,4140,957,71762,3950,10867,1563,7595,2894,1571,1522,1961,426,32347,1404,4682,1753,897,997,1157,610,931,129,12561,1808,400,6223,1154,665,1000,1526,1793,135,14715,54,41,94,63,43,78,87,156,19,632,820,937,855,567,409,265,856,540,260,5506,892,713,2121,521,522,553,1487,1590,1611,10018,58888,99980,91887,22391,24764,18461,25530,28335,6281,376515,1137,5285,1192,808,1357,527,52,335,107,10796,680,2238,308,381,957,343,37,257,78,5282,756,2534,963,539,911,458,322,1107,79,7667,415,1980,542,193,607,379,27,130,28,4302,461,928,420,303,611,309,63,340,40,3474
Rest of Qld,3RQLD,1160,2806,817,400,329,279,226,399,94,6510,1341,2967,1604,359,497,582,395,632,145,8513,14638,12109,61184,2916,3545,4011,14507,9960,1677,124539,8103,1822,27004,1039,1219,1229,4123,6641,684,51860,3464,1855,3250,417,583,630,1559,2802,194,14756,1403,12653,763,3266,414,351,534,600,187,20174,2016,8947,684,1005,389,293,716,420,113,14587,12237,9500,3120,2691,4541,5022,2950,2926,636,43619,2496,5649,1217,7107,1235,1181,1095,1704,278,21957,770,2320,1205,557,344,679,350,635,76,6940,2411,373,8272,1376,499,1161,2040,2319,151,18616,63,48,116,44,23,59,71,143,21,588,714,654,874,603,274,192,878,528,205,4917,1372,590,2867,636,351,728,1944,2231,1602,12329,52184,62301,112986,22423,14250,16395,31378,31938,6059,349909,724,2549,1004,692,964,407,48,301,62,6758,268,603,176,217,534,246,29,186,33,2290,581,1069,1035,478,719,466,461,890,64,5763,291,805,439,176,455,311,43,142,32,2695,842,1005,654,513,887,454,141,819,47,5364
Rest of SA,4RSAU,231,368,81,35,32,24,49,147,13,984,100,155,137,32,51,59,44,85,10,667,2504,1095,8600,369,432,519,2368,2176,261,18329,927,87,2517,92,76,99,450,663,74,4987,2144,453,632,81,104,147,404,932,67,4972,174,1018,85,345,53,22,92,107,18,1908,323,1360,64,106,41,30,88,62,12,2080,1461,809,286,211,449,577,376,448,79,4693,291,528,137,1044,133,89,123,243,31,2619,80,161,95,28,23,34,25,75,5,527,355,36,926,138,52,154,242,421,28,2355,8,3,13,7,0,7,15,37,3,84,93,62,96,56,25,15,135,97,29,606,418,88,462,103,54,119,378,504,204,2337,9133,6228,14132,2641,1511,1889,4786,6010,828,47158,131,234,97,60,88,33,8,72,9,726,25,36,16,15,67,20,3,25,0,207,98,105,87,57,115,83,52,173,10,782,29,46,26,15,47,14,5,15,4,198,342,217,157,98,212,109,32,248,10,1432
Greater Adelaide,4GADE,1176,3692,706,373,398,269,226,456,60,7354,1377,4624,1455,326,632,420,434,554,119,9947,7335,9061,24901,1693,2619,2151,4942,4839,730,58260,2813,1416,10738,404,603,530,981,1980,223,19689,855,709,1755,214,265,253,388,922,83,5451,773,8852,452,1919,306,242,248,372,99,13273,1053,5545,274,642,292,186,241,225,70,8533,10014,9487,1860,1956,5002,3792,1869,2071,490,36541,2048,5634,804,5327,1602,816,732,1114,255,18339,638,2383,942,489,419,529,292,503,70,6275,1132,174,3969,634,319,536,665,924,69,8414,24,17,36,15,13,6,31,65,17,230,409,494,427,344,238,153,409,263,121,2853,524,397,1185,314,247,367,679,749,697,5167,30167,52484,49497,14648,12960,10253,12155,15030,3112,200312,625,2872,825,536,735,328,24,244,61,6245,253,899,207,219,475,119,14,142,36,2351,379,1042,471,307,513,266,176,498,46,3693,248,842,300,156,341,265,17,94,23,2279,231,476,352,229,330,194,19,201,18,2054
Greater Perth,5GPER,2228,6657,1343,641,625,473,514,605,166,13253,2348,6835,2272,510,999,707,753,800,237,15467,14834,20157,51932,2867,4574,3347,10066,7818,1579,117188,4348,2530,20313,693,1198,730,2288,3553,535,36190,1149,1210,1905,256,335,299,753,1068,89,7060,1612,11226,889,2260,437,366,554,543,200,18086,1661,6754,501,749,417,242,505,370,105,11302,15563,16562,3033,2808,6637,4877,3228,2691,810,56216,3160,7956,1321,5252,1922,1074,1167,1410,353,23622,946,3197,1522,696,617,850,527,732,83,9163,1604,315,6236,995,534,693,1694,1390,129,13589,45,37,121,27,19,33,102,136,14,540,579,704,875,528,300,186,624,336,196,4328,763,586,2091,440,378,406,1217,1084,1248,8203,50828,84715,94362,18729,18995,14286,23989,22550,5742,334199,1033,5312,1529,1062,1456,791,94,427,107,11816,428,1343,313,321,796,276,32,286,62,3857,737,2440,1134,597,969,598,380,714,78,7635,351,1472,576,230,514,395,30,139,24,3734,405,1042,610,297,584,317,59,333,35,3670
Rest of WA,5RWAU,362,813,243,80,69,57,113,157,19,1914,157,260,267,55,66,78,112,152,19,1174,3767,3107,19949,620,795,600,4316,2912,583,36650,1242,269,4774,210,183,165,1242,1256,162,9501,1926,644,826,128,135,187,646,834,72,5402,346,1890,193,351,82,33,210,163,43,3310,530,1823,209,180,83,38,299,120,43,3335,2112,1281,709,342,590,584,654,482,111,6859,453,872,230,1076,152,123,225,306,45,3487,130,274,210,92,55,59,99,125,11,1052,429,64,1470,148,86,156,608,540,36,3535,13,6,35,3,3,9,19,28,10,127,124,140,208,134,32,34,275,109,46,1097,404,129,866,158,86,130,688,587,384,3433,11995,11579,30199,3589,2410,2252,9495,7772,1589,80884,218,586,308,154,217,89,34,108,7,1714,47,53,32,51,126,59,10,58,3,437,158,282,304,114,162,93,163,193,13,1485,63,120,93,45,94,50,10,27,9,510,396,378,264,163,312,160,81,305,14,2084
