gcc_code16,spks_eng_on_m,spks_eng_on_f,spks_eng_on_p,spks_othr_lang_afrikaans_m,spks_othr_lang_afrikaans_f,spks_othr_lang_afrikaans_p,spks_othr_lang_arabic_m,spks_othr_lang_arabic_f,spks_othr_lang_arabic_p,spks_othr_lang_aus_ind_lang_m,spks_othr_lang_aus_ind_lang_f,spks_othr_lang_aus_ind_lang_p,spks_othr_lan_chin_lan_cant_m,spks_othr_lan_chin_lan_cant_f,spks_othr_lan_chin_lan_cant_p,spks_othr_lan_chin_lan_mand_m,spks_othr_lan_chin_lan_mand_f,spks_othr_lan_chin_lan_mand_p,spks_othr_lan_chin_lan_othr_m,spks_othr_lan_chin_lan_othr_f,spks_othr_lan_chin_lan_othr_p,spks_othr_lan_chin_lan_tot_m,spks_othr_lan_chin_lan_tot_f,spks_othr_lan_chin_lan_tot_p,spks_othr_lang_croatian_m,spks_othr_lang_croatian_f,spks_othr_lang_croatian_p,spks_othr_lang_dutch_m,spks_othr_lang_dutch_f,spks_othr_lang_dutch_p,spks_othr_lang_french_m,spks_othr_lang_french_f,spks_othr_lang_french_p,spks_othr_lang_german_m,spks_othr_lang_german_f,spks_othr_lang_german_p,spks_othr_lang_greek_m,spks_othr_lang_greek_f,spks_othr_lang_greek_p,sp_oth_lan_indo_ary_lan_ben_m,sp_oth_lan_indo_ary_lan_ben_f,sp_oth_lan_indo_ary_lan_ben_p,sp_oth_lan_indo_ary_lan_hin_m,sp_oth_lan_indo_ary_lan_hin_f,sp_oth_lan_indo_ary_lan_hin_p,sp_oth_lan_ind_ary_lan_punj_m,sp_oth_lan_ind_ary_lan_punj_f,sp_oth_lan_ind_ary_lan_punj_p,sp_oth_lan_ind_ary_lan_sinh_m,sp_oth_lan_ind_ary_lan_sinh_f,sp_oth_lan_ind_ary_lan_sinh_p,sp_oth_lan_indo_ary_lan_urd_m,sp_oth_lan_indo_ary_lan_urd_f,sp_oth_lan_indo_ary_lan_urd_p,sp_oth_lan_indo_ary_lan_oth_m,sp_oth_lan_indo_ary_lan_oth_f,sp_oth_lan_indo_ary_lan_oth_p,sp_oth_lan_indo_ary_lan_tot_m,sp_oth_lan_indo_ary_lan_tot_f,sp_oth_lan_indo_ary_lan_tot_p,spks_other_lang_italian_m,spks_other_lang_italian_f,spks_other_lang_italian_p,spks_othr_lang_japanese_m,spks_othr_lang_japanese_f,spks_othr_lang_japanese_p,spks_othr_lang_korean_m,spks_othr_lang_korean_f,spks_othr_lang_korean_p,spks_othr_lang_macedonian_m,spks_othr_lang_macedonian_f,spks_othr_lang_macedonian_p,spks_other_lang_maltese_m,spks_other_lang_maltese_f,spks_other_lang_maltese_p,sp_oth_lan_persian_ex_dari_m,sp_oth_lan_persian_ex_dari_f,sp_oth_lan_persian_ex_dari_p,spks_othr_lang_polish_m,spks_othr_lang_polish_f,spks_othr_lang_polish_p,spks_other_lang_russian_m,spks_other_lang_russian_f,spks_other_lang_russian_p,spks_other_lang_samoan_m,spks_other_lang_samoan_f,spks_other_lang_samoan_p,spks_other_lang_serbian_m,spks_other_lang_serbian_f,spks_other_lang_serbian_p,sp_oth_la_se_as_au_la_fili_m,sp_oth_la_se_as_au_la_fili_f,sp_oth_la_se_as_au_la_fili_p,sp_oth_la_se_as_au_la_indo_m,sp_oth_la_se_as_au_la_indo_f,sp_oth_la_se_as_au_la_indo_p,sp_oth_la_se_as_au_la_tag_m,sp_oth_la_se_as_au_la_tag_f,sp_oth_la_se_as_au_la_tag_p,sp_oth_la_se_as_au_la_oth_m,sp_oth_la_se_as_au_la_oth_f,sp_oth_la_se_as_au_la_oth_p,sp_oth_la_se_as_au_la_tot_m,sp_oth_la_se_as_au_la_tot_f,sp_oth_la_se_as_au_la_tot_p,spks_other_lang_spanish_m,spks_other_lang_spanish_f,spks_other_lang_spanish_p,spks_other_lang_tamil_m,spks_other_lang_tamil_f,spks_other_lang_tamil_p,spks_other_lang_thai_m,spks_other_lang_thai_f,spks_other_lang_thai_p,spks_other_lang_turkish_m,spks_other_lang_turkish_f,spks_other_lang_turkish_p,spks_other_lang_vietnamese_m,spks_other_lang_vietnamese_f,spks_other_lang_vietnamese_p,spks_other_lang_other_m,spks_other_lang_other_f,spks_other_lang_other_p,spks_other_lang_tot_m,spks_other_lang_tot_f,spks_other_lang_tot_p,lang_spoken_home_ns_m,lang_spoken_home_ns_f,lang_spoken_home_ns_p,os_visitors_m,os_visitors_f,os_visitors_p,tot_m,tot_f,tot_p,gcc_name16
1RNSW,1135058,1172290,2307347,1202,1177,2376,3524,3137,6661,681,718,1400,2262,2297,4554,5211,5609,10814,567,491,1052,8040,8391,16424,1309,1335,2639,1247,1591,2835,1746,1952,3693,3160,3909,7067,2785,2765,5549,785,689,1472,1544,1420,2960,2631,2307,4942,632,634,1263,965,669,1639,1917,1792,3703,8470,7507,15972,6357,6560,12914,854,1231,2084,1084,1068,2148,4644,4517,9162,586,627,1213,700,580,1279,854,1209,2067,519,784,1301,575,522,1102,1436,1495,2934,937,1839,2776,579,778,1358,1448,3054,4503,413,644,1059,3378,6313,9691,3124,3477,6603,705,559,1261,1014,2174,3183,930,839,1770,1636,1942,3579,13717,13865,27580,74275,80236,154503,97599,90884,188485,6193,7537,13728,1313126,1350936,2664066,Rest of NSW
1GSYD,1395676,1411707,2807380,2651,2736,5390,98423,95615,194040,250,299,552,64823,73805,138629,104586,124318,228906,7948,9155,17103,177360,207279,384639,8906,9625,18532,2734,3130,5865,9650,10293,19944,7367,8568,15930,36580,39561,76140,16386,13799,30181,32148,31889,64043,15659,12858,28516,4962,5017,9980,15853,12210,28065,31830,28170,60001,116838,103950,220786,30314,32326,62642,6174,9031,15210,27489,30225,57718,9322,9636,18956,5331,5755,11088,10959,9804,20764,5350,6679,12029,7444,9987,17429,7358,8095,15452,8908,9627,18540,9102,12342,21442,13457,15157,28614,17087,23541,40625,2114,2754,4871,41764,53793,95556,26798,30026,56826,15030,13367,28402,7873,13755,21626,9932,9921,19856,46396,52933,99333,106150,106811,212954,833350,892839,1726190,144152,137702,281855,36364,45483,81846,2409538,2487728,4897269,Greater Sydney
2RVIC,599596,625006,1224605,444,449,894,1745,1509,3258,111,124,236,873,925,1802,3166,3567,6734,317,254,571,4358,4754,9111,1468,1550,3018,964,1220,2186,770,919,1692,1570,1951,3515,1689,1617,3309,290,251,538,965,828,1799,1832,1530,3360,599,553,1150,433,346,779,821,718,1537,4935,4229,9162,5085,5253,10334,439,608,1047,339,322,662,713,732,1446,484,474,953,435,371,804,473,679,1147,313,400,706,196,195,391,630,663,1292,725,1295,2020,300,461,762,817,1418,2239,334,469,804,2179,3642,5815,839,973,1818,450,352,799,427,841,1265,771,718,1492,987,1022,2010,9528,9250,18771,42347,44810,87157,52387,49765,102149,3501,4212,7717,697830,723790,1421625,Rest of Vic.
2GMEL,1359441,1400087,2759529,2319,2342,4669,38500,37814,76317,164,192,354,35725,40543,76270,83340,101601,184942,8801,9908,18715,127866,152052,279923,8219,9188,17408,2777,3436,6216,8268,9240,17504,7409,8545,15959,51458,55682,107136,5489,4951,10440,25882,23511,49386,29679,23102,52780,18433,17793,36224,13139,9295,22427,16440,14638,31077,109062,93285,202341,47090,54250,101341,4325,6084,10411,6986,7893,14882,13739,14269,28010,7403,8468,15869,8353,7281,15640,6002,7969,13968,7458,9459,16913,5427,5793,11217,7690,8062,15749,6574,9139,15718,7364,8662,16029,8749,12075,20818,3050,3758,6809,25738,33635,59378,16143,17520,33661,13326,11506,24834,3567,6840,10409,15074,15238,30315,47049,54296,101340,109653,107746,217398,701063,748098,1449162,124227,125763,249990,27943,37432,65378,2212679,2311375,4524054,Greater Melbourne
3GBRI,867072,892366,1759436,3026,3148,6179,5164,4701,9868,340,382,717,9152,10454,19608,23910,29528,53439,1503,1737,3239,34561,41719,76284,1091,1182,2277,1607,1926,3540,3018,3354,6368,3484,4015,7504,3687,3855,7547,1335,1223,2552,7223,7310,14535,7279,5713,12993,2222,2200,4416,2149,1708,3854,5140,4736,9879,25341,22894,48237,4864,5196,10062,2745,4040,6781,6366,6812,13175,399,458,854,212,249,463,2730,2481,5208,1480,1848,3324,1508,2146,3654,6721,7053,13772,1615,1657,3274,2205,3683,5886,1538,2139,3673,3413,5833,9244,961,1525,2482,8112,13177,21286,7060,7695,14757,2147,1941,4088,1286,2885,4174,649,541,1193,10623,11936,22562,33334,34164,67492,173181,191453,364638,64472,63316,127790,12921,17236,30161,1117652,1164374,2282025,Greater Brisbane
3RQLD,1041463,1063748,2105217,3113,3195,6302,2182,1720,3899,6215,6555,12769,2504,2900,5397,7134,9184,16320,465,585,1055,10106,12667,22773,838,962,1799,1733,2078,3805,2652,3120,5774,4275,4982,9257,1570,1702,3274,609,540,1145,1948,1713,3663,2808,2192,4999,733,769,1497,623,488,1111,2374,2227,4603,9085,7924,17014,5316,5313,10629,4141,6002,10142,3168,3251,6424,218,226,441,450,518,975,786,727,1510,843,1145,1989,925,1470,2398,628,541,1168,744,753,1498,1984,3492,5474,783,1117,1900,2646,5067,7718,479,973,1452,5894,10644,16541,2985,3350,6338,821,643,1465,1184,2771,3953,491,385,877,1593,1806,3403,19371,20201,39574,91328,104661,195983,107978,97575,205554,23979,29416,53393,1264746,1295406,2560149,Rest of Qld
4RSAU,167009,164762,331768,274,253,529,108,88,198,1305,1373,2676,106,114,222,568,614,1185,50,52,103,723,776,1502,163,146,308,196,252,450,147,161,303,462,576,1039,839,700,1543,70,63,139,135,119,259,426,367,790,91,68,158,68,61,135,65,55,117,855,745,1601,790,745,1531,75,103,180,52,61,109,12,14,29,19,20,36,90,45,136,93,97,193,49,65,107,18,20,37,70,42,106,316,438,755,47,67,113,383,543,925,53,88,146,801,1132,1931,132,137,268,100,71,168,75,165,243,70,60,130,224,224,447,1810,1424,3225,9551,9482,19039,15068,12084,27149,1252,1189,2443,192886,187513,380395,Rest of SA
4GADE,473515,494609,968129,898,924,1822,4785,4285,9072,326,405,729,4617,4823,9441,12625,14894,27519,1062,1095,2155,18302,20808,39112,1313,1443,2749,910,1144,2056,1093,1299,2393,2353,2992,5341,10291,11085,21372,1168,1103,2270,3693,3364,7058,4594,3902,8499,1256,1238,2492,1523,1293,2815,4975,4944,9915,17203,15847,33052,12875,14594,27466,863,1154,2016,1616,1859,3473,311,307,614,357,451,809,2401,2183,4584,2412,3044,5449,1400,1768,3163,67,57,125,2005,2053,4064,1226,1876,3098,781,931,1709,1787,2746,4533,715,914,1625,4508,6460,10967,2563,2829,5387,1354,1180,2535,532,1185,1715,299,276,574,8769,9776,18541,22679,22610,45290,122476,132009,254485,29643,29997,59641,5054,6840,11901,630696,663454,1294150,Greater Adelaide
5GPER,693664,714147,1407814,5421,5768,11188,7217,6482,13697,374,416,789,8737,10020,18753,21135,24332,45463,1975,2204,4186,31845,36555,68404,2459,2768,5228,1805,2355,4161,4038,4441,8472,3471,4012,7477,2178,2329,4502,1580,1485,3063,5360,4743,10106,6599,5175,11773,2298,2295,4601,2958,2117,5072,5994,5549,11550,24798,21368,46166,12614,13964,26576,2201,3195,5396,3265,3334,6598,2730,2861,5588,153,198,347,3329,3130,6459,2373,3069,5447,1117,1834,2957,437,365,800,2377,2478,4852,3585,4371,7957,4369,5689,10057,5519,6641,12155,2765,3456,6227,16244,20157,36397,4507,5065,9576,3378,3133,6515,1608,3700,5315,871,788,1666,9028,10295,19322,36909,37463,74375,186759,201511,388269,59157,56502,115652,10026,13844,23867,949606,985993,1935603,Greater Perth
5RWAU,242258,218644,460898,1598,1384,2979,266,163,427,4585,4829,9414,285,267,544,1211,1126,2334,99,54,159,1589,1449,3041,188,147,335,436,517,957,561,543,1104,855,1010,1861,193,131,326,118,94,208,396,250,645,266,186,449,204,143,343,167,122,292,321,237,559,1467,1029,2495,1461,1355,2815,212,271,481,328,198,530,158,95,248,24,14,46,155,83,236,244,284,526,122,141,271,92,51,149,123,73,197,1183,1175,2357,391,439,829,1639,1467,3108,710,694,1402,3926,3776,7703,488,338,828,210,143,354,284,793,1083,39,13,58,475,431,898,4214,3280,7495,24296,22548,46847,38402,25060,63457,3464,3449,6917,308425,269694,578119,Rest of WA
